uid,rq_index,rq_text,evidence_required_1_ja,evidence_required_2_ja,evidence_required_3_ja,completeness_rule_ja,completeness_state,owner,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,execution_log update line,decision_trace update row,apply_checkpoint update line,Complete if all 3 trails are completed,precheck_fixed,U12_monitor_owner,2026-03-01T21:57:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",execution_log update line,decision_trace update row,apply_checkpoint update line,Complete if all 3 trails are completed,precheck_fixed,U12_monitor_owner,2026-03-01T21:57:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,execution_log update line,decision_trace update row,apply_checkpoint update line,Complete if all 3 trails are completed,precheck_fixed,U12_monitor_owner,2026-03-01T21:57:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,execution_log update line,decision_trace update row,apply_checkpoint update line,Complete if all 3 trails are completed,precheck_fixed,U12_monitor_owner,2026-03-01T21:57:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",execution_log update line,decision_trace update row,apply_checkpoint update line,Complete if all 3 trails are completed,precheck_fixed,U12_monitor_owner,2026-03-01T21:57:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",execution_log update line,decision_trace update row,apply_checkpoint update line,Complete if all 3 trails are completed,precheck_fixed,U12_monitor_owner,2026-03-01T21:57:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",execution_log update line,decision_trace update row,apply_checkpoint update line,Complete if all 3 trails are completed,precheck_fixed,U15_monitor_owner,2026-03-01T21:57:00Z
U15,2,How should neurorights be mapped onto technical audit items?,execution_log update line,decision_trace update row,apply_checkpoint update line,Complete if all 3 trails are completed,precheck_fixed,U15_monitor_owner,2026-03-01T21:57:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",execution_log update line,decision_trace update row,apply_checkpoint update line,Complete if all 3 trails are completed,precheck_fixed,U15_monitor_owner,2026-03-01T21:57:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,execution_log update line,decision_trace update row,apply_checkpoint update line,Complete if all 3 trails are completed,precheck_fixed,U15_monitor_owner,2026-03-01T21:57:00Z
