uid,rq_index,rq_text,required_artifact_set_ja,artifact_priority_order_ja,minimum_count,storage_location_hint_ja,verification_owner,artifact_gap_action_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Confirmation URL Revision date Heading Extraction log,Official documents Revision history Supplementary commentary,4,round38_artifacts under automation,U12_monitor_owner,"If there is a shortage, reacquire it and rerun the consistency table.",2026-03-01T17:18:45Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Current word comparison table Confirmation URL Heading Judgment memo,Official documents Reference table Revision history,4,round38_artifacts under automation,U12_monitor_owner,"If insufficient, update the point-of-time word contrast and re-judge.",2026-03-01T17:18:45Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Clause extraction log Official URL Revision date Reason for suspension,Official document Extraction log Explanation guide,4,round38_artifacts under automation,U12_monitor_owner,"If insufficient, E3 judgment will be made after retrying extraction.",2026-03-01T17:18:45Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Connecting word list Audit word list Confirmation URL Judgment word,System documents Operation guide Audit terminology table,4,round38_artifacts under automation,U12_monitor_owner,"In case of shortage, prioritize missing word completion",2026-03-01T17:18:45Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Synonym table Normalization log Confirmation URL Judgment difference,System document Synonym table Normalization log,4,round38_artifacts under automation,U12_monitor_owner,"If insufficient, update synonym table and re-judge",2026-03-01T17:18:45Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Comparison of old and new notations Trail item list Confirmation URL Judgment word,System document Notation comparison Trail list,4,round38_artifacts under automation,U12_monitor_owner,"In case of shortage, complete trail items first",2026-03-01T17:18:45Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Legal text definition line Confirmation URL Revision date Difference notes,Legal text News Supplementary notes,4,round38_artifacts under automation,U15_monitor_owner,"When there is a shortage, priority is given to reacquiring legal text definition lines.",2026-03-01T17:18:45Z
U15,2,How should neurorights be mapped onto technical audit items?,Mapping word list Audit item list Update date comparison Judgment memo,Official regulations Audit frame Granularity correspondence table,4,round38_artifacts under automation,U15_monitor_owner,"If there is a shortage, recreate the grain size correspondence table.",2026-03-01T17:18:45Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Table of requirements by jurisdiction Table of three common requirements Confirmation URL Reason for suspension,Official regulations International guidelines Requirements extraction table,4,round38_artifacts under automation,U15_monitor_owner,"If there is a shortage, re-execute the extraction of the three requirements.",2026-03-01T17:18:45Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Stop condition line Periodic word extraction log Confirmation URL Judgment memo,Official Regulations Operational Standards Periodic Word Log,4,round38_artifacts under automation,U15_monitor_owner,"If insufficient, re-execute periodic word extraction",2026-03-01T17:18:45Z
