phase,topic,abstract_200_template,abstract_400_template,abstract_800_template
1,EEG信号品質の限界検証,本研究は公開EEG横断における信号品質指標の再現性評価を目的とし、公開EEGデータを横断してSNRを中心に比較する。主張はL0相当に限定し、再現可能な benchmark として成果を整理する。,本研究は公開EEG横断における信号品質指標の再現性評価を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、SNRを含む主要指標を比較する。公開EEGを用いてデバイス差と計測条件差を横断した品質指標を再計算し、SNRとartifact耐性の下限を benchmark として定量化する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究は公開EEG横断における信号品質指標の再現性評価を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は SNR; bad channel率; artifact除去前後の保存率 とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「公開EEGを用いてデバイス差と計測条件差を横断した品質指標を再計算し、SNRとartifact耐性の下限を benchmark として定量化する。」であるが、主張は L0 相当に限定し、品質から脳を完全に読む のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
1,高密度EEG空間分解能評価,本研究は高密度EEGソース推定の空間限界と電極数依存性の評価を目的とし、公開EEGデータを横断してlocalization errorを中心に比較する。主張はL0-L1相当に限定し、再現可能な benchmark として成果を整理する。,本研究は高密度EEGソース推定の空間限界と電極数依存性の評価を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、localization errorを含む主要指標を比較する。ground-truth 参照が可能な高密度EEGを中心に、電極数や前処理条件の差が局在誤差へ与える影響を比較し、source localization の実用限界を整理する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究は高密度EEGソース推定の空間限界と電極数依存性の評価を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は localization error; electrode数依存の劣化曲線 とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「ground-truth 参照が可能な高密度EEGを中心に、電極数や前処理条件の差が局在誤差へ与える影響を比較し、source localization の実用限界を整理する。」であるが、主張は L0-L1 相当に限定し、高密度EEGで脳内位置を特定する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
1,マルチモーダル統合の基礎,本研究はEEG-fNIRS・視線統合における時系列同期誤差の定量化を目的とし、公開EEGデータを横断してmodality同期誤差を中心に比較する。主張はL0-L1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はEEG-fNIRS・視線統合における時系列同期誤差の定量化を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、modality同期誤差を含む主要指標を比較する。EEG-fNIRS や eye-tracking を含む公開データを用いて、モダリティ同期誤差と融合有無による性能差を比較し、認知負荷推定の標準化条件を示す。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant>activity_grant 向けの申請テーマとして整理する。,本研究はEEG-fNIRS・視線統合における時系列同期誤差の定量化を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は modality同期誤差; fusion有無の性能差 とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「EEG-fNIRS や eye-tracking を含む公開データを用いて、モダリティ同期誤差と融合有無による性能差を比較し、認知負荷推定の標準化条件を示す。」であるが、主張は L0-L1 相当に限定し、融合で認知状態を完全把握する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant>activity_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
1,ノイズ除去・信号分離手法の比較,本研究は公開EEGにおける ASR/ICA 系前処理の横断比較を目的とし、公開EEGデータを横断してartifact除去前後の保存率を中心に比較する。主張はL0相当に限定し、再現可能な benchmark として成果を整理する。,本研究は公開EEGにおける ASR/ICA 系前処理の横断比較を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、artifact除去前後の保存率を含む主要指標を比較する。artifact 混入EEGと実測EEGを横断して ASR、ICA、周波数ノイズ除去系の前処理を比較し、信号保存率と下流性能への影響を測定する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究は公開EEGにおける ASR/ICA 系前処理の横断比較を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は artifact除去前後の保存率; SNR とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「artifact 混入EEGと実測EEGを横断して ASR、ICA、周波数ノイズ除去系の前処理を比較し、信号保存率と下流性能への影響を測定する。」であるが、主張は L0 相当に限定し、ノイズを完全除去する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
1,長時間記録の安定性評価,本研究は長時間EEG記録におけるドリフトと状態遷移の安定性評価を目的とし、公開EEGデータを横断してsession driftを中心に比較する。主張はL0-L1相当に限定し、再現可能な benchmark として成果を整理する。,本研究は長時間EEG記録におけるドリフトと状態遷移の安定性評価を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、session driftを含む主要指標を比較する。睡眠や疲労を含む長時間EEGを用いて session drift、欠損率、状態遷移の安定性を評価し、縦断研究の前提条件を整備する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究は長時間EEG記録におけるドリフトと状態遷移の安定性評価を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は session drift; 欠損率; transition stability とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「睡眠や疲労を含む長時間EEGを用いて session drift、欠損率、状態遷移の安定性を評価し、縦断研究の前提条件を整備する。」であるが、主張は L0-L1 相当に限定し、長時間でも脳状態を完全追跡する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
2,デコーディング精度ベンチマーク,本研究は公開EEGデコーディング課題における統一ベンチマーク構築を目的とし、公開EEGデータを横断してbalanced accuracyを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究は公開EEGデコーディング課題における統一ベンチマーク構築を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、balanced accuracyを含む主要指標を比較する。MI、ERP/P300、SSVEP をまたぐ複数公開課題に統一splitと統一metricを適用し、EEG decoding の基盤性能を比較する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant>award_or_prize 向けの申請テーマとして整理する。,本研究は公開EEGデコーディング課題における統一ベンチマーク構築を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は balanced accuracy; macro-F1; subject holdout とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「MI、ERP/P300、SSVEP をまたぐ複数公開課題に統一splitと統一metricを適用し、EEG decoding の基盤性能を比較する。」であるが、主張は L1 相当に限定し、最高精度を達成する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant>award_or_prize に提出可能な benchmark／短報／実務ノートとしてまとめる。
2,クロスデータセット汎化,本研究は公開EEG横断での cross-dataset generalization 限界測定を目的とし、公開EEGデータを横断してcross-dataset gapを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究は公開EEG横断での cross-dataset generalization 限界測定を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、cross-dataset gapを含む主要指標を比較する。同種課題を持つ複数EEGデータセット間で学習・評価を交差させ、dataset shift と subject shift の影響を切り分ける。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究は公開EEG横断での cross-dataset generalization 限界測定を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は cross-dataset gap; LOSO精度 とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「同種課題を持つ複数EEGデータセット間で学習・評価を交差させ、dataset shift と subject shift の影響を切り分ける。」であるが、主張は L1 相当に限定し、どのデータでも汎化する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
2,リアルタイムデコーディング,本研究はreplay ベースで評価するリアルタイムEEG decoding の遅延限界を目的とし、公開EEGデータを横断してonline replay latencyを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はreplay ベースで評価するリアルタイムEEG decoding の遅延限界を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、online replay latencyを含む主要指標を比較する。公開EEGの replay 評価を用いて遅延、窓長、更新頻度が decoding 性能へ与える影響を測定し、リアルタイムBCI実装前の条件を整理する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に loan_or_finance>research_grant 向けの申請テーマとして整理する。,本研究はreplay ベースで評価するリアルタイムEEG decoding の遅延限界を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は online replay latency; classification accuracy とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「公開EEGの replay 評価を用いて遅延、窓長、更新頻度が decoding 性能へ与える影響を測定し、リアルタイムBCI実装前の条件を整理する。」であるが、主張は L1 相当に限定し、リアルタイム制御を実現する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、loan_or_finance>research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
2,Foundation Modelの適用,本研究は公開EEG自己教師あり表現学習の基盤性能評価を目的とし、公開EEGデータを横断してlinear probe accuracyを中心に比較する。主張はL1-L2弱相当に限定し、再現可能な benchmark として成果を整理する。,本研究は公開EEG自己教師あり表現学習の基盤性能評価を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、linear probe accuracyを含む主要指標を比較する。睡眠、運動意図、感情など異種EEGを束ねて自己教師あり学習を行い、少数ラベル条件での linear probe と OOD gap を評価する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究は公開EEG自己教師あり表現学習の基盤性能評価を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は linear probe accuracy; OOD gap とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「睡眠、運動意図、感情など異種EEGを束ねて自己教師あり学習を行い、少数ラベル条件での linear probe と OOD gap を評価する。」であるが、主張は L1-L2弱 相当に限定し、脳の基盤モデルを作る のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
2,運動意図デコーディング,本研究はcross-subject motor imagery decoding の汎化限界評価を目的とし、公開EEGデータを横断してbalanced accuracyを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はcross-subject motor imagery decoding の汎化限界評価を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、balanced accuracyを含む主要指標を比較する。公開MIデータを用いて cross-subject 条件を中心に decoding 性能を評価し、被験者差が汎化へ与える影響を測る。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に award_or_prize>research_grant 向けの申請テーマとして整理する。,本研究はcross-subject motor imagery decoding の汎化限界評価を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は balanced accuracy; macro-F1; subject holdout とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「公開MIデータを用いて cross-subject 条件を中心に decoding 性能を評価し、被験者差が汎化へ与える影響を測る。」であるが、主張は L1 相当に限定し、運動意図を普遍的に読む のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、award_or_prize>research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
