uid,rq_index,rq_text,watch_condition_ja,watch_item_1_ja,watch_item_2_ja,watch_item_3_ja,watch_rule_ja,watch_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,after restabilization_certified,Monitor differential recurrence,Monitor for recurrence of terminology drift,Monitor access route recurrence,reclose_return_stable if there is no abnormality twice in a row,watch_template_fixed,2026-03-02T00:22:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",after restabilization_certified,Monitor differential recurrence,Monitor for recurrence of terminology drift,Monitor access route recurrence,reclose_return_stable if there is no abnormality twice in a row,watch_template_fixed,2026-03-02T00:22:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,after restabilization_certified,Monitor differential recurrence,Monitor for recurrence of terminology drift,Monitor access route recurrence,reclose_return_stable if there is no abnormality twice in a row,watch_template_fixed,2026-03-02T00:22:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,after restabilization_certified,Monitor differential recurrence,Monitor for recurrence of terminology drift,Monitor access route recurrence,reclose_return_stable if there is no abnormality twice in a row,watch_template_fixed,2026-03-02T00:22:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",after restabilization_certified,Monitor differential recurrence,Monitor for recurrence of terminology drift,Monitor access route recurrence,reclose_return_stable if there is no abnormality twice in a row,watch_template_fixed,2026-03-02T00:22:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",after restabilization_certified,Monitor differential recurrence,Monitor for recurrence of terminology drift,Monitor access route recurrence,reclose_return_stable if there is no abnormality twice in a row,watch_template_fixed,2026-03-02T00:22:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",after restabilization_certified,Monitor differential recurrence,Monitor for recurrence of terminology drift,Monitor access route recurrence,reclose_return_stable if there is no abnormality twice in a row,watch_template_fixed,2026-03-02T00:22:00Z
U15,2,How should neurorights be mapped onto technical audit items?,after restabilization_certified,Monitor differential recurrence,Monitor for recurrence of terminology drift,Monitor access route recurrence,reclose_return_stable if there is no abnormality twice in a row,watch_template_fixed,2026-03-02T00:22:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",after restabilization_certified,Monitor differential recurrence,Monitor for recurrence of terminology drift,Monitor access route recurrence,reclose_return_stable if there is no abnormality twice in a row,watch_template_fixed,2026-03-02T00:22:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,after restabilization_certified,Monitor differential recurrence,Monitor for recurrence of terminology drift,Monitor access route recurrence,reclose_return_stable if there is no abnormality twice in a row,watch_template_fixed,2026-03-02T00:22:00Z
