support_type,question,what_they_are_really_asking,answer_axis,avoid_point
research_grant,なぜその公開EEGを主要候補にしたのか,データ選定に再現上の理由があるか,課題設定 ラベル品質 被験者数 前処理再現性で説明する,有名だからで選んだと言わない
research_grant,negative result でも何が残るのか,失敗時にも成果物が残るか,失敗条件の整理と比較表が次段実験に効くと答える,性能が出る前提で押さない
research_grant,実施体制は足りるのか,人手と期間で本当に回るか,新規収集なし 固定前処理 再解析限定で12週間成果物まで回ると答える,体制の弱さを気合で補う言い方をしない
award_or_prize,どこまでが本人主導の成果か,個人の実行力があるか,題目整理 再解析 図表化 短報化 wiki 整備まで閉じていると答える,周囲の支援だけを強調しない
award_or_prize,受賞後に何を一段進めるのか,賞の効果が具体的か,成果公開 発表整備 次段申請接続で答える,抽象的な成長で閉じない
award_or_prize,受賞しなくても続くのか,受賞依存でないか,最小成果物は自己資源でも継続できると答える,受賞前提の計画にしない
activity_grant,参加後に本当に追試されるのか,活動が残る形になっているか,教材 CSV 手順書 追試導線を示す,その場の盛り上がりで答えない
activity_grant,活動成果は研究にどう戻るのか,イベントと研究が切れていないか,質問ログと派生実装を申請論点表に戻すと答える,交流自体を成果にしない
activity_grant,実施規模を広げすぎないのか,実行可能性が守られるか,まず1回分の教材パッケージ完成を優先すると答える,拡大路線を前提にしない
loan_or_finance,何が返済や回収の起点になるのか,接続点が具体的か,次段助成申請または小口解析支援への接続で答える,希望的観測で返済を語らない
loan_or_finance,借入がなくてもできる部分は何か,借入依存度が高すぎないか,なくても回る部分と必要部分を分けて示す,全工程が借入前提だと言わない
loan_or_finance,どこで拡張を止めるのか,リスク管理があるか,評価条件が固定できない拡張と新規収集前提の拡張は止めると答える,際限なく広げる姿勢を見せない
