phase,topic,analysis_lab_fit,dataset_curator_fit,activity_partner_fit,pilot_partner_fit,best_counterpart,second_counterpart,fit_reason,first_artifact,avoid_match
1,EEG信号品質の限界検証,high,medium,low,medium,analysis_lab,dataset_curator,品質指標と前処理比較が主で再解析設計の議論が効く,qc_benchmark_v1,activity_partner
1,高密度EEG空間分解能評価,high,high,low,low,analysis_lab,dataset_curator,ground truth と電極密度条件の確認が重要,source_limit_note,activity_partner
1,マルチモーダル統合の基礎,medium,medium,medium,low,analysis_lab,dataset_curator,同期条件と前処理の擦り合わせが要る,multimodal_alignment_note,pilot_partner
1,ノイズ除去・信号分離手法の比較,high,medium,low,medium,analysis_lab,pilot_partner,前処理比較は共同解析と小口支援の両方に向く,preprocessing_comparison_table,activity_partner
1,長時間記録の安定性評価,medium,medium,low,low,analysis_lab,dataset_curator,セッション差と欠損の解釈が重要,longitudinal_stability_note,activity_partner
2,デコーディング精度ベンチマーク,high,medium,low,medium,analysis_lab,pilot_partner,benchmark 化と短期成果物の接続がしやすい,decoding_benchmark_v1,activity_partner
2,クロスデータセット汎化,high,high,low,medium,analysis_lab,dataset_curator,ラベル空間と評価条件の擦り合わせが要る,cross_dataset_gap_report,activity_partner
2,リアルタイムデコーディング,medium,low,low,high,pilot_partner,analysis_lab,replay ベースで小規模検証や実装接続がしやすい,replay_latency_note,activity_partner
2,Foundation Modelの適用,high,medium,low,medium,analysis_lab,pilot_partner,自己教師あり表現の比較基盤と計算条件が論点,ssl_pretrain_baseline,activity_partner
2,運動意図デコーディング,high,medium,low,medium,analysis_lab,pilot_partner,運動意図は benchmark と応用接続の両方がある,mi_generalization_note,activity_partner
2,感覚知覚デコーディング,high,medium,low,medium,analysis_lab,pilot_partner,ERPやSSVEP 条件の比較と小規模検証に向く,perception_benchmark_note,activity_partner
2,言語/意味デコーディング,high,medium,low,low,analysis_lab,dataset_curator,ラベル定義と課題差の確認が重要,semantic_decoding_feasibility_note,activity_partner
3,感情状態の推定・分類,high,medium,low,medium,analysis_lab,pilot_partner,被験者間頑健性と応用接続の両方がある,emotion_robustness_note,activity_partner
3,記憶のエンコーディング/検索,high,medium,low,low,analysis_lab,dataset_curator,課題設計とラベル sparsity の解釈が要る,wm_retrieval_note,activity_partner
3,注意・ワーキングメモリ,high,medium,medium,medium,analysis_lab,activity_partner,workload 系は解析設計が主だが教材化もしやすい,workload_generalization_note,dataset_curator
3,意思決定過程,medium,low,medium,medium,analysis_lab,pilot_partner,construct が曖昧なので小さな proxy 検証で進める,decision_proxy_note,dataset_curator
3,社会的認知,medium,low,high,low,activity_partner,analysis_lab,hyperscanning や stress 課題は活動化と小規模 pilot が相性良い,hyperscanning_pilot_note,dataset_curator
3,創造性・問題解決,medium,low,high,low,activity_partner,analysis_lab,課題設計の共有と教材化が効く,creative_proxy_note,pilot_partner
3,主観的経験の定量化,medium,medium,low,medium,analysis_lab,pilot_partner,主観 rating と proxy の整理が中心,subjective_proxy_note,activity_partner
4,意識の神経相関（NCC）定量化,high,medium,low,low,analysis_lab,dataset_curator,状態境界の proxy と複雑性指標の議論が主,ncc_proxy_note,activity_partner
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,high,medium,low,medium,analysis_lab,pilot_partner,boundary classifier は benchmark と応用接続がある,boundary_classifier_v1,activity_partner
4,統合情報理論(IIT)の実証的検証,medium,medium,low,low,analysis_lab,dataset_curator,理論過剰主張を避け proxy 指標へ落とす必要がある,complexity_proxy_note,pilot_partner
4,Global Workspace Theory の検証,medium,medium,low,low,analysis_lab,dataset_curator,P300 proxy の条件整理が中心,gwt_proxy_note,activity_partner
4,意識の連続性と同一性,medium,medium,low,low,analysis_lab,dataset_curator,縦断安定性の proxy 整理に留める必要がある,stability_proxy_note,activity_partner
4,mind-upload可能性の理論的枠組み,medium,low,high,low,activity_partner,analysis_lab,claim ladder と benchmark commons の共有設計が中心,claim_ladder_memo,pilot_partner
