uid,rq_index,rq_text,priority,monitor_cycle,last_checked_utc,next_monitor_due_utc,verification_mode,risk_flag,changed_urls_round24,planned_action_ja,escalation_condition_ja,source_round24,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,Access route change: Determine whether there is a real difference by manually checking the browser,"If 4xx/5xx continues in the next monitoring, manually check the text difference in the browser and review the URL monitoring target.",rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,Access route change: Determine whether there is a real difference by manually checking the browser,"If 4xx/5xx continues in the next monitoring, manually check the text difference in the browser and review the URL monitoring target.",rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,Access route change: Determine whether there is a real difference by manually checking the browser,"If 4xx/5xx continues in the next monitoring, manually check the text difference in the browser and review the URL monitoring target.",rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,Access route change: Determine whether there is a real difference by manually checking the browser,"If 4xx/5xx continues in the next monitoring, manually check the text difference in the browser and review the URL monitoring target.",rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,Access route change: Determine whether there is a real difference by manually checking the browser,"If 4xx/5xx continues in the next monitoring, manually check the text difference in the browser and review the URL monitoring target.",rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,Access route change: Determine whether there is a real difference by manually checking the browser,"If 4xx/5xx continues in the next monitoring, manually check the text difference in the browser and review the URL monitoring target.",rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli,stable,,No difference: Continue regular monitoring,"If no difference continues, maintain weekly monitoring",rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U15,2,How should neurorights be mapped onto technical audit items?,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli,stable,,No difference: Continue regular monitoring,"If no difference continues, maintain weekly monitoring",rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli,stable,,No difference: Continue regular monitoring,"If no difference continues, maintain weekly monitoring",rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli,stable,,No difference: Continue regular monitoring,"If no difference continues, maintain weekly monitoring",rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
