uid,rq_index,rq_text,focus_note_plain,must_read_1,must_read_2,supplementary_1,metric_candidates,repository_followup,this_round_action,external_dependency_task,evidence_confidence,source_round_doc
U0,1,"When identity judgment is separated into ""observation matching"" and ""intervention response matching"", which one should be regarded as a necessary or sufficient condition?","Although there is a strong belief that ``observation matching alone is not enough,'' there is no consensus on how to make intervention matching a necessary condition.",https://doi.org/10.31219/osf.io/sr7cf,https://arxiv.org/abs/2510.15745,,Intervention agreement rate; counterfactual agreement rate; long-term drift rate; intervention effect size; do estimation error,Add identity determination template to research_harvest_50.md,"Create a draft that fixes ""observation match"" and ""intervention match"" as separate items in the U0 judgment template.",Person in charge: Legal/Ethics WG. Premise: Agreement on principle of responsibility at branching. Completion conditions: Approval of Judgment Terms v1.,"Medium (centered on theory, lack of experimental bench)",research_deepening_round2_2026-03-01.md#u0
U0,2,"How to fix the correspondence between time synchronization (in ms) and state expression (behavior, neural activity, physiology).","Although ms synchronization and fixation of state representation can be defined on the technical side, how to weight identity judgment is an unresolved problem on the theoretical side.",https://doi.org/10.1093/acprof:oso/9780198754855.003.0013,https://doi.org/10.1017/9781009367059.009,,Intervention matching rate; counterfactual matching rate; long-term drift rate; time lag (ms); jitter variance,Add identity determination template to research_harvest_50.md,"To record the synchronization error as a numerical value, add ""Time lag (ms)"" to the evaluation column of U0.",Person in charge: Measurement team. Premise: Standardization of synchronous measurement procedures. Completion condition: Auditable synchronization log format established.,"Medium (centered on theory, lack of experimental bench)",research_deepening_round2_2026-03-01.md#u0
U0,3,How to set the threshold for identity judgment for each task and how to exclude overfitting models.,"Although there is a wealth of philosophical literature regarding threshold design (where to consider things as being the same), there is a lack of common rules that are directly linked to experimental design.",https://doi.org/10.1007/s11229-024-04744-3,https://doi.org/10.2139/ssrn.2596460,,Intervention agreement rate; counterfactual agreement rate; long-term drift rate; threshold sensitivity; ROC-AUC; exclusion decision agreement rate; data retention rate,Add identity determination template to research_harvest_50.md,Convert the minimum evaluation sheet containing ROC-AUC and threshold sensitivity to U0 into CSV.,Person in charge: Evaluation Design WG. Assumption: Minimum task set agreement. Completion condition: Reproduction report of threshold sensitivity analysis.,"Medium (centered on theory, lack of experimental bench)",research_deepening_round2_2026-03-01.md#u0
U0,4,"Which evaluation axis should be used to determine the definition of ""same individual"" in the case of divergence/duplication?",Identity in branching/replication cannot be determined by performance evaluation alone; operational design of responsibility tracking IDs is essential.,https://doi.org/10.1017/9781009486309.002,https://doi.org/10.1016/j.patter.2023.100861,,Intervention matching rate; Counterfactual matching rate; Long-term drift rate; ID collision rate; Responsibility tracking rate,Add identity determination template to research_harvest_50.md,U0 RQ4 specifies the ID collision rate and responsibility tracking rate as required indicators.,Person in charge: Legal/Governance WG. Premise: Draft ID restructuring policy. Completion condition: Approval of branch ID audit operation.,"Medium (centered on theory, lack of experimental bench)",research_deepening_round2_2026-03-01.md#u0
U1,1,Which prior distribution should be used to control ill-posedness in EEG/MEG inverse problems?,"There is a strong trend toward standardizing ``estimates with uncertainty,'' and reporting only point estimates is becoming weaker.",https://pubmed.ncbi.nlm.nih.gov/38545514/,https://doi.org/10.1109/JSEN.2024.3502917,,Position error (mm); Posterior distribution width; Inter-method agreement rate,Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"Add ""posterior distribution width"" as a required field to the standard output of U1.",Person in charge: Measurement team. Assumption: Unified implementation of Bayesian inference. Completion condition: Uncertainty output in the same format for all methods.,"Medium to high (abundant methodologies, lack of cross-sectional benches)",research_deepening_round2_2026-03-01.md#u1
U1,2,"How to propagate uncertainties in cranial conductivity, electrode placement, and noise structure to estimated uncertainties.",The effects of conductivity uncertainty have been reaffirmed by recent studies in both EEG/MEG.,https://pubmed.ncbi.nlm.nih.gov/38532791/,https://pubmed.ncbi.nlm.nih.gov/41308490/,,Position error (mm); Posterior distribution width; Inter-method agreement rate,Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"Add conductivity sensitivity to the U1 template as ""required sensitivity analysis"".",In charge: Measurement/physical model group. Prerequisite: Obtain a head model. Completion condition: Publication of sensitivity analysis results.,"Medium to high (abundant methodologies, lack of cross-sectional benches)",research_deepening_round2_2026-03-01.md#u1
U1,3,"How to set the decision rule when different inverse solution methods (MNE, beamformer, Champagne, etc.) differ for the same data.",The MNE/beamformer/Champagne divergence will still occur and the conclusion will move without arbitrage rules.,https://doi.org/10.1109/SAMPTA64769.2025.11133512,https://pubmed.ncbi.nlm.nih.gov/39423516/,,Position error (mm); Posterior distribution width; Inter-method agreement rate,Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,We will add a proposed rule for determining when there is a discrepancy between methods (comparison of error bounds instead of majority voting).,Person in charge: Analysis WG. Assumption: Same data reanalysis. Completion Conditions: Arbitration Rule Validation Report.,"Medium to high (abundant methodologies, lack of cross-sectional benches)",research_deepening_round2_2026-03-01.md#u1
U1,4,Should the publication criteria include confidence intervals/backward distributions in addition to estimates?,"Publishing confidence intervals/backward distributions is not a ""recommendation"", but is almost mandatory for reproducibility.",https://doi.org/10.1088/2057-1976/aca20b,https://pubmed.ncbi.nlm.nih.gov/41411682/,,Position error (mm); Posterior distribution width; Inter-method agreement rate,Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"""95% interval"" and ""backward distribution shared link"" will be added to U1 disclosure requirements.",Person in charge: Data Publication WG. Assumption: Shared format agreement. Completion condition: Reproduce the same section in a make-up exam.,"Medium to high (abundant methodologies, lack of cross-sectional benches)",research_deepening_round2_2026-03-01.md#u1
U4,1,What are the identification conditions that lift the correlation derived from observational data into a causal graph?,"To proceed from correlation to causation, the same data will lead to different conclusions unless the structural assumptions and identification conditions are made explicit.",https://doi.org/10.1038/s41583-024-00881-3,https://doi.org/10.1016/j.neuroimage.2024.120954,,Intervention effect concordance rate; causal recall rate; falsification rate,Added causal equivalence failure condition checklist to verification.md,Add an audit check to U4 that says ``Claims that do not specify identification conditions will not be accepted.'',Person in charge: Experimental design team. Assumptions: Intervention Design Review Board consensus. Completion condition: Approval of causal claim template.,"Medium (methodology available, intervention standards insufficient)",research_deepening_round3_2026-03-01.md#u4
U4,2,"What is the minimal causal claim that can be verified through intervention experiments (stimulation, inhibition, input disturbance)?",Minimal causal claims require that the difference be reproduced (repeatable) by actually intervening.,https://doi.org/10.1109/TMI.2024.3381670,https://doi.org/10.1001/jamanetworkopen.2024.9220,,Intervention effect concordance rate; causal recall rate; falsification rate; intervention effect size; do estimation error,Added causal equivalence failure condition checklist to verification.md,"Add ""repeated reproduction of intervention effects (separate sessions)"" to U4 RQ2 as a required field.",Person in charge: Clinical/experimental team. Prerequisite: Intervention protocol approval. Completion condition: Publication of repeated intervention report.,"Medium (methodology available, intervention standards insufficient)",research_deepening_round3_2026-03-01.md#u4
