uid,rq_index,rq_text,escalation_priority,escalation_condition_ja,current_escalation_status,reopen_recommendation,queue_owner,next_action_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,high,drift_score>=40 or trigger match,keep_watch,no_reopen,U12_monitor_owner,Pre-check the definition word revision line in the next window,2026-03-01T19:31:15Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",low,drift_score>=40 or trigger match,keep_watch,no_reopen,U12_monitor_owner,Regularly check whether the current language version has been updated.,2026-03-01T19:31:15Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,high,drift_score>=40 or trigger match,keep_watch,no_reopen,U12_monitor_owner,Preliminary confirmation of clause extraction condition words,2026-03-01T19:31:15Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,medium,drift_score>=40 or trigger match,keep_watch,no_reopen,U12_monitor_owner,Regularly check whether audit terms have been added,2026-03-01T19:31:15Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",medium,drift_score>=40 or trigger match,keep_watch,no_reopen,U12_monitor_owner,Regularly check whether synonyms have been added,2026-03-01T19:31:15Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",medium,drift_score>=40 or trigger match,keep_watch,no_reopen,U12_monitor_owner,Regularly check whether the notation generation has been updated.,2026-03-01T19:31:15Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",high,drift_score>=40 or trigger match,keep_watch,no_reopen,U15_monitor_owner,Preliminary confirmation of revised legal definitions,2026-03-01T19:31:15Z
U15,2,How should neurorights be mapped onto technical audit items?,medium,drift_score>=40 or trigger match,keep_watch,no_reopen,U15_monitor_owner,Regularly check map word granularity updates,2026-03-01T19:31:15Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",high,drift_score>=40 or trigger match,keep_watch,no_reopen,U15_monitor_owner,Advance confirmation of changes in the three common requirements,2026-03-01T19:31:15Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,medium,drift_score>=40 or trigger match,keep_watch,no_reopen,U15_monitor_owner,Regularly check periodic word official additions,2026-03-01T19:31:15Z
