uid,rq_index,rq_text,followup_condition_ja,followup_item_1_ja,followup_item_2_ja,followup_item_3_ja,followup_rule_ja,followup_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,After revaluation_outcome_logged,Attach the tracking record,Record the correction items,Record the next update points,reevaluation_followup_logged with 3 records fulfilled,followup_ledger_fixed,2026-03-02T01:46:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",After revaluation_outcome_logged,Attach the tracking record,Record the correction items,Record the next update points,reevaluation_followup_logged with 3 records fulfilled,followup_ledger_fixed,2026-03-02T01:46:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,After revaluation_outcome_logged,Attach the tracking record,Record the correction items,Record the next update points,reevaluation_followup_logged with 3 records fulfilled,followup_ledger_fixed,2026-03-02T01:46:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,After revaluation_outcome_logged,Attach the tracking record,Record the correction items,Record the next update points,reevaluation_followup_logged with 3 records fulfilled,followup_ledger_fixed,2026-03-02T01:46:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",After revaluation_outcome_logged,Attach the tracking record,Record the correction items,Record the next update points,reevaluation_followup_logged with 3 records fulfilled,followup_ledger_fixed,2026-03-02T01:46:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",After revaluation_outcome_logged,Attach the tracking record,Record the correction items,Record the next update points,reevaluation_followup_logged with 3 records fulfilled,followup_ledger_fixed,2026-03-02T01:46:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",After revaluation_outcome_logged,Attach the tracking record,Record the correction items,Record the next update points,reevaluation_followup_logged with 3 records fulfilled,followup_ledger_fixed,2026-03-02T01:46:00Z
U15,2,How should neurorights be mapped onto technical audit items?,After revaluation_outcome_logged,Attach the tracking record,Record the correction items,Record the next update points,reevaluation_followup_logged with 3 records fulfilled,followup_ledger_fixed,2026-03-02T01:46:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",After revaluation_outcome_logged,Attach the tracking record,Record the correction items,Record the next update points,reevaluation_followup_logged with 3 records fulfilled,followup_ledger_fixed,2026-03-02T01:46:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,After revaluation_outcome_logged,Attach the tracking record,Record the correction items,Record the next update points,reevaluation_followup_logged with 3 records fulfilled,followup_ledger_fixed,2026-03-02T01:46:00Z
