support_type,day_bucket,priority_1,priority_2,priority_3,artifact_to_leave,risk_watch
research_grant,30d,前処理を固定する,被験者外評価条件を固定する,候補データセット表と工程表を確定する,評価条件一覧と工程表,評価条件がまだ揺れている
research_grant,60d,比較表の初版を作る,再現 notebook を dry-run する,短報の骨子を書く,比較表初版と notebook 初版,初版成果物が1つも出ていない
research_grant,90d,比較表を更新する,手順書と notebook を公開可能形にする,短報ドラフトを閉じる,比較表 notebook 手順書 短報ドラフト,作業ログだけで外に見える成果がない
award_or_prize,30d,代表成果物を3点以内に絞る,図表と履歴の見せ方を固定する,公開順を決める,代表成果物リスト,成果物が散らかって芯が見えない
award_or_prize,60d,公開資料の初版を整える,短い成果報告を作る,次段申請への接続文を下書きする,公開資料初版と成果報告メモ,将来像ばかりで実績が見えない
award_or_prize,90d,代表成果物を公開する,発表用の短い説明を整える,次段申請の入口を作る,公開資料一式と説明文,出したものより予定の話が多い
activity_grant,30d,教材構成案を固める,追試導線を決める,録画と配布物の型を決める,教材目次と追試導線図,開催だけ先に進んで教材がない
activity_grant,60d,教材パッケージ初版を作る,実施1回分の準備を終える,参加後アンカーを用意する,教材初版と実施メモ,回数だけ決まり中身がない
activity_grant,90d,教材と録画を公開する,追試完了件数を確認する,派生実装の入口を作る,教材公開物と追試記録,イベント後の追跡がない
loan_or_finance,30d,費目と成果物の対応を固定する,短期成果物を明文化する,次段資金接続先を決める,費目対応表と接続先メモ,用途が広く見えている
loan_or_finance,60d,比較表初版を作る,申請書ドラフト骨子を作る,最小費用での継続計画を確認する,比較表初版と申請骨子,短期成果がまだ可視化されていない
loan_or_finance,90d,短期成果物を公開する,次段助成または共同研究費へ接続する,費目実績を整理する,公開成果物と接続記録,橋渡し資金が単なる延命に見える
