support_type,reviewer_type,strong_framing,weak_framing,opening_line,closing_line,avoid_point
research_grant,reproducibility,公開EEG横断で固定前処理と被験者外評価を揃え benchmark を整備する,最高性能で mind-upload の核心を解明する,公開EEGで比較可能な下位課題に限定します,失敗条件も次段実験の設計材料として残します,証明や解明を言わない
research_grant,feasibility,12週間で比較表と再現 notebook と短報ドラフトを出す,広く探索してみて有望な方向を探す,短期成果物を先に置きます,小さく閉じて次段申請に接続します,工程を曖昧にしない
research_grant,novelty,個別論文を同条件で並べる再現基盤に新規性がある,新しいモデルを作るので新規性がある,新規性は benchmark commons の整備です,比較可能性を成果として残します,アルゴリズム新規性を無理に盛らない
award_or_prize,execution,題目整理から再解析と図表化と短報化までを自走している,将来すごい研究者になる,継続して成果物を出してきました,受賞後も公開資料に変えます,将来像だけで押さない
award_or_prize,growth,公開EEGで小さく確実に積み上げられる,一気に大発見へつなげる,無理のない成長曲線があります,次段申請へ接続します,大風呂敷を広げない
activity_grant,education,参加者が各自で追試できる教材を残す,面白いイベントを開催する,再利用可能な教材基盤を残します,配布資料と録画とCSVを公開します,参加人数だけで語らない
activity_grant,community,公開EEGを共通素材にして共同研究の入口を作る,交流の場を作る,同じデータで議論できる状態を作ります,派生実装と連携件数で示します,雰囲気や熱量だけにしない
activity_grant,sustainability,単発で終わらず wiki と手順書を残す,まず1回やってみたい,終了後も追試できる形にします,次年度への継続性を示します,単発前提にしない
loan_or_finance,risk,高額設備ではなく小口費用の橋渡し資金,研究の夢に投資してほしい,用途を限定して説明します,成果物との対応を明確にします,資金難の訴えに寄せない
loan_or_finance,return,比較表と再現 notebook を使って次段助成へ接続する,そのうち回収できると思う,短期成果を先に出します,次段資金への接続で説明します,希望的観測を言わない
loan_or_finance,cost_control,計算と保存と公開環境に限定する,設備を広く整えたい,小口費用の内訳を明示します,過大投資を避けます,費目を広げすぎない
