phase,topic,month_0_to_4,month_5_to_8,month_9_to_12,deliverable_1y,decision_gate,avoid_point
1,"EEG信号品質の限界検証","QC 閾値と artifact 条件を再計測で更新する","failure mode と再現手順を共有可能な形に固める","外部比較に耐える品質基準メモを残す","品質閾値表と再現手順の公開版","品質基準が他課題へ再利用されるかで継続を決める","品質向上を高次読取り成功と結び付けない"
1,"高密度EEG空間分解能評価","密度比較を新条件で再実施する","比較図と推奨設定表を安定版にする","有効条件だけを短い基準表として残す","密度比較図と標準設定表","意味のある利得条件が継続して増えるかで継続を決める","局在完成の物語にしない"
1,"マルチモーダル統合の基礎","paired data の最小同期条件を再整備する","統合利得の比較図と利用範囲を固める","限定統合条件を短い共有メモにする","統合利得比較図と利用範囲メモ","限定条件で統合利得が再利用されるかで継続を決める","統合万能論に戻らない"
1,"ノイズ除去・信号分離手法の比較","共通 benchmark 上で前処理候補を更新する","比較表と failure case 一覧を安定版にする","実務既定値候補を再利用メモとして残す","前処理比較表と既定値メモ","既定値候補が他条件でも保つかで継続を決める","最強法探しに戻らない"
1,"長時間記録の安定性評価","drift と再校正条件を追試する","安定区間図と運用条件を固める","再校正上限を短い運用基準として残す","安定区間図と長時間運用メモ","usable window が運用指針として再利用されるかで継続を決める","完全連続追跡の話にしない"
2,"デコーディング精度ベンチマーク","baseline を新 dataset family で更新する","比較表と failure mode を安定版にする","benchmark commons として共有できる形にする","更新済み baseline 表と更新メモ","比較表が外部比較に使われるかで継続を決める","最高精度競争に戻らない"
2,"クロスデータセット汎化","schema 対応と最小統合を進める","gap 比較表と例外条件を固める","再利用できる汎化条件メモを残す","汎化 gap 表と schema 対応表","gap の原因整理が他 dataset に転用できるかで継続を決める","どこでも通用と語らない"
2,"リアルタイムデコーディング","軽量 pipeline の安定運用条件を追試する","遅延精度図と運用条件を固める","共有可能な軽量構成を短い仕様として残す","遅延精度図と軽量運用仕様","現実条件で動く構成が再現するかで継続を決める","完成システムとして語らない"
2,"Foundation Modelの適用","新しい pretraining 条件で転移を追試する","転移比較表と OOD 条件を安定版にする","再現比較基盤として残せる条件を整理する","転移比較表と OOD 条件メモ","基盤条件が外部比較に使えるかで継続を決める","基盤モデル完成と言わない"
2,"運動意図デコーディング","適応校正と被験者外評価を追試する","MI baseline 表と校正条件を固める","再利用できる校正条件だけを基準表にする","MI baseline 表と校正条件表","被験者外改善が安定して残るかで継続を決める","普遍的読取りにしない"
2,"感覚知覚デコーディング","限定課題を刺激制御下で追試する","課題 family 比較表と誤分類条件を固める","使える課題だけを安全域メモにする","知覚課題比較表と安全域メモ","限定課題の差が再現して残るかで継続を決める","知覚全体復元に広げない"
2,"言語/意味デコーディング","annotation と task design を追試可能な形にする","最小単位比較表と除外条件を固める","安全域と不足条件を1枚にまとめる","最小単位比較表と安全域メモ","最小単位差が他条件でも残るかで継続を決める","思考解読にしない"
3,"感情状態の推定・分類","ラベル設計と評定条件を追試する","頑健性比較表と利用範囲を固める","安全に使えるラベル群だけを残す","感情ラベル頑健性表と利用範囲メモ","ラベル一貫性が再利用水準まで上がるかで継続を決める","感情断定にしない"
3,"記憶のエンコーディング/検索","統制課題で proxy を追試する","proxy 比較表と追試条件を固める","不足条件を含む再利用メモを残す","記憶 proxy 比較表と追試条件メモ","proxy が追試基盤として使えるかで継続を決める","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","drift 制御下で負荷 proxy を追試する","比較表と運用条件を固める","利用範囲を限定したメモを残す","負荷 proxy 比較表と drift メモ","負荷差が drift より強く残るかで継続を決める","万能指標にしない"
3,"意思決定過程","motor matched design で過程差を追試する","proxy 表と除外解釈を固める","残る差分だけを再利用メモにする","意思決定 proxy 表と除外解釈メモ","過程差が task confound を越えて残るかで継続を決める","自由意志論へ流れない"
3,"社会的認知","小課題 pilot を繰り返し最小条件を追試する","最小条件表と協力先メモを固める","小課題単位で再利用できる仕様を残す","社会課題最小条件表と pilot 仕様","小課題が別場面でも回るかで継続を決める","広い社会性判定にしない"
3,"創造性・問題解決","rubric を整え限定課題を追試する","proxy 図と採点一致条件を固める","教材化できる比較軸を残す","創造性 proxy 図と rubric メモ","採点一致が再利用水準まで上がるかで継続を決める","創造性そのものを測れたとしない"
3,"主観的経験の定量化","同一尺度で対応を追試する","対応表と尺度条件を固める","有効尺度だけを利用範囲メモに残す","自己評定対応表と尺度条件メモ","対応が安定尺度で残るかで継続を決める","完全定量化と書かない"
4,"意識の神経相関（NCC）定量化","状態統制 contrast で候補差を追試する","候補比較図と条件メモを固める","残る候補だけを限定比較として残す","NCC 候補比較図と条件メモ","候補差が proxy 比較として再利用されるかで継続を決める","意識の正体解明としない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","cross-site 条件を最小範囲で追試する","benchmark 表と外れ条件を固める","使える条件だけを共有メモにする","状態分類 benchmark 表と外れ条件メモ","cross-site で残る条件があるかで継続を決める","臨床診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","近似 proxy を条件明示で追試する","比較表と理論注記を固める","言い過ぎない範囲を比較メモに残す","IIT proxy 比較表と理論注記","近似 proxy が再現比較として残るかで継続を決める","理論証明にしない"
4,"Global Workspace Theory の検証","preregistered contrast で候補反応を追試する","候補反応図と代替説明を固める","再現した差だけを限定メモに残す","GWT 候補反応図と代替説明メモ","候補反応が限定条件で残るかで継続を決める","理論の勝敗を決めたとしない"
4,"意識の連続性と同一性","longitudinal subset で個人内安定性を追試する","比較図と proxy 条件を固める","状態遷移 proxy の利用範囲を残す","個人内安定性比較図と proxy メモ","個人内安定性が限定条件で残るかで継続を決める","本人確認技術にしない"
4,mind-upload可能性の理論的枠組み,"empirical anchor を追加して claim ladder を追補する","安全域と不足要件表を安定版にする","評価軸 commons として残す narrative を固定する","claim ladder 更新版と不足要件表","安全域の段が再利用されるかで継続を決める","実現可能性を匂わせない"
