uid,rq_index,rq_text,audit_focus_ja,audit_result,decision_consistency,reopen_decision,audit_owner,next_review_utc,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Threshold re-evaluation and judgment reason consistency,pass,consistent,stay_closed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T19:45:10Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Threshold re-evaluation and judgment reason consistency,pass,consistent,stay_closed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T19:45:10Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Threshold re-evaluation and judgment reason consistency,pass,consistent,stay_closed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T19:45:10Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Threshold re-evaluation and judgment reason consistency,pass,consistent,stay_closed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T19:45:10Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Threshold re-evaluation and judgment reason consistency,pass,consistent,stay_closed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T19:45:10Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Threshold re-evaluation and judgment reason consistency,pass,consistent,stay_closed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T19:45:10Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Threshold re-evaluation and judgment reason consistency,pass,consistent,stay_closed,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T19:45:10Z
U15,2,How should neurorights be mapped onto technical audit items?,Threshold re-evaluation and judgment reason consistency,pass,consistent,stay_closed,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T19:45:10Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Threshold re-evaluation and judgment reason consistency,pass,consistent,stay_closed,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T19:45:10Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Threshold re-evaluation and judgment reason consistency,pass,consistent,stay_closed,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T19:45:10Z
