uid,rq_index,rq_text,freshness_signal_ja,freshness_score_0_100,staleness_risk_ja,required_refresh_action_ja,next_refresh_due_utc,owner,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Check that revision dates and headings match,90,Overlooked definition word update,Reacquire and compare revision history differences,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Check that the term and clause heading match.,89,Version difference of current word not reflected,Added version information to the current word comparison table.,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Check the reproducibility of the official clause extraction log,84,Longer hold times when clause extraction fails,Re-acquire extraction failure logs with retry conditions,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Confirming the compatibility of connective words and audit words,87,Recurrence of missing audit words,Completion by matching missing word list,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Check fixed judgment after synonym normalization,86,Judgment fluctuations occur again with addition of synonyms,Update and renormalize synonym table,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Check the consistency of old and new notations,88,Misjudgment due to generational difference in notation,Update representation contrast and rematch,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Check whether the legal text definition line has been updated.,92,Misreading of advance news update,Reconfirm the revision date by giving priority to the legal text,2026-03-08T14:38:23Z,U15_monitor_owner,2026-03-01T17:34:10Z
U15,2,How should neurorights be mapped onto technical audit items?,Check match of map word granularity,87,Update decision is delayed due to granularity difference,Regenerate and compare grain size correspondence table,2026-03-08T14:38:23Z,U15_monitor_owner,2026-03-01T17:34:10Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Confirmed the reproducibility of extracting three common requirements,82,Prolonged inability to extract requirements,Rerun extraction in preferred jurisdiction order,2026-03-08T14:38:23Z,U15_monitor_owner,2026-03-01T17:34:10Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Simultaneous confirmation of stop words and period words,85,Judgment stagnates due to periodic word not updated,Update the periodic word extraction log and check again.,2026-03-08T14:38:23Z,U15_monitor_owner,2026-03-01T17:34:10Z
