phase,topic,quarter_goal,month_1,month_2,month_3,quarter_deliverable,avoid_point
1,"EEG信号品質の限界検証","品質閾値表を3か月で更新して共有可能な QC package にする","品質閾値表を追加データ1本で更新する","失敗条件と除外条件を再確認する","共有メモつきで最小版を外へ出す","品質閾値表 更新メモ 共有用短文","品質から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","電極密度比較図を3か月で更新して標準条件メモへつなぐ","密度比較図を再生成する","頭打ち条件を短文化して確認する","標準条件メモつきで共有する","密度比較図 標準条件メモ 共有用短文","局在技術の完成と語らない"
1,"マルチモーダル統合の基礎","最小統合利得表を3か月で更新して限定 benchmark 化する","同期条件を固定して比較表を更新する","unimodal 差と例外条件を確認する","利用範囲メモつきで共有する","同期条件比較表 利用範囲メモ 共有用短文","統合万能論にしない"
1,"ノイズ除去・信号分離手法の比較","前処理比較表を3か月で更新して既定値候補を実務化する","既定値候補だけで比較表を更新する","失敗例を削らず残っているか確認する","実務メモつきで共有する","前処理比較表 実務メモ 共有用短文","最強法探しへ戻らない"
1,"長時間記録の安定性評価","安定区間図を3か月で更新して運用メモへつなぐ","長時間条件1本で図を更新する","再校正境目を確認する","運用メモつきで共有する","安定区間比較図 運用メモ 共有用短文","完全追跡の話にしない"
2,"デコーディング精度ベンチマーク","共通 baseline 表を3か月で更新して benchmark commons に戻す","統一 split と metric で再計算する","failure mode を確認する","更新告知メモつきで共有する","共通baseline表 更新告知メモ 共有用短文","最高精度競争に戻らない"
2,"クロスデータセット汎化","汎化 gap 表を3か月で更新して条件付き比較へ戻す","共通ラベル空間だけで再比較する","例外条件を確認する","条件メモつきで共有する","汎化gap比較表 条件メモ 共有用短文","どこでも通用と語らない"
2,"リアルタイムデコーディング","遅延精度図を3か月で更新して軽量運用条件へ戻す","低遅延条件1本で折り合い図を更新する","誤警報率を確認する","軽量運用メモつきで共有する","遅延精度折り合い図 軽量運用メモ 共有用短文","完成システムとして語らない"
2,"Foundation Modelの適用","転移比較表を3か月で更新して自己教師あり比較へ戻す","OOD 条件を固定して更新する","転移利得が再現するか確認する","比較メモつきで共有する","表現転移比較表 比較メモ 共有用短文","基盤モデル完成と言わない"
2,"運動意図デコーディング","MI baseline 表を3か月で更新して被験者外基準へ戻す","被験者外条件だけで更新する","session 外との差を確認する","共有メモつきで共有する","MI baseline表 共有メモ 共有用短文","普遍的読取りにしない"
2,"感覚知覚デコーディング","知覚課題比較表を3か月で更新して限定課題比較へ戻す","ERP か SSVEP の1系統を更新する","誤分類条件を確認する","注記つきで共有する","知覚課題比較表 注記 共有用短文","知覚全体復元と書かない"
2,"言語/意味デコーディング","最小単位比較表を3か月で更新して限定課題整理へ戻す","ラベル定義を固定して更新する","除外条件を確認する","整理メモつきで共有する","最小単位比較表 整理メモ 共有用短文","思考解読にしない"
3,"感情状態の推定・分類","感情ラベル頑健性表を3か月で更新して安全域を維持する","主観ラベル軸で更新する","安全域を確認する","利用範囲メモつきで共有する","感情ラベル頑健性表 利用範囲メモ 共有用短文","感情断定にしない"
3,"記憶のエンコーディング/検索","記憶 proxy 表を3か月で更新して追試軸を維持する","成功失敗軸で更新する","proxy の安定性を確認する","追試メモつきで共有する","記憶proxy比較表 追試メモ 共有用短文","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","負荷 proxy 表を3か月で更新して drift 条件比較へ戻す","複数 proxy 構成で更新する","drift 条件を確認する","drift メモつきで共有する","負荷proxy比較表 driftメモ 共有用短文","万能指標にしない"
3,"意思決定過程","意思決定 proxy 表を3か月で更新して過程変数比較を維持する","小課題1本で比較図を更新する","除外解釈を確認する","除外解釈メモつきで共有する","意思決定proxy表 除外解釈メモ 共有用短文","自由意志論へ流れない"
3,"社会的認知","社会課題最小条件表を3か月で更新して小規模 pilot へ戻す","対象課題1本で条件表を更新する","失敗条件を確認する","追試案メモつきで共有する","社会課題最小条件表 追試案メモ 共有用短文","広い社会性判定にしない"
3,"創造性・問題解決","創造性 proxy 図を3か月で更新して教材化へ戻す","追試1本で差分図を更新する","差分軸を確認する","教材注記つきで共有する","創造性proxy図 教材注記 共有用短文","創造性そのものを測れたにしない"
3,"主観的経験の定量化","自己評定対応表を3か月で更新して限定尺度比較へ戻す","尺度固定で更新する","利用範囲を確認する","利用範囲メモつきで共有する","自己評定対応表 利用範囲メモ 共有用短文","経験の完全定量化と書かない"
4,"意識の神経相関（NCC）定量化","NCC 候補比較図を3か月で更新して状態差 proxy 比較へ戻す","境界条件を固定して更新する","条件メモを確認する","条件メモつきで共有する","NCC候補比較図 条件メモ 共有用短文","意識の正体解明としない"
