uid,rq_index,rq_text,readiness_score_0_to_100,score_basis_ja,trigger_match,raise_candidate,next_monitor_window_utc,monitor_lane,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,52,High priority monitoring and no differences,no,no,2026-03-08T14:38:23Z,priority_high,2026-03-01T20:18:45Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",38,Small fluctuations due to regular monitoring,no,no,2026-03-08T14:38:23Z,priority_low,2026-03-01T20:18:45Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,58,Moderate drift with high priority monitoring,no,no,2026-03-08T14:38:23Z,priority_high,2026-03-01T20:18:45Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,41,Steady state with no change in audit word,no,no,2026-03-08T14:38:23Z,priority_medium,2026-03-01T20:18:45Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",45,Continuation state of synonym variation small,no,no,2026-03-08T14:38:23Z,priority_medium,2026-03-01T20:18:45Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",43,Continuation status of small notation generation change,no,no,2026-03-08T14:38:23Z,priority_medium,2026-03-01T20:18:45Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",55,High priority monitoring and no revisions,no,no,2026-03-08T14:38:23Z,priority_high,2026-03-01T20:18:45Z
U15,2,How should neurorights be mapped onto technical audit items?,42,Steady state without granularity updates,no,no,2026-03-08T14:38:23Z,priority_medium,2026-03-01T20:18:45Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",60,Moderate drift with high priority monitoring,no,no,2026-03-08T14:38:23Z,priority_high,2026-03-01T20:18:45Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,40,Stable state without adding periodic words,no,no,2026-03-08T14:38:23Z,priority_medium,2026-03-01T20:18:45Z
