phase,topic,re_entry_trigger,first_return_unit,success_signal,note_line,avoid_point
1,"EEG信号品質の限界検証","新しい記録系か公開 benchmark が入り QC 閾値を更新できる時","QC 条件1本と再計測1セット","閾値表が1条件でも更新される","新しい記録条件で QC 閾値を更新できるため最小単位で復帰する","改善期待だけで復帰しない"
1,"高密度EEG空間分解能評価","新しい montage 条件か source 制約が入り 密度比較をやり直せる時","密度比較図1枚と設定表1本","比較図に新しい優位条件が1つでも増える","新条件で密度比較の意味が変わるため図1枚単位で復帰する","装置更新だけで全面復帰しない"
1,"マルチモーダル統合の基礎","paired dataset か同期手順の改善が入り 最小統合利得を再評価できる時","同期比較1本と paired data 1セット","同期利得が限定条件で再現する","paired 条件が整ったため最小統合利得だけ再評価する","統合期待だけで広い計画へ戻らない"
1,"ノイズ除去・信号分離手法の比較","共通 benchmark 条件が整い 同じ入力で再比較できる時","前処理比較表1枚と failure case 1件","既定値候補が1つでも安定する","共通条件ができたため実務既定値候補だけ再比較する","手法追加の多さで復帰しない"
1,"長時間記録の安定性評価","装着条件か再校正 protocol が改善し usable window を測り直せる時","安定区間図1枚と再校正手順1本","安定区間が1条件でも延びる","再校正条件が改善したため usable window の確認だけ復帰する","長時間夢想に戻らない"
2,"デコーディング精度ベンチマーク","新しい dataset family か評価軸が入り baseline の意味が更新される時","baseline 表1枚と評価設定1本","比較表に新しい差が1つでも出る","新 dataset で baseline 表を更新できるため比較単位で復帰する","精度競争だけで復帰しない"
2,"クロスデータセット汎化","共有 schema か外部 dataset が入り gap の説明を再検証できる時","gap 表1枚と schema 対応表1本","gap の原因が1つでも整理される","共有 schema が入ったため gap の再整理だけ復帰する","汎化万能論に戻らない"
2,"リアルタイムデコーディング","軽量 pipeline か hardware 条件が改善し latency budget を再測定できる時","遅延精度図1枚と実行ログ1本","目標 latency を1条件でも満たす","実行条件が改善したため latency 条件の確認だけ復帰する","完成品前提で再開しない"
2,"Foundation Modelの適用","大規模 unlabeled EEG か pretraining objective が入り 転移比較を更新できる時","転移比較表1枚と事前学習設定1本","強い baseline を1条件でも超える","新しい pretraining 条件で転移比較の意味が変わるため復帰する","モデル規模の大きさだけで復帰しない"
2,"運動意図デコーディング","適応校正か新しい MI 課題条件が入り 被験者外比較を更新できる時","MI baseline 表1枚と校正条件1本","被験者外精度が1条件でも伸びる","適応校正条件が入ったため MI baseline を限定更新する","普遍解読の話へ戻らない"
2,"感覚知覚デコーディング","刺激制御か課題設計が改善し 限定課題を追試できる時","課題比較表1枚と刺激条件1本","限定課題で再現差が1つでも出る","課題設計が整ったため限定知覚課題だけ復帰する","知覚全体復元に広げない"
2,"言語/意味デコーディング","annotation か task design が改善し 最小単位比較をやり直せる時","最小単位比較表1枚と annotation 条件1本","最小単位で安定差が1つでも出る","annotation 条件が整ったため最小単位比較だけ復帰する","思考解読の物語へ戻らない"
3,"感情状態の推定・分類","ラベル設計か課題条件が安定し 頑健性を再評価できる時","頑健性表1枚とラベル条件1本","ラベル間の一貫性が1条件でも上がる","ラベル条件が整理されたため頑健性確認だけ復帰する","感情断定に戻らない"
3,"記憶のエンコーディング/検索","統制された記憶課題か追加追試が入り proxy を再比較できる時","proxy 表1枚と課題条件1本","proxy が1条件でも再現する","統制課題が入ったため proxy 比較だけ復帰する","記憶内容読取りの話へ戻らない"
3,"注意・ワーキングメモリ","drift 制御条件か repeated session が入り 負荷比較を再測定できる時","負荷比較表1枚と drift 条件1本","負荷差が1条件でも安定する","drift 制御が入ったため負荷 proxy だけ復帰する","万能指数に戻さない"
3,"意思決定過程","motor matched design か別課題追試が入り 過程変数を再比較できる時","proxy 表1枚と除外解釈メモ1本","過程差が1条件でも残る","design が改善したため過程変数比較だけ復帰する","自由意志論に流さない"
3,"社会的認知","共有可能な小課題か協力先が入り 最小課題を再評価できる時","最小条件表1枚と pilot 1回分","小課題で再現差が1つでも出る","小課題共有ができたため pilot 単位で復帰する","広い社会性判定に戻らない"
3,"創造性・問題解決","採点 rubric か限定課題が改善し proxy 比較をやり直せる時","proxy 図1枚と rubric 1本","採点一致が1条件でも上がる","rubric が整ったため proxy 比較だけ復帰する","創造性そのものの測定主張に戻らない"
3,"主観的経験の定量化","安定尺度か同一手順の追試が入り 対応表を更新できる時","対応表1枚と尺度条件1本","対応が1条件でも再現する","尺度条件が整ったため対応表だけ復帰する","完全定量化へ飛ばない"
4,"意識の神経相関（NCC）定量化","状態統制が強い dataset か contrast 設計が入り NCC 候補を再比較できる時","候補比較図1枚と contrast 条件1本","候補差が1条件でも再現する","状態統制が整ったため候補比較だけ復帰する","意識の正体解明へ戻らない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","multi-site ラベル整理か追加施設データが入り cross-site 比較を更新できる時","benchmark 表1枚と site 条件1本","施設差込みでも分類差が1条件で残る","cross-site 条件が整ったため benchmark 更新だけ復帰する","診断代替主張に戻らない"
4,"統合情報理論(IIT)の実証的検証","sharper approximation か contrast 設計が入り proxy 比較を再評価できる時","proxy 比較表1枚と近似条件1本","近似 proxy が1条件でも安定する","近似条件が改善したため proxy 比較だけ復帰する","理論証明を約束しない"
4,"Global Workspace Theory の検証","preregistered contrast か新課題設計が入り 候補反応を再比較できる時","候補反応図1枚と contrast 条件1本","候補反応が1条件でも再現する","contrast が強化されたため候補反応比較だけ復帰する","理論勝敗の演出に戻らない"
4,"意識の連続性と同一性","高頻度 longitudinal data か状態遷移設計が入り 個人内比較を更新できる時","個人内比較図1枚と longitudinal 条件1本","個人内安定性が1条件でも確認できる","longitudinal 条件が整ったため個人内比較だけ復帰する","本人確認技術の含みを持たせない"
4,mind-upload可能性の理論的枠組み,"新しい empirical anchor か理論制約整理が入り claim ladder を更新できる時","claim ladder 1枚と不足要件表1本","安全域の段が1つでも更新される","empirical anchor が増えたため claim ladder の更新だけ復帰する","実現時期の含みを戻さない"
