uid,rq_index,rq_text,reclose_trigger_ja,ledger_item_1_ja,ledger_item_2_ja,ledger_item_3_ja,ledger_rule_ja,ledger_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,When reclose_ready is reached,Attach redetermination match record,Attach trail update history,Next window setting record attached,reclose_certified with 3 records satisfied,ledger_template_fixed,2026-03-01T23:59:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",When reclose_ready is reached,Attach redetermination match record,Attach trail update history,Next window setting record attached,reclose_certified with 3 records satisfied,ledger_template_fixed,2026-03-01T23:59:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,When reclose_ready is reached,Attach redetermination match record,Attach trail update history,Next window setting record attached,reclose_certified with 3 records satisfied,ledger_template_fixed,2026-03-01T23:59:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,When reclose_ready is reached,Attach redetermination match record,Attach trail update history,Next window setting record attached,reclose_certified with 3 records satisfied,ledger_template_fixed,2026-03-01T23:59:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",When reclose_ready is reached,Attach redetermination match record,Attach trail update history,Next window setting record attached,reclose_certified with 3 records satisfied,ledger_template_fixed,2026-03-01T23:59:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",When reclose_ready is reached,Attach redetermination match record,Attach trail update history,Next window setting record attached,reclose_certified with 3 records satisfied,ledger_template_fixed,2026-03-01T23:59:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",When reclose_ready is reached,Attach redetermination match record,Attach trail update history,Next window setting record attached,reclose_certified with 3 records satisfied,ledger_template_fixed,2026-03-01T23:59:00Z
U15,2,How should neurorights be mapped onto technical audit items?,When reclose_ready is reached,Attach redetermination match record,Attach trail update history,Next window setting record attached,reclose_certified with 3 records satisfied,ledger_template_fixed,2026-03-01T23:59:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",When reclose_ready is reached,Attach redetermination match record,Attach trail update history,Next window setting record attached,reclose_certified with 3 records satisfied,ledger_template_fixed,2026-03-01T23:59:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,When reclose_ready is reached,Attach redetermination match record,Attach trail update history,Next window setting record attached,reclose_certified with 3 records satisfied,ledger_template_fixed,2026-03-01T23:59:00Z
