phase,topic,closing_line,close_check_1,close_check_2,carryover_asset,next_cycle_line,avoid_point
1,"EEG信号品質の限界検証","品質閾値と失敗条件を年末版として閉じ 次年度には最小更新単位だけを残す","品質閾値表が公開版と一致しているか","失敗条件が削られず残っているか","品質閾値表 年末メモ 更新候補1件","次周期は QC benchmark の小さな更新から始める","品質から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","電極密度比較図を年末版として閉じ 標準条件メモだけを残す","比較条件が年末版で固定されているか","局在 claim が混ざっていないか","密度比較図 標準条件メモ 更新候補1件","次周期は 測定標準条件の更新から始める","局在技術の完成と語らない"
1,"マルチモーダル統合の基礎","最小統合利得を限定 benchmark として閉じ 利用範囲メモだけを残す","同期条件が年末版で固定されているか","統合万能論が消えているか","同期条件比較表 利用範囲メモ 更新候補1件","次周期は 限定 multimodal benchmark の更新から始める","統合万能論にしない"
1,"ノイズ除去・信号分離手法の比較","前処理比較表を実務既定値の年末版として閉じ 最小実務メモだけを残す","既定値候補が年末版で固定されているか","最強法探しに戻っていないか","前処理比較表 実務メモ 更新候補1件","次周期は 標準前処理提案の更新から始める","最強法探しへ戻らない"
1,"長時間記録の安定性評価","安定区間図を長時間運用の年末版として閉じ 運用メモだけを残す","再校正境目が年末版で固定されているか","完全追跡の表現が消えているか","安定区間比較図 運用メモ 更新候補1件","次周期は 長時間運用 benchmark の更新から始める","完全追跡の話にしない"
2,"デコーディング精度ベンチマーク","共通 baseline を年末版として閉じ 更新告知メモだけを残す","split と metric が年末版で固定されているか","最高精度競争に戻っていないか","共通baseline表 更新告知メモ 更新候補1件","次周期は 公開 benchmark commons の更新から始める","最高精度競争に戻らない"
2,"クロスデータセット汎化","汎化 gap 比較を年末版として閉じ 条件メモだけを残す","ラベル空間と例外条件が年末版で固定されているか","どこでも通用の表現が消えているか","汎化gap比較表 条件メモ 更新候補1件","次周期は 条件付き benchmark 更新から始める","どこでも通用と語らない"
2,"リアルタイムデコーディング","遅延精度図を年末版として閉じ 軽量運用メモだけを残す","遅延域が年末版で固定されているか","完成システムの表現が消えているか","遅延精度折り合い図 軽量運用メモ 更新候補1件","次周期は 軽量運用条件の更新から始める","完成システムとして語らない"
2,"Foundation Modelの適用","転移比較表を年末版として閉じ 比較メモだけを残す","OOD 条件が年末版で固定されているか","基盤モデル完成の表現が消えているか","表現転移比較表 比較メモ 更新候補1件","次周期は 自己教師あり再現比較の更新から始める","基盤モデル完成と言わない"
2,"運動意図デコーディング","MI baseline を年末版として閉じ 共有メモだけを残す","被験者外条件が年末版で固定されているか","普遍的読取りの表現が消えているか","MI baseline表 共有メモ 更新候補1件","次周期は MI benchmark の更新から始める","普遍的読取りにしない"
2,"感覚知覚デコーディング","知覚課題比較を年末版として閉じ 注記だけを残す","課題 family と誤分類条件が年末版で固定されているか","知覚全体復元の表現が消えているか","知覚課題比較表 注記 更新候補1件","次周期は 限定課題の再現比較から始める","知覚全体復元と書かない"
2,"言語/意味デコーディング","最小単位比較を年末版として閉じ 整理メモだけを残す","ラベル定義と除外条件が年末版で固定されているか","思考解読の表現が消えているか","最小単位比較表 整理メモ 更新候補1件","次周期は 言語 EEG の限定課題整理から始める","思考解読にしない"
3,"感情状態の推定・分類","感情ラベル頑健性を年末版として閉じ 利用範囲メモだけを残す","主観ラベル軸と安全域が年末版で固定されているか","感情断定の表現が消えているか","感情ラベル頑健性表 利用範囲メモ 更新候補1件","次周期は 粗い状態分類 benchmark 更新から始める","感情断定にしない"
3,"記憶のエンコーディング/検索","記憶 proxy を年末版として閉じ 追試メモだけを残す","成功失敗軸が年末版で固定されているか","記憶内容を読む表現が消えているか","記憶proxy比較表 追試メモ 更新候補1件","次周期は 記憶課題 benchmark 更新から始める","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","負荷 proxy を年末版として閉じ drift メモだけを残す","複数 proxy 構成が年末版で固定されているか","万能指標の表現が消えているか","負荷proxy比較表 driftメモ 更新候補1件","次周期は 負荷評価の再現比較から始める","万能指標にしない"
3,"意思決定過程","意思決定 proxy を年末版として閉じ 除外解釈メモだけを残す","比較図と除外線が年末版で固定されているか","自由意志論への流れが消えているか","意思決定proxy表 除外解釈メモ 更新候補1件","次周期は 小さな過程変数比較から始める","自由意志論へ流れない"
3,"社会的認知","社会課題最小条件を年末版として閉じ 追試案メモだけを残す","対象課題と失敗条件が年末版で固定されているか","広い社会性判定の表現が消えているか","社会課題最小条件表 追試案メモ 更新候補1件","次周期は 小規模 social pilot 更新から始める","広い社会性判定にしない"
3,"創造性・問題解決","創造性 proxy を年末版として閉じ 教材注記だけを残す","差分軸が年末版で固定されているか","創造性そのものを測れた表現が消えているか","創造性proxy図 教材注記 更新候補1件","次周期は 教材化可能な課題比較から始める","創造性そのものを測れたにしない"
3,"主観的経験の定量化","自己評定対応を年末版として閉じ 利用範囲メモだけを残す","尺度と利用範囲が年末版で固定されているか","完全定量化の表現が消えているか","自己評定対応表 利用範囲メモ 更新候補1件","次周期は 限定尺度の対応比較から始める","経験の完全定量化と書かない"
4,"意識の神経相関（NCC）定量化","NCC 候補比較を年末版として閉じ 条件メモだけを残す","境界条件が年末版で固定されているか","意識の正体解明の表現が消えているか","NCC候補比較図 条件メモ 更新候補1件","次周期は 状態差 proxy 比較更新から始める","意識の正体解明としない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","状態分類を年末版として閉じ 外れ条件メモだけを残す","状態ラベルと外れ条件が年末版で固定されているか","臨床診断代替の表現が消えているか","状態分類benchmark表 外れ条件メモ 更新候補1件","次周期は 施設差込み比較から始める","臨床診断代替にしない"
