phase,topic,guide_focus,guide_line,keep_guide_trigger,rewrite_trigger,do_not_guide,note_line,avoid_point
1,EEG信号品質の限界検証,QC境界をどう一文で案内するか,この結果はQC境界の整理であり高次内容の読取りを意味しない,QC条件への誤解がまだ起きる,より短い境界文で同じ意味を保てる,品質差が高次解釈に誤読される,品質関連の案内文はQC境界の一文だけ残す,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density利得をどう一文で案内するか,この結果は密度条件での限定利得であり局在完成を意味しない,密度利得への誤解がまだ起きる,より短い限定利得文へ書き換えられる,局在証明の文に誤読される,空間分解能の案内文は限定利得の一文だけ残す,局在完成の物語にしない
1,マルチモーダル統合の基礎,同期条件をどう一文で案内するか,この結果は同期条件の整理であり統合万能性を意味しない,統合同期への誤解がまだ起きる,より短い同期条件文へ書き換えられる,統合万能論に誤読される,統合の案内文は同期条件の一文だけ残す,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,既定値候補をどう一文で案内するか,この結果は前処理既定値候補の整理であり最強手法の決定を意味しない,前処理比較への誤解がまだ起きる,より短い既定値文へ書き換えられる,最強手法ランキングに誤読される,前処理の案内文は既定値候補の一文だけ残す,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window をどう一文で案内するか,この結果は運用可能区間の整理であり長時間計測の万能化を意味しない,運用区間への誤解がまだ起きる,より短い運用区間文へ書き換えられる,長時間記録万能論に誤読される,長時間運用の案内文はusable windowの一文だけ残す,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,benchmark条件をどう一文で案内するか,この結果はbenchmark条件の比較であり精度競争の勝敗を意味しない,benchmark差分への誤解がまだ起きる,より短い比較文へ書き換えられる,精度競争に誤読される,benchmarkの案内文は比較条件の一文だけ残す,精度競争に戻らない
2,クロスデータセット汎化,gap原因をどう一文で案内するか,この結果は汎化gapの原因候補整理でありどこでも通用することを意味しない,gap原因への誤解がまだ起きる,より短いgap文へ書き換えられる,どこでも通用に誤読される,汎化の案内文はgap原因の一文だけ残す,どこでも通用と語らない
2,リアルタイムデコーディング,遅延条件をどう一文で案内するか,この結果はreplay条件下の遅延整理でありtrue online成功を意味しない,遅延条件への誤解がまだ起きる,より短い遅延文へ書き換えられる,true online 成功に誤読される,リアルタイム性の案内文は遅延条件の一文だけ残す,true online 成功談にしない
2,Foundation Modelの適用,限定利得をどう一文で案内するか,この結果は限定的な利得整理であり基盤モデル万能性を意味しない,FM利得への誤解がまだ起きる,より短い限定利得文へ書き換えられる,基盤モデル万能論に誤読される,FMの案内文は限定利得の一文だけ残す,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject差分をどう一文で案内するか,この結果は被験者間差分の整理であり一般的な運動意図解読を意味しない,被験者差分への誤解がまだ起きる,より短い差分文へ書き換えられる,操作一般知能の話に誤読される,運動意図の案内文は被験者差分の一文だけ残す,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件をどう一文で案内するか,この結果は刺激条件つきの成立範囲であり知覚全再構成を意味しない,知覚条件への誤解がまだ起きる,より短い成立条件文へ書き換えられる,知覚全再構成に誤読される,知覚系の案内文は成立条件の一文だけ残す,知覚全再構成の話にしない
2,言語/意味デコーディング,語彙条件をどう一文で案内するか,この結果は語彙条件つきの成立範囲であり思考全文読取りを意味しない,語彙条件への誤解がまだ起きる,より短い語彙条件文へ書き換えられる,全文読心に誤読される,言語系の案内文は語彙条件の一文だけ残す,全文読心の話へ飛ばない
3,感情状態の推定・分類,ラベル条件をどう一文で案内するか,この結果はラベル条件つき分類であり内心の確定を意味しない,ラベル条件への誤解がまだ起きる,より短いラベル文へ書き換えられる,感情断定に誤読される,感情分類の案内文はラベル条件の一文だけ残す,感情断定の話にしない
3,記憶のエンコーディング/検索,encoding条件をどう一文で案内するか,この結果はencoding条件つき差分であり記憶内容読取りを意味しない,記憶条件への誤解がまだ起きる,より短い記憶条件文へ書き換えられる,記憶内容読取りに誤読される,記憶系の案内文は成立条件の一文だけ残す,記憶内容読取りの話へ飛ばない
3,注意・ワーキングメモリ,load差分をどう一文で案内するか,この結果は負荷差分の整理であり集中状態の全面監視を意味しない,負荷差分への誤解がまだ起きる,より短い負荷文へ書き換えられる,全面監視に誤読される,WM系の案内文はload差分の一文だけ残す,全面監視の話にしない
3,意思決定過程,段階差分をどう一文で案内するか,この結果は段階差分の整理であり自由意思の判定を意味しない,段階差分への誤解がまだ起きる,より短い段階文へ書き換えられる,自由意思判定に誤読される,意思決定の案内文は段階差分の一文だけ残す,自由意思判定の話へ飛ばない
3,社会的認知,task条件をどう一文で案内するか,この結果は課題条件つき差分であり他者理解の読取りを意味しない,task条件への誤解がまだ起きる,より短いtask文へ書き換えられる,他者理解読取りに誤読される,社会認知の案内文はtask条件の一文だけ残す,心の読み過ぎ物語にしない
3,創造性・問題解決,proxy限界をどう一文で案内するか,この結果はproxy指標の整理であり創造性の断定を意味しない,proxy限界への誤解がまだ起きる,より短いproxy文へ書き換えられる,創造性断定に誤読される,創造性の案内文はproxy限界の一文だけ残す,創造性断定の話にしない
3,主観的経験の定量化,対応範囲をどう一文で案内するか,この結果は自己報告との対応範囲であり主観の直接読取りを意味しない,対応範囲への誤解がまだ起きる,より短い対応文へ書き換えられる,主観直接読取りに誤読される,主観経験の案内文は対応範囲の一文だけ残す,主観の直接読取りにしない
4,意識の神経相関（NCC）定量化,NCC候補条件をどう一文で案内するか,この結果はNCC候補条件の整理であり意識の本質証明を意味しない,NCC候補への誤解がまだ起きる,より短い候補文へ書き換えられる,本質証明に誤読される,NCCの案内文は候補条件の一文だけ残す,本質証明の話にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state境界をどう一文で案内するか,この結果は状態境界の整理であり単一の意識尺度を意味しない,state境界への誤解がまだ起きる,より短い境界文へ書き換えられる,単一尺度に誤読される,state分類の案内文は境界条件の一文だけ残す,単一尺度神話にしない
4,統合情報理論(IIT)の実証的検証,proxy限界をどう一文で案内するか,この結果はIIT proxyの限界整理であり理論決着を意味しない,proxy限界への誤解がまだ起きる,より短いproxy文へ書き換えられる,理論決着に誤読される,IITの案内文はproxy限界の一文だけ残す,理論決着を語らない
4,Global Workspace Theory の検証,workspace条件をどう一文で案内するか,この結果はworkspace proxy条件の整理であり理論の勝敗を意味しない,workspace条件への誤解がまだ起きる,より短いworkspace文へ書き換えられる,GWT勝敗に誤読される,GWTの案内文はworkspace条件の一文だけ残す,理論の勝敗表にしない
