uid,rq_index,rq_text,propagation_condition_ja,ledger_item_1_ja,ledger_item_2_ja,ledger_item_3_ja,propagation_rule_ja,propagation_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,When gate_refresh_done is reached,Attach the update record,Record the destination of the applied change,Record the time of application,propagation_logged with 3 records fulfilled,ledger_template_fixed,2026-03-02T00:34:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",When gate_refresh_done is reached,Attach the update record,Record the destination of the applied change,Record the time of application,propagation_logged with 3 records fulfilled,ledger_template_fixed,2026-03-02T00:34:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,When gate_refresh_done is reached,Attach the update record,Record the destination of the applied change,Record the time of application,propagation_logged with 3 records fulfilled,ledger_template_fixed,2026-03-02T00:34:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,When gate_refresh_done is reached,Attach the update record,Record the destination of the applied change,Record the time of application,propagation_logged with 3 records fulfilled,ledger_template_fixed,2026-03-02T00:34:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",When gate_refresh_done is reached,Attach the update record,Record the destination of the applied change,Record the time of application,propagation_logged with 3 records fulfilled,ledger_template_fixed,2026-03-02T00:34:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",When gate_refresh_done is reached,Attach the update record,Record the destination of the applied change,Record the time of application,propagation_logged with 3 records fulfilled,ledger_template_fixed,2026-03-02T00:34:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",When gate_refresh_done is reached,Attach the update record,Record the destination of the applied change,Record the time of application,propagation_logged with 3 records fulfilled,ledger_template_fixed,2026-03-02T00:34:00Z
U15,2,How should neurorights be mapped onto technical audit items?,When gate_refresh_done is reached,Attach the update record,Record the destination of the applied change,Record the time of application,propagation_logged with 3 records fulfilled,ledger_template_fixed,2026-03-02T00:34:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",When gate_refresh_done is reached,Attach the update record,Record the destination of the applied change,Record the time of application,propagation_logged with 3 records fulfilled,ledger_template_fixed,2026-03-02T00:34:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,When gate_refresh_done is reached,Attach the update record,Record the destination of the applied change,Record the time of application,propagation_logged with 3 records fulfilled,ledger_template_fixed,2026-03-02T00:34:00Z
