uid,rq_index,rq_text,previous_drift_score,rechecked_drift_score,drift_threshold,delta_score,escalation_status,next_step_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,18,19,40,+1,keep_watch,Continue checking the definition word revision line in the next window,2026-03-01T19:45:10Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",14,15,40,+1,keep_watch,Continue to regularly check whether the current language version has been updated.,2026-03-01T19:45:10Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,26,27,40,+1,keep_watch,Continuing advance confirmation of conditional word changes,2026-03-01T19:45:10Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,16,16,40,0,keep_watch,Continue to regularly check whether audit terms have been added.,2026-03-01T19:45:10Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",22,23,40,+1,keep_watch,Continue to regularly check whether synonyms have been added.,2026-03-01T19:45:10Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",20,20,40,0,keep_watch,Continue to regularly check whether the indicated generation has been updated.,2026-03-01T19:45:10Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",24,25,40,+1,keep_watch,Continuing advance confirmation of legal definition revisions,2026-03-01T19:45:10Z
U15,2,How should neurorights be mapped onto technical audit items?,19,19,40,0,keep_watch,Continue to regularly check map word granularity updates,2026-03-01T19:45:10Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",28,29,40,+1,keep_watch,Continuing advance confirmation of changes in the three common requirements,2026-03-01T19:45:10Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,17,18,40,+1,keep_watch,Continued regular confirmation of periodic word official additions.,2026-03-01T19:45:10Z
