uid,rq_index,rq_text,priority_lane,gate_check_1_ja,gate_check_2_ja,gate_check_result,next_action_ja,next_due_utc,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,medium,Check for definition term differences,Heading match confirmation,pass,Post to final report template,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",medium,Time word difference extraction completed,Clause heading rematch,conditional_pass,Added confirmation of acceptance of new version of current language,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,high,Successful extraction of official clauses once,Hold reason refixed,conditional_pass,Obtain a second successful extraction and re-determine,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,medium,Confirm no connective word difference,Audit word difference confirmation that there is no effect,conditional_pass,Schedule rematching when adding audit terms,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",medium,Synonym addition log check,Confirm no difference in judgment,conditional_pass,Re-verify with the next version of the synonym,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",medium,Confirm that the difference between the old and new notation is reflected,Check for missing trail items,conditional_pass,Reconfirm the notation update in the next monitoring window,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",low,Confirmation that there are no differences in legal text,Definition word consistency check,pass,Post to final report template,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U15,2,How should neurorights be mapped onto technical audit items?,medium,Confirmation of new version of particle size correspondence table,Update date comparison consistency check,conditional_pass,Added re-inspection for missing audit items,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",high,Successful extraction of three requirements once,Jurisdictional requirements table recheck,conditional_pass,Obtain a second successful extraction and re-determine,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,medium,Confirmation of no periodic word difference,Stop condition consistency check,conditional_pass,Re-monitoring for official additions,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
