uid,rq_index,rq_text,apply_target_ja,apply_condition_ja,checkpoint_1_ja,checkpoint_2_ja,checkpoint_3_ja,checkpoint_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Difference summary paragraph in section U12,trigger matched and threshold exceeded,Added 1 line of difference summary,Added 2 trail CSV links,Update next monitoring date,template_fixed,2026-03-01T21:18:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Difference summary paragraph in section U12,trigger matched and threshold exceeded,Added 1 line of difference summary,Added 2 trail CSV links,Update next monitoring date,template_fixed,2026-03-01T21:18:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Difference summary paragraph in section U12,trigger matched and threshold exceeded,Added 1 line of difference summary,Added 2 trail CSV links,Update next monitoring date,template_fixed,2026-03-01T21:18:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Difference summary paragraph in section U12,trigger matched and threshold exceeded,Added 1 line of difference summary,Added 2 trail CSV links,Update next monitoring date,template_fixed,2026-03-01T21:18:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Difference summary paragraph in section U12,trigger matched and threshold exceeded,Added 1 line of difference summary,Added 2 trail CSV links,Update next monitoring date,template_fixed,2026-03-01T21:18:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Difference summary paragraph in section U12,trigger matched and threshold exceeded,Added 1 line of difference summary,Added 2 trail CSV links,Update next monitoring date,template_fixed,2026-03-01T21:18:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Difference summary paragraph in section U15,trigger matched and threshold exceeded,Added 1 line of difference summary,Added 2 trail CSV links,Update next monitoring date,template_fixed,2026-03-01T21:18:00Z
U15,2,How should neurorights be mapped onto technical audit items?,Difference summary paragraph in section U15,trigger matched and threshold exceeded,Added 1 line of difference summary,Added 2 trail CSV links,Update next monitoring date,template_fixed,2026-03-01T21:18:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Difference summary paragraph in section U15,trigger matched and threshold exceeded,Added 1 line of difference summary,Added 2 trail CSV links,Update next monitoring date,template_fixed,2026-03-01T21:18:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Difference summary paragraph in section U15,trigger matched and threshold exceeded,Added 1 line of difference summary,Added 2 trail CSV links,Update next monitoring date,template_fixed,2026-03-01T21:18:00Z
