uid,rq_index,rq_text,reentry_trigger_ja,triage_item_1_ja,triage_item_2_ja,triage_item_3_ja,triage_rule_ja,triage_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,When reentry_candidate is detected,Classify recurrence type,Determine the degree of influence with high_medium_low,Set reconnection priority,triage_ready when 3 judgments are satisfied,triage_template_fixed,2026-03-02T00:10:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",When reentry_candidate is detected,Classify recurrence type,Determine the degree of influence with high_medium_low,Set reconnection priority,triage_ready when 3 judgments are satisfied,triage_template_fixed,2026-03-02T00:10:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,When reentry_candidate is detected,Classify recurrence type,Determine the degree of influence with high_medium_low,Set reconnection priority,triage_ready when 3 judgments are satisfied,triage_template_fixed,2026-03-02T00:10:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,When reentry_candidate is detected,Classify recurrence type,Determine the degree of influence with high_medium_low,Set reconnection priority,triage_ready when 3 judgments are satisfied,triage_template_fixed,2026-03-02T00:10:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",When reentry_candidate is detected,Classify recurrence type,Determine the degree of influence with high_medium_low,Set reconnection priority,triage_ready when 3 judgments are satisfied,triage_template_fixed,2026-03-02T00:10:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",When reentry_candidate is detected,Classify recurrence type,Determine the degree of influence with high_medium_low,Set reconnection priority,triage_ready when 3 judgments are satisfied,triage_template_fixed,2026-03-02T00:10:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",When reentry_candidate is detected,Classify recurrence type,Determine the degree of influence with high_medium_low,Set reconnection priority,triage_ready when 3 judgments are satisfied,triage_template_fixed,2026-03-02T00:10:00Z
U15,2,How should neurorights be mapped onto technical audit items?,When reentry_candidate is detected,Classify recurrence type,Determine the degree of influence with high_medium_low,Set reconnection priority,triage_ready when 3 judgments are satisfied,triage_template_fixed,2026-03-02T00:10:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",When reentry_candidate is detected,Classify recurrence type,Determine the degree of influence with high_medium_low,Set reconnection priority,triage_ready when 3 judgments are satisfied,triage_template_fixed,2026-03-02T00:10:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,When reentry_candidate is detected,Classify recurrence type,Determine the degree of influence with high_medium_low,Set reconnection priority,triage_ready when 3 judgments are satisfied,triage_template_fixed,2026-03-02T00:10:00Z
