phase,topic,verdict,grant_theme,eeg_data_slices,candidate_datasets,first_metrics,candidate_programs,claim_level,support_type_priority,12_week_deliverable,main_risk
1,EEG信号品質の限界検証,○,公開EEG横断での信号品質・アーチファクト耐性の再現性評価,測定基盤,"A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Single-channel wearable EEG using low-power Qvar sensor and machine learning for drowsiness detection / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals","SNR; bad channel率; artifact除去前後の保存率","高齢社会課題解決研究（AI）への助成 / 教育研究資金・研究補助金",L0,research_grant,qc_benchmark_v1,metadata_heterogeneity
1,高密度EEG空間分解能評価,△,HD-EEGソース推定の空間限界と再現性評価,"測定基盤; resting/connectivity","Simultaneous human intracerebral stimulation and HD-EEG, ground-truth for source localization methods / Localize-MI / Ultra high-density EEG recording of interictal migraine and controls: sensory and rest","localization error; electrode数依存の劣化曲線","学術・研究助成（2025年度） / 教育研究助成事業",L0-L1,research_grant,source_limit_note,ground_truth_scarcity
1,マルチモーダル統合の基礎,△,EEG-fNIRS/eye-tracking 同期統合の標準化,"multimodal; 測定基盤","CuBiAAD / Data of Multimodal Fusion System for Cognitive Load Assessment in Psychological Experiments / Simultaneous EEG-fMRI, structural and diffusion-weighted MRI from 50 healthy participants","modality同期誤差; fusion有無の性能差","教育研究助成事業 / 会議開催費助成公募 / 日本万国博覧会記念基金",L0-L1,research_grant>activity_grant,multimodal_alignment_note,modality_alignment
1,ノイズ除去・信号分離手法の比較,○,ASR/ICA/ZapLine 系前処理の横断比較ベンチマーク,測定基盤,"Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals / Wearable Ambulatory Electrocardiogram (ECG) and EEG dataset / A Comparative Dataset of Commercial Portable Brain Monitoring Devices","artifact除去前後の保存率; SNR","教育研究資金・研究補助金 / リバネス研究費",L0,research_grant,preprocessing_comparison_table,artifact_label_mismatch
1,長時間記録の安定性評価,○,長時間EEGにおける drift・疲労・睡眠遷移の安定性評価,"睡眠/意識状態; 測定基盤","101-nights / Aalborg University Wearable Sleep Study (AAUWSS) / ERP Data from a Longitudinal Working Memory Task in Children With and Without Dyslexia","session drift; 欠損率; transition stability","高齢社会課題解決研究（AI）への助成 / 教育研究助成事業",L0-L1,research_grant,longitudinal_stability_note,session_protocol_gap
2,デコーディング精度ベンチマーク,○,公開EEGベンチマークでの decoding 精度基盤構築,"運動意図; ERP/P300; SSVEP","Motor Imagery Dataset Using Emotiv Insight Device / An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / 16 channel Three speaker dynamic switch cEEGrid Auditory Attention Decoding Dataset Nanjing University","balanced accuracy; macro-F1; subject holdout","学生チャレンジ奨学金 / リバネス研究費",L1,research_grant>award_or_prize,decoding_benchmark_v1,task_definition_mismatch
2,クロスデータセット汎化,△,公開EEG横断での cross-dataset generalization 限界測定,"運動意図; ERP/P300; SSVEP; 感情","REH-MI / Motor Imagery Dataset Using Emotiv Insight Device / Upper Limb Rehabilitation Motor Imagery EEG Signals","cross-dataset gap; LOSO精度","教育研究助成事業 / 奨学金助成、研究開発助成、スポーツ活動助成",L1,research_grant,cross_dataset_gap_report,label_space_mismatch
2,リアルタイムデコーディング,△,リアルタイムEEG decoding の replay ベース遅延評価,"SSVEP; 運動意図; 記憶/注意","Single-flicker online SSVEP BCI dataset / Synthetic and real EEG datasets for closed-loop neuroscience / 16 channel Three speaker dynamic switch cEEGrid Auditory Attention Decoding Dataset Nanjing University","online replay latency; classification accuracy","学生プロジェクト立ち上げ助成~The First Mile~ / リバネス研究費",L1,loan_or_finance>research_grant,replay_latency_note,true_online_absence
2,Foundation Modelの適用,△,公開EEG自己教師あり表現学習の基盤化,"運動意図; 睡眠/意識状態; 感情","TF-C Pretrain SleepEEG / Motor Imagery Dataset Using Emotiv Insight Device / A Multi-Class Electroencephalography Dataset for Imagined Speech Decoding","linear probe accuracy; OOD gap","未解の知〜The ANRI Fellowship〜 基礎科学研究奨学金 / リバネス研究費",L1-L2弱,research_grant,ssl_pretrain_baseline,compute_and_label_bias
2,運動意図デコーディング,○,cross-subject motor imagery decoding の汎化限界,運動意図,"REH-MI / Motor Imagery Dataset Using Emotiv Insight Device / Indonesian Motor Imagery Dataset","balanced accuracy; macro-F1; subject holdout","学生チャレンジ奨学金 / 奨学金",L1,award_or_prize>research_grant,mi_generalization_note,subject_shift
2,感覚知覚デコーディング,○,ERP/P300/SSVEP による感覚知覚 decoding の再現性評価,"ERP/P300; SSVEP; 記憶/注意","An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / 16 channel Three speaker dynamic switch cEEGrid Auditory Attention Decoding Dataset Nanjing University","P300 latency; SSVEP frequency classification; AUC","教育研究助成事業 / 学生チャレンジ奨学金",L1,research_grant>award_or_prize,perception_benchmark_note,protocol_variation
2,言語/意味デコーディング,△,imagined speech / semantic EEG decoding の成立条件,"言語/意味; 記憶/注意","A Multi-Class Electroencephalography Dataset for Imagined Speech Decoding / MSEEG / 3M-CPSEED / N400 event-related potential sentence set","imagined speech classification; semantic congruency ERP","未解の知〜The ANRI Fellowship〜 基礎科学研究奨学金 / 教育研究助成事業",L1,research_grant,semantic_decoding_feasibility_note,label_definition_gap
3,感情状態の推定・分類,○,emotion/stress EEG の被験者間頑健性評価,感情,"A Multisensory EEG Dataset for Emotion Elicitation by Audiovisual-Haptic Stimuli / Frontal Alpha and Parietal Theta Asymmetries Associated with Color-Induced Emotions / EEG-Dataset-for-Psychosocial-Stress-TSST-with-Personality-Labels","macro-F1; calibration error; session transfer","高齢社会課題解決研究（AI）への助成 / 学生チャレンジ奨学金",L1,research_grant>award_or_prize,emotion_robustness_note,subjective_label_noise
3,記憶のエンコーディング/検索,△,working memory / retrieval EEG 指標の再現性検証,"記憶/注意; ERP/P300","ERP Data from a Longitudinal Working Memory Task in Children With and Without Dyslexia / Neural reinstatement of features in audiovisual working memory indicates object-based retrieval / Processing in working memory boosts long-term memory representations and their retrieval","AUROC; workloadレベル別混同行列; longitudinal drift","教育研究助成事業 / 奨学金",L1,research_grant,wm_retrieval_note,retrieval_label_sparsity
3,注意・ワーキングメモリ,△,attention/workload EEG の汎化評価とWM課題拡張,"記憶/注意; ERP/P300","Single-Channel EEG Dataset for Task-Based Mental Workload Analysis / CuBiAAD / Multimethod data on mental workload in pilots","macro-F1; workloadレベル別混同行列; session drift","高齢社会課題解決研究（AI）への助成 / 学生チャレンジ奨学金",L1,research_grant>award_or_prize,workload_generalization_note,task_scale_mismatch
3,意思決定過程,△,リスク選択・報酬予測のEEG指標化,"記憶/注意; 感情","The Neuroscience of Moral Choice / Decision-making in dynamic, continuously evolving environments / Subjective value-weights on benefit and risk in human neurocomputation","AUC; reward/risk condition差","教育研究助成事業 / リバネス研究費",L1,research_grant,decision_proxy_note,construct_ambiguity
3,社会的認知,△,social stress / joint attention / hyperscanning EEG の基礎評価,"感情; multimodal","Inter-brain ERPs alignment during a joint Simon task: an EEG hyperscanning study / EEG-Dataset-for-Psychosocial-Stress-TSST-with-Personality-Labels / Endogenous oscillatory rhythms and interactive contingencies jointly influence infant attention during early infant-caregiver interaction","inter-brain synchrony; stress反応; joint-task差","ゆめバンクとくしま助成事業 / 日本万国博覧会記念基金",L1,activity_grant>research_grant,hyperscanning_pilot_note,sample_size_small
