phase,topic,exit_trigger,preserve_asset,re_entry_condition,note_line,avoid_point
1,"EEG信号品質の限界検証","QC 改善を重ねても下流利得が増えず 新しい記録条件も入らない時","品質閾値表 failure mode 一覧 再現手順","新しいセンサ条件か外部 benchmark が入った時","今回は 品質閾値表を残して 記録条件の更新が入るまで一度閉じます","品質限界から mind-upload 不可能へ飛ばない"
1,"高密度EEG空間分解能評価","密度を上げても有意な利得が増えず 設備負担だけが増える時","密度比較図 推奨設定表 標準条件メモ","新しい montage 条件か source constraint の更新が入った時","今回は 密度比較図を残して 新条件が出るまで高密度化の追撃を止めます","高密度化停止を空間情報ゼロと書かない"
1,"マルチモーダル統合の基礎","同期利得が追試で再現せず paired data も増えない時","同期条件比較表 利用範囲メモ 条件一覧","新しい paired dataset か同期手順の改善が入った時","今回は 同期条件表だけ残して paired data 条件が整うまで閉じます","統合停止を単独 EEG 全否定にしない"
1,"ノイズ除去・信号分離手法の比較","前処理順位が課題ごとに反転し 実務既定値が定まらない時","前処理比較表 実務メモ 失敗例一覧","共通 benchmark 条件か比較対象の整理ができた時","今回は 前処理比較表を残して 共通 benchmark が整うまで追撃を止めます","最強法がないことを手法比較無意味と書かない"
1,"長時間記録の安定性評価","drift が支配的で usable window を延ばせず 再校正コストも下がらない時","安定区間比較図 再校正条件表 運用メモ","新しい装着条件か再校正 protocol の改善が入った時","今回は 安定区間図を残して 再校正条件が改善するまで閉じます","長時間停止を連続計測全否定にしない"
2,"デコーディング精度ベンチマーク","benchmark が飽和し OOD gap も新しく見つからない時","共通baseline表 更新メモ failure mode 一覧","新しい dataset family か評価指標の更新が入った時","今回は 共通 baseline 表を残して 新条件が出るまで拡張を止めます","最高精度が出ないことを benchmark 不要と書かない"
2,"クロスデータセット汎化","gap の説明が confound 列挙に留まり 共通 schema も作れない時","汎化gap比較表 条件メモ 例外条件表","共有 schema か追加外部 dataset が入った時","今回は gap 表を残して schema が揃うまで汎化主張を縮めます","汎化困難を永続的な不可能と書かない"
2,"リアルタイムデコーディング","現実的な hardware で latency budget を満たせず 安定運用もできない時","遅延精度折り合い図 軽量運用メモ 条件表","軽量 pipeline か hardware 条件の改善が入った時","今回は 遅延精度図を残して 現実条件で回る構成が出るまで止めます","リアルタイム停止を online EEG 全否定にしない"
2,"Foundation Modelの適用","自己教師ありや事前学習が強い baseline を一貫して超えない時","表現転移比較表 比較メモ OOD 条件表","大規模 unlabeled EEG か事前学習 objective の改善が入った時","今回は 転移比較表を残して 新しい事前学習条件が出るまで閉じます","基盤モデル未達を表現学習全否定にしない"
2,"運動意図デコーディング","被験者外利得が頭打ちで session 変動も抑えられない時","MI baseline表 共有メモ 条件表","適応校正か新しい MI 課題条件が入った時","今回は MI baseline を残して 適応校正の条件が整うまで止めます","MI の停滞を運動関連 EEG 全否定にしない"
