uid,rq_index,rq_text,handoff_ticket_id,completion_check_1_ja,completion_check_2_ja,completion_check_3_ja,completion_state,close_evidence_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,U12-RQ1-H41,Heading acquisition completed,Revision date record completed,Judgment word match confirmation,ready_to_close,Confirmation URL Revision date Heading Judgment memo,2026-03-01T18:06:05Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",U12-RQ2-H41,Current word comparison update completed,Clause heading matching completed,Judgment word match confirmation,ready_to_close,Time word comparison Clause heading Judgment memo,2026-03-01T18:06:05Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,U12-RQ3-H41,Official terms reacquired completed,Extraction log preparation completed,Hold reason fixed completed,hold_with_evidence,Official clause URL Extraction log Reason for suspension,2026-03-01T18:06:05Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,U12-RQ4-H41,Conjunction word preparation completed,Audit word completion completed,Judgment word match confirmation,ready_to_close,Conjunction word list Audit word list Judgment memo,2026-03-01T18:06:05Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",U12-RQ5-H41,Synonym table updated,Normalization log maintenance completed,Judgment fixed confirmation,ready_to_close,Synonym table Normalization log Judgment difference,2026-03-01T18:06:05Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",U12-RQ6-H41,Notation comparison updated,Trail item completion completed,Judgment word match confirmation,ready_to_close,Notation comparison Trail item Judgment memo,2026-03-01T18:06:05Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",U15-RQ1-H41,Completed legal definition acquisition,Revision date record completed,Judgment word match confirmation,ready_to_close,Legal text definition line Revision date Judgment memo,2026-03-01T18:06:05Z
U15,2,How should neurorights be mapped onto technical audit items?,U15-RQ2-H41,Particle size correspondence table updated,Completion of update date comparison,Judgment word match confirmation,ready_to_close,Particle size correspondence table Update date comparison Judgment memo,2026-03-01T18:06:05Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",U15-RQ3-H41,Re-extraction of three requirements completed,Jurisdictional requirements table updated,Hold reason fixed completed,hold_with_evidence,Three requirements table Jurisdictional requirements table Reason for suspension,2026-03-01T18:06:05Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,U15-RQ4-H41,Periodic word extraction completed,Stop condition verification completed,Judgment word match confirmation,ready_to_close,Periodic word log Stop condition line Judgment memo,2026-03-01T18:06:05Z
