uid,rq_index,rq_text,focus_check_point_ja,round24_status,round26_recheck_summary,decision_round26,reason_plain_ja,immediate_repo_action_ja,external_dependency_task,decision_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Identification of branch entity/change in definition of legal personality (personhood/identity),Access route change: Determine whether there is a real difference by manually checking the browser,access_path_resolved | stable_2xx | stable_2xx,Main text deferred (no substance updated),"The access route change in Round 24 was restored to 2xx in Round 26 reconfirmation, and no entity update signal was confirmed.",No changes to text. Only the audit log is updated.,Manual browser confirmation (only when necessary),2026-03-01T14:38:23Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?","Is there any update to the provisions/interpretations regarding the timing of succession of responsibilities, rights, and consent?",Access route change: Determine whether there is a real difference by manually checking the browser,access_path_resolved | stable_2xx | stable_2xx,Main text deferred (no substance updated),"The access route change in Round 24 was restored to 2xx in Round 26 reconfirmation, and no entity update signal was confirmed.",No changes to text. Only the audit log is updated.,Manual browser confirmation (only when necessary),2026-03-01T14:38:23Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Is there an update to the interpretation that deals with the discrepancy between psychological continuity and legal individual standards?,Access route change: Determine whether there is a real difference by manually checking the browser,access_path_resolved | stable_2xx | stable_2xx,Main text deferred (no substance updated),"The access route change in Round 24 was restored to 2xx in Round 26 reconfirmation, and no entity update signal was confirmed.",No changes to text. Only the audit log is updated.,Manual browser confirmation (only when necessary),2026-03-01T14:38:23Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Whether to add operational regulations to connect technical evaluation indicators and personality attribution judgments,Access route change: Determine whether there is a real difference by manually checking the browser,access_path_resolved | stable_2xx | stable_2xx,Main text deferred (no substance updated),"The access route change in Round 24 was restored to 2xx in Round 26 reconfirmation, and no entity update signal was confirmed.",No changes to text. Only the audit log is updated.,Manual browser confirmation (only when necessary),2026-03-01T14:38:23Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Is there any additional auditing requirement regarding subject ID reorganization during memory editing/resynchronization?,Access route change: Determine whether there is a real difference by manually checking the browser,access_path_resolved | stable_2xx | stable_2xx,Main text deferred (no substance updated),"The access route change in Round 24 was restored to 2xx in Round 26 reconfirmation, and no entity update signal was confirmed.",No changes to text. Only the audit log is updated.,Manual browser confirmation (only when necessary),2026-03-01T14:38:23Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Revocation of privileges and audit trail obligations upon withdrawal of consent?,Access route change: Determine whether there is a real difference by manually checking the browser,access_path_resolved | stable_2xx | stable_2xx,Main text deferred (no substance updated),"The access route change in Round 24 was restored to 2xx in Round 26 reconfirmation, and no entity update signal was confirmed.",No changes to text. Only the audit log is updated.,Manual browser confirmation (only when necessary),2026-03-01T14:38:23Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Whether the definition of legal classification of neural data (personal information/sensitive information) has been updated,No difference: Continue regular monitoring,stable_2xx | stable_2xx | stable_2xx,Main text deferred (no differences),"The monitoring URL was in a stable state, and no signals indicating entity updates were observed.",No changes to text. Regular monitoring continues.,Manual browser confirmation (only when necessary),2026-03-01T14:38:23Z
U15,2,How should neurorights be mapped onto technical audit items?,Is there an update to the practical guide for mapping neurorights to audit items?,No difference: Continue regular monitoring,stable_2xx | stable_2xx | stable_2xx,Main text deferred (no differences),"The monitoring URL was in a stable state, and no signals indicating entity updates were observed.",No changes to text. Regular monitoring continues.,Manual browser confirmation (only when necessary),2026-03-01T14:38:23Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Minimum common operation across jurisdictions (interoperability/cross-border transfer) renewal status,No difference: Continue regular monitoring,stable_2xx | stable_2xx | stable_2xx,Main text deferred (no differences),"The monitoring URL was in a stable state, and no signals indicating entity updates were observed.",No changes to text. Regular monitoring continues.,Manual browser confirmation (only when necessary),2026-03-01T14:38:23Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Changes in governance procedures for suspension conditions and renewal conditions?,No difference: Continue regular monitoring,stable_2xx | stable_2xx | stable_2xx,Main text deferred (no differences),"The monitoring URL was in a stable state, and no signals indicating entity updates were observed.",No changes to text. Regular monitoring continues.,Manual browser confirmation (only when necessary),2026-03-01T14:38:23Z
