uid,rq_index,rq_text,ledger_entry_min_fields_ja,before_after_scope_ja,accept_record_condition_ja,reject_record_condition_ja,repo_write_target_ja,external_dependency_note_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,RQ identifier Summary before change Summary after change Base URL Revision date Recording time UTC,Targets only the area directly under the audit line in section U12,"The basis URL, revision date, and heading match",URL route difference only or no heading difference,U12 corresponding part of research_harvest_50.md,"When the access route changes, it is recorded after manual confirmation.",2026-03-01T16:17:30Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",RQ identifier Summary before change Summary after change Base URL Revision date Recording time UTC,Targets only the area directly under the audit line in section U12,Check the clause difference at the time of inheritance or branching,There is no difference in meaning just by changing the word order.,U12 corresponding part of research_harvest_50.md,"If revision history is not obtained, hold and reconfirm.",2026-03-01T16:17:30Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,RQ identifier Summary before change Summary after change Base URL Revision date Recording time UTC,Targets only the area directly under the audit line in section U12,Confirm addition/deletion changes to conflict resolution rules,"Trigger word match only, no clause difference",U12 corresponding part of research_harvest_50.md,Vocabulary fluctuations will be re-judged after updating the collation table.,2026-03-01T16:17:30Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,RQ identifier Summary before change Summary after change Base URL Revision date Recording time UTC,Targets only the area directly under the audit line in section U12,Check the difference in connection requirements,"Only link normalization, no actual difference",U12 corresponding part of research_harvest_50.md,Deferred recording if only UI differences,2026-03-01T16:17:30Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",RQ identifier Summary before change Summary after change Base URL Revision date Recording time UTC,Targets only the area directly under the audit line in section U12,Confirm entity ID reorganization or audit obligation differences,"Only synonym difference, no semantic difference",U12 corresponding part of research_harvest_50.md,"If synonym determination is unstable, hold record",2026-03-01T16:17:30Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",RQ identifier Summary before change Summary after change Base URL Revision date Recording time UTC,Targets only the area directly under the audit line in section U12,Check privilege revocation procedures or audit obligation differences,Missing trail item,U12 corresponding part of research_harvest_50.md,"If the trail is insufficient, re-record after external confirmation.",2026-03-01T16:17:30Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",RQ identifier Summary before change Summary after change Base URL Revision date Recording time UTC,Targets only the area directly under the audit line within section U15,Check the heading difference of legal classification definition,No revision date obtained or only UI differences,U15 corresponding part of research_harvest_50.md,Re-record after obtaining the official revision date,2026-03-01T16:17:30Z
U15,2,How should neurorights be mapped onto technical audit items?,RQ identifier Summary before change Summary after change Base URL Revision date Recording time UTC,Targets only the area directly under the audit line within section U15,Check the heading difference of the mapping rule,Modification date discrepancies between reference sources remain unresolved,U15 corresponding part of research_harvest_50.md,Re-record after unifying to priority document,2026-03-01T16:17:30Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",RQ identifier Summary before change Summary after change Base URL Revision date Recording time UTC,Targets only the area directly under the audit line within section U15,Can extract three or more common requirements,Unable to extract common requirements due to excessive jurisdictional differences,U15 corresponding part of research_harvest_50.md,"If extraction is not possible, clearly state the reason for the suspension.",2026-03-01T16:17:30Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,RQ identifier Summary before change Summary after change Base URL Revision date Recording time UTC,Targets only the area directly under the audit line within section U15,Simultaneously check the difference between stop conditions and re-evaluation cycle,Re-evaluation period is not stated,U15 corresponding part of research_harvest_50.md,Re-execute differential recording after checking the cycle,2026-03-01T16:17:30Z
