uid,rq_index,rq_text,priority,monitor_cycle,monitor_urls,diff_detected,checked_at_utc,next_action,source_round20_queue
U12,1,On what basis should identifiers be assigned to post-branch entities?,high,weekly,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,yes,2026-03-01T14:18:24Z,There are differences: U12/U15 text updated,rq_regulation_update_priority_queue_round20_2026-03-01.csv
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",high,weekly,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,yes,2026-03-01T14:18:24Z,There are differences: U12/U15 text updated,rq_regulation_update_priority_queue_round20_2026-03-01.csv
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,high,weekly,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,yes,2026-03-01T14:18:24Z,There are differences: U12/U15 text updated,rq_regulation_update_priority_queue_round20_2026-03-01.csv
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,high,weekly,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,yes,2026-03-01T14:18:24Z,There are differences: U12/U15 text updated,rq_regulation_update_priority_queue_round20_2026-03-01.csv
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",high,weekly,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,yes,2026-03-01T14:18:24Z,There are differences: U12/U15 text updated,rq_regulation_update_priority_queue_round20_2026-03-01.csv
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",high,weekly,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,yes,2026-03-01T14:18:24Z,There are differences: U12/U15 text updated,rq_regulation_update_priority_queue_round20_2026-03-01.csv
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",high,weekly,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/,yes,2026-03-01T14:18:24Z,There are differences: U12/U15 text updated,rq_regulation_update_priority_queue_round20_2026-03-01.csv
U15,2,How should neurorights be mapped onto technical audit items?,high,weekly,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/,yes,2026-03-01T14:18:24Z,There are differences: U12/U15 text updated,rq_regulation_update_priority_queue_round20_2026-03-01.csv
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",high,weekly,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/,yes,2026-03-01T14:18:24Z,There are differences: U12/U15 text updated,rq_regulation_update_priority_queue_round20_2026-03-01.csv
U15,4,How should stop conditions and update conditions be governed as technology evolves?,high,weekly,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/,yes,2026-03-01T14:18:24Z,There are differences: U12/U15 text updated,rq_regulation_update_priority_queue_round20_2026-03-01.csv
