uid,rq_index,rq_text,current_state,reopen_decision,reopen_reason_ja,required_new_evidence_ja,owner,next_action_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,closed_final,stay_closed,No need to restart because trigger does not match,Definition word revision difference log,U12_monitor_owner,Continue high priority monitoring in the next window,2026-03-01T19:19:40Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",closed_final,stay_closed,No need to restart because trigger does not match,Time word new version difference log,U12_monitor_owner,Only regular monitoring continues,2026-03-01T19:19:40Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,closed_final,stay_closed,No need to restart because trigger does not match,Clause extraction difference log,U12_monitor_owner,Continue high priority monitoring in the next window,2026-03-01T19:19:40Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,closed_final,stay_closed,No need to restart because trigger does not match,Audit word addition differential log,U12_monitor_owner,Only regular monitoring continues,2026-03-01T19:19:40Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",closed_final,stay_closed,No need to restart because trigger does not match,Synonym addition difference log,U12_monitor_owner,Only regular monitoring continues,2026-03-01T19:19:40Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",closed_final,stay_closed,No need to restart because trigger does not match,Notation generation difference log,U12_monitor_owner,Only regular monitoring continues,2026-03-01T19:19:40Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",closed_final,stay_closed,No need to restart because trigger does not match,Law definition difference log,U15_monitor_owner,Continue high priority monitoring in the next window,2026-03-01T19:19:40Z
U15,2,How should neurorights be mapped onto technical audit items?,closed_final,stay_closed,No need to restart because trigger does not match,Map word granularity difference log,U15_monitor_owner,Only regular monitoring continues,2026-03-01T19:19:40Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",closed_final,stay_closed,No need to restart because trigger does not match,Common three requirement difference log,U15_monitor_owner,Continue high priority monitoring in the next window,2026-03-01T19:19:40Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,closed_final,stay_closed,No need to restart because trigger does not match,Periodic word addition difference log,U15_monitor_owner,Only regular monitoring continues,2026-03-01T19:19:40Z
