phase,topic,long_review_comment_1,long_review_comment_2,main_weakness,long_rebuttal
1,EEG信号品質の限界検証,"信号品質指標が収録条件差を拾っているだけで生理的限界を示していないのでは","公開EEGだけでは ground truth がなく限界検証という表現が強すぎる",quality_vs_task_inconsistency,"生理学的上限ではなく、公開EEGにおいて再現可能な品質指標と下流性能低下の対応範囲を定量化する限定的サブ問題として扱う"
1,高密度EEG空間分解能評価,"空間分解能を皮質局在精度としては示せていない","高密度優位が前処理最適化の効果かもしれない",few_hd_datasets,"局在精度の証明ではなく、公開高密度EEGを段階的にチャネル削減した際のセンサ空間識別性能と再現性の変化比較に限定する"
1,マルチモーダル統合の基礎,"モダリティ追加の利益が同期品質の差と切り分けられていない","統合の有効性よりデータ整備の差を見ているだけでは",sync_metadata_gap,"統合優位の主張ではなく、同期監査が通る条件下でEEG単独比の安定性改善が再現するかを評価する"
1,ノイズ除去・信号分離手法の比較,"手法比較がハイパーパラメータ依存で公平でない","アーチファクト除去により神経信号も削っている可能性がある",weak_downstream_validity,"固定前処理テンプレートと同一分割に限定し、品質指標・下流性能・失敗率を併記して再現しやすい設定域を示す"
1,長時間記録の安定性評価,"長時間変動は認知状態変化であり計測安定性とは限らない","睡眠・安静・日常行動データを一括評価すると解釈が混ざる",time_state_confound,"長時間公開EEGにおける品質指標とデコーダ性能ドリフトを記述的に比較し、状態差を含む現実条件での安定性閾値を提案する"
2,デコーディング精度ベンチマーク,"単一データセット精度の寄せ集めでは比較にならない","公開データのラベル品質差が大きく総合順位に意味が薄い",unfixed_split,"SoTA 順位表ではなく、公開MI・ERP・SSVEPに固定前処理と被験者外分割を適用した参照レンジを示すベンチマークとして位置づける"
2,クロスデータセット汎化,"性能低下はドメイン差が大きいだけでモデル限界とは言えない","タスク定義の異なるデータセットを横断比較している",coarse_common_label_space,"課題定義と前処理を揃えられる範囲に限定し、within-to-across の性能劣化幅を定量化する点に主張を絞る"
2,リアルタイムデコーディング,"公開データのオフライン再生ではリアルタイム性を検証できない","遅延評価が実装依存で実運用に一般化しにくい",no_causal_latency_joint_eval,"オンライン有効性ではなく、擬似リアルタイム条件での精度-遅延トレードオフ比較として前段評価に限定する"
2,Foundation Modelの適用,"改善が事前学習の効果ではなくモデル規模の効果か不明","公開EEGへの転移性能が限定的で基盤モデルと呼ぶには早い",overlap_audit_risk,"汎用基盤モデルの確立ではなく、公開EEG上でデータ効率と被験者外転移が既存基線より安定するかを重複監査付きで検証する"
2,運動意図デコーディング,"運動想起と実運動準備を同列に扱っている","高精度でも被験者外で崩れるなら意図デコーディングの根拠が弱い",class_imbalance_session_gap,"公開MI・運動準備EEGにおける粗い意図カテゴリ分類に限定し、被験者外・セッション外分割で再現する最低限の識別可能性を評価する"
2,感覚知覚デコーディング,"分類しているのは知覚内容ではなく刺激提示タイミングでは","ERP/SSVEP中心では自然知覚への一般化が難しい",stimulus_sync_dependence,"自然知覚の再構成ではなく、刺激同期が既知の公開ERP/SSVEP条件に限った感覚カテゴリ識別の再現可能性を検証する"
2,言語/意味デコーディング,"EEGだけで意味を読んだとするには解釈が強すぎる","語彙頻度や刺激長など低次特徴を拾っている可能性が高い",overstrong_title_risk,"語カテゴリ・N400条件差・想起発話クラスの識別までに限定し、自由文の意味復元や内的言語の完全解読は主張しない"
3,感情状態の推定・分類,"自己報告ラベルが不安定では","刺激差を読んでいるだけでは",emotion_definition_mismatch,"感情そのものの読解ではなく、自己評定付き感情課題でのEEG指標の再現性に限定し、刺激内検証とデータセット外検証を分離する"
3,記憶のエンコーディング/検索,"記憶というより課題難度や運動準備を見ているのでは","作業記憶と長期記憶を混在させていないか",construct_mix,"記憶段階ごとに課題を分け、整列可能な公開課題内での段階差の再現に限定する"
3,注意・ワーキングメモリ,"注意とワーキングメモリが分離できていない","負荷ラベルが課題依存で横比較しにくい",coarse_load_labels,"機序の分離は主張せず、負荷水準の識別可能性を共通ターゲットにして課題別の効果量を併記する"
3,意思決定過程,"決定過程ではなく反応準備を見ているのでは","課題ごとの差が大きく一般化しにくい",arbitrary_time_window,"事前定義した pre-choice 窓のみを主要解析にし、フィードバック関連成分は副次解析へ分離する"
3,社会的認知,"社会的認知が広すぎて実際は報酬や情動の効果では","相互作用の生態学的妥当性が低い",weak_social_operationalization,"fairness, trust, social evaluation に限定し、社会的認知全体ではなく公開EEGで検証可能な下位成分の再現として書く"
3,創造性・問題解決,"創造性の代理として insight を置くのは狭すぎる","成功時の驚きや報酬反応を見ているだけでは",few_datasets,"pilot benchmark と位置づけ、insight 課題に限定した再現可能な差分検出までに主張を絞る"
3,主観的経験の定量化,"主観報告は qualia の地上真理ではない","刺激強度や好みの差が交絡している",stimulus_confound,"主観経験そのものの読解ではなく自己評定との整合性評価に限定し、被験者内解析を主にする"
4,意識の神経相関（NCC）定量化,"EEG単独で NCC と呼ぶのは強すぎる","薬剤、病態、報告要件の交絡が大きい",no_causal_inference,"NCCの証明ではなく NCC候補指標の比較に言い換え、報告非依存ラベルを優先する"
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,"分類精度は意識理論の検証ではない","コホート差とクラス不均衡で過大評価しやすい",label_quality_variance,"理論証明ではなく状態境界の実務的検出と明記し、外部検証と calibration を必須にする"
4,統合情報理論(IIT)の実証的検証,"proxy は Φ そのものではない","複雑性低下は徐波化やノイズでも説明できる",distance_to_theory,"IITの確認ではなく IIT整合的予測の限定検証とし、スペクトル変化や信号品質を共変量で調整する"
4,Global Workspace Theory の検証,"P3 は報告や注意の指標では","EEG空間分解能で workspace ignition を論じにくい",report_confound,"GWTの証明ではなく GWT整合的パターンの再現確認とし、可能なら no-report 条件を優先する"
4,意識の連続性と同一性,"EEG fingerprint で同一性は示せない","状態差が個人差を上回る可能性がある",philosophical_leap,"本人性の証明ではなく個人内シグネチャの下限的安定性評価と位置づけ、状態依存成分と個人依存成分を分けて報告する"
4,mind-upload可能性の理論的枠組み,"EEG分類から mind-upload 可能性へ飛躍している","EEGでは因果構造や微細回路情報が足りない",inference_distance,"公開EEGで検証できる必要条件と停止条件の整理であり、強い mind-upload 主張は行わないと明記する"
