phase,topic,halfyear_goal,review_1,review_2,review_3,keep_package,next_halfyear_bridge,avoid_point
1,"EEG信号品質の限界検証","品質下限と失敗条件を benchmark commons として外に残す","品質比較表が外部共有と再利用に耐えるか","除外条件と品質閾値が固定されたか","次のデータ追加でも枠組みが崩れないか","品質比較表 指標メモ 再現手順 公開用短文","cross-dataset 品質 benchmark 更新へ接続する","品質から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","電極密度依存の利得と頭打ち条件を実用比較表として残す","電極密度比較図が安定して再生成できるか","必要十分条件が短文で固定されたか","補助条件を増やさずに外へ出せるか","電極密度比較図 条件メモ 公開用短文","測定基盤の標準条件整理へ接続する","精密局在の主張にしない"
1,"マルチモーダル統合の基礎","同期条件つきの最小統合利得を限定課題で残す","同期監査条件が維持されているか","unimodal 比較が残っているか","統合利得が出ない条件も外へ出せるか","同期条件比較表 利得メモ 公開用短文","限定的な multimodal benchmark 更新へ接続する","統合が万能だと語らない"
1,"ノイズ除去・信号分離手法の比較","前処理安定域と既定値候補を課題別に残す","品質指標と下流性能の両方が残ったか","失敗例が削られず残ったか","手法追加競争を止められたか","前処理比較表 既定値メモ 公開用短文","標準前処理提案の更新へ接続する","最強法を決める話にしない"
1,"長時間記録の安定性評価","安定区間と再校正境目の実務目安を残す","状態 family ごとの区別が維持されたか","崩れ始め地点が図として残ったか","長時間条件の増殖を止められたか","安定区間比較図 手順メモ 公開用短文","長時間運用条件の benchmark 更新へ接続する","完全追跡の主張にしない"
2,"デコーディング精度ベンチマーク","共通 baseline と failure mode を参照基盤として残す","統一 split と metric が最後まで守られたか","被験者外 baseline が継続更新されたか","失敗例が benchmark から消えていないか","共通基準線表 failure mode メモ 公開用短文","公開 benchmark commons の更新へ接続する","最高精度競争に寄せない"
2,"クロスデータセット汎化","外部汎化 gap の分解を成果物として残す","共通ラベル空間だけで評価したか","within と across の差が継続して説明できるか","新規データを増やしすぎていないか","汎化 gap 比較表 条件メモ 公開用短文","汎化条件付き benchmark 整理へ接続する","どこでも通用と言わない"
2,"リアルタイムデコーディング","遅延下限と成立条件を低遅延比較表として残す","擬似リアルタイム条件が維持されたか","遅延別精度と誤警報率が残ったか","UI や完成システムの話へ流れていないか","遅延と精度の折り合い図 条件メモ","軽量運用条件の比較更新へ接続する","完成システムとして語らない"
2,"Foundation Modelの適用","転移条件と OOD gap を自己教師あり比較基盤として残す","baseline と OOD 条件が固定されたか","転移利得が再現可能に残ったか","用語が過大化していないか","表現転移比較表 条件メモ 公開用短文","自己教師あり表現の再現比較更新へ接続する","基盤モデル完成と言わない"
2,"運動意図デコーディング","被験者外汎化限界を実務 baseline として残す","被験者外条件が維持されたか","session 外との差が残ったか","個人内最適化へ流れていないか","被験者外 benchmark 表 補助策メモ","MI baseline 更新へ接続する","普遍的読取りにしない"
2,"感覚知覚デコーディング","知覚課題の安全域を限定課題ごとに残す","ERP 系と SSVEP 系の区別が保たれたか","誤分類条件が削られず残ったか","刺激条件の増殖を止められたか","知覚課題比較表 confusion メモ","限定課題の再現比較へ接続する","知覚全体復元にしない"
2,"言語/意味デコーディング","成立する最小単位と崩れる単位を残す","ラベル定義が維持されたか","最小単位比較表が外部共有可能か","思考読取りに見える表現を切れたか","最小単位比較表 除外条件メモ","言語EEGの限定課題整理へ接続する","思考読取りにしない"
3,"感情状態の推定・分類","ラベル揺れ込みの安全域を粗い状態分類として残す","主観ラベル軸が固定されたか","被験者外頑健性が残ったか","カテゴリ拡張を止められたか","感情ラベル頑健性表 条件メモ","粗い状態分類 benchmark 更新へ接続する","感情断定にしない"
3,"記憶のエンコーディング/検索","成績関連 proxy の再現性を残す","成功失敗軸が維持されたか","安定 proxy が残ったか","内容読出しへ流れていないか","記憶 proxy 比較表 条件メモ","記憶課題 benchmark 整理へ接続する","本質解明にしない"
3,"注意・ワーキングメモリ","一般化しやすい負荷 proxy 束を残す","複数 proxy が維持されたか","drift 条件が残ったか","単一スコア化していないか","負荷 proxy 比較表 drift メモ","負荷評価の再現比較へ接続する","万能指標にしない"
3,"意思決定過程","測れる proxy と除外解釈の線を残す","proxy と除外線が維持されたか","比較図が外部共有可能か","理論全体の話へ流れていないか","意思決定 proxy 表 除外解釈メモ","小さな過程変数比較へ接続する","自由意志論にしない"
3,"社会的認知","最小共同課題条件を差分検出として残す","対象課題が絞られたままか","失敗条件が残ったか","広い社会性判定へ流れていないか","社会課題最小条件表 条件メモ","小規模 social pilot 更新へ接続する","広い社会性判定にしない"
3,"創造性・問題解決","教材化できる差分 proxy を残す","差分軸が維持されたか","追試手順が残ったか","本質論を増やしていないか","創造性 proxy 図 追試メモ","教材化可能な課題比較へ接続する","創造性を測れたにしない"
3,"主観的経験の定量化","自己評定との対応条件を補助利用範囲として残す","尺度が固定されたか","対応安定条件が残ったか","完全数値化へ流れていないか","自己評定対応表 条件メモ","限定尺度の対応比較へ接続する","完全数値化にしない"
4,"意識の神経相関（NCC）定量化","状態境界 proxy の候補比較を残す","境界条件が維持されたか","報告条件を分けたか","正体解明の表現を切れたか","NCC 候補比較図 条件メモ","状態差 proxy 比較更新へ接続する","正体解明にしない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","状態分類 benchmark の比較枠を残す","状態ラベルが維持されたか","外れ条件が残ったか","診断主張が混ざっていないか","状態分類 benchmark 表 外れ条件メモ","施設差込み比較へ接続する","診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","近似 proxy の状態差比較を残す","近似指標と条件が維持されたか","再現する差としない差が残ったか","理論語を増やしていないか","IIT proxy 比較表 条件メモ","近似テスト更新へ接続する","完全検証にしない"
4,"Global Workspace Theory の検証","更新反応候補の条件差比較を残す","候補反応と比較軸が維持されたか","予測適合度が残ったか","勝敗表現を切れたか","GWT 候補反応図 条件メモ","候補指標の再現比較へ接続する","決着をつける話にしない"
4,"意識の連続性と同一性","安定成分と変動成分の最小枠を残す","個人内比較条件が維持されたか","安定成分と変動成分が残ったか","本人性表現を切れたか","個人内安定性比較図 条件メモ","状態遷移比較の proxy 整理へ接続する","本人確認技術にしない"
4,"mind-upload可能性の理論的枠組み","claim ladder と空白領域を評価軸として残す","支えられる範囲が維持されたか","空白領域が残ったか","実現論へ流れていないか","claim ladder 表 不足要件メモ","評価軸 commons の更新へ接続する","mind-upload 実現を語らない"
