phase,topic,secondary_use_focus,allowed_unit,allow_condition,hold_condition,disallow_condition,note_line,avoid_point
1,EEG信号品質の限界検証,QC基準の教育利用と比較利用,QC閾値表1枚,閾値条件が固定され比較利用で誤読されない,新旧閾値の差がまだ未固定,品質基準が高次読取りに誤読される,品質比較に使う閾値表だけ二次利用を許容する,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density 条件の比較利用,密度比較図1枚,限定利得が図1枚で説明できる,密度条件がまだ揺れている,局在証明のように誤読される,空間利得の比較図だけ二次利用を許容する,局在完成の物語にしない
1,マルチモーダル統合の基礎,同期条件の教材利用,同期条件表1枚,統合利得が限定条件つきで説明できる,同期条件の更新が未了,統合万能論に読める,同期条件の表だけ二次利用を許容する,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,前処理既定値の実務利用,前処理比較表1枚,候補手法が実務メモとして固定された,候補がまだ入れ替わる,最強法ランキングに読める,既定値候補の比較表だけ二次利用を許容する,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window の運用利用,安定区間図1枚,運用区間が図1枚で説明できる,再校正条件の更新が未了,長時間記録の万能性に読める,運用区間の図だけ二次利用を許容する,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,baseline 差分の benchmark 利用,benchmark 比較表1枚,比較軸が固定され外部比較に耐える,比較対象の揺れが残る,精度競争の宣伝に使われる,benchmark 差分表だけ二次利用を許容する,精度競争に戻らない
2,クロスデータセット汎化,gap 原因整理の比較利用,gap 比較表1枚,原因候補が表1枚で整理された,schema 調整が未固定,どこでも通用と誤読される,gap 原因の比較表だけ二次利用を許容する,どこでも通用と語らない
2,リアルタイムデコーディング,遅延条件の実装判断利用,遅延比較図1枚,replay 条件つきで遅延差分が固定された,遅延条件がまだ揺れる,true online 成功と誤読される,遅延比較図だけ二次利用を許容する,true online 成功談へ戻らない
2,Foundation Modelの適用,限定利得の比較利用,probe 比較表1枚,task 横断で限定利得が残る,利得が task 依存で未固定,基盤モデル万能論に使われる,probe 比較表だけ二次利用を許容する,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject 差分の教材利用,MI比較表1枚,被験者間差分が表1枚で安定した,被験者差がまだ揺れる,操作一般知能の話へ飛ぶ,MI比較表だけ二次利用を許容する,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件の比較利用,成立条件表1枚,P300 や SSVEP 条件が短く整理された,刺激条件差が未固定,知覚全再構成に誤読される,成立条件表だけ二次利用を許容する,知覚全再構成の話にしない
2,言語/意味デコーディング,語彙条件の限定利用,語彙条件表1枚,限定条件が表1枚で説明できる,語彙境界が未固定,意味読取りの強弁に使われる,語彙条件表だけ二次利用を許容する,意味読取りの強弁に戻らない
3,感情状態の推定・分類,感情ラベル条件の教材利用,感情比較表1枚,被験者間条件が比較表で安定した,ラベル差が未固定,心の読心に誤読される,感情比較表だけ二次利用を許容する,心の読心へ飛ばない
3,記憶のエンコーディング/検索,task 差分の比較利用,差分図1枚,encoding と retrieval 差分が固定された,課題条件が未固定,記憶内容復元に誤読される,差分図だけ二次利用を許容する,記憶内容復元の話にしない
3,注意・ワーキングメモリ,workload 指標範囲の実務利用,負荷比較表1枚,usable 範囲が表1枚で説明できる,window 条件が未固定,万能な集中度指標に誤読される,負荷比較表だけ二次利用を許容する,万能な集中度指標にしない
3,意思決定過程,選好 proxy の限定利用,条件比較図1枚,限定条件が図1枚で説明できる,task 依存が未固定,自由意志の決着に誤読される,条件比較図だけ二次利用を許容する,自由意志の決着にしない
3,社会的認知,対人 proxy 条件の教材利用,条件メモ1枚,条件が1論点で整理された,課題条件が未固定,対人理解の一般論に誤読される,条件メモだけ二次利用を許容する,対人理解の一般論に飛ばない
3,創造性・問題解決,task 差分の比較利用,task 比較表1枚,proxy 差分が表1枚で説明できる,proxy 候補が未固定,創造性の本質説明に使われる,task 比較表だけ二次利用を許容する,創造性の本質説明にしない
3,主観的経験の定量化,自己報告対応の限定利用,対応表1枚,対応条件が表1枚で説明できる,rating 条件が未固定,クオリア測定の断言に使われる,対応表だけ二次利用を許容する,クオリア測定の断言にしない
4,意識の神経相関（NCC）定量化,boundary proxy の教材利用,boundary 図1枚,限定条件が図1枚で説明できる,proxy 条件が未固定,意識の本質説明に誤読される,boundary 図だけ二次利用を許容する,意識の本質説明にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state 分類条件の比較利用,分類比較表1枚,benchmark 条件が表1枚で安定した,評価条件が未固定,人格や本人性に誤読される,分類比較表だけ二次利用を許容する,人格や本人性へ飛ばない
4,統合情報理論(IIT)の実証的検証,複雑性 proxy の限定利用,proxy 比較表1枚,算出条件つきで表1枚に整理された,算出条件が未固定,理論決着に誤読される,proxy 比較表だけ二次利用を許容する,理論決着の話にしない
4,Global Workspace Theory の検証,ignition proxy 条件の教材利用,成立条件表1枚,task 差分つきで条件が整理された,task 条件が未固定,理論証明に誤読される,成立条件表だけ二次利用を許容する,理論証明の話にしない
4,意識の連続性と同一性,縦断 proxy の限定利用,安定性図1枚,個人内条件つきで図1枚に整理された,縦断条件が未固定,同一性証明に誤読される,安定性図だけ二次利用を許容する,同一性証明にすり替えない
4,mind-upload可能性の理論的枠組み,検証可能域整理の教材利用,クレーム階段表1枚,停止条件つきで表1枚に整理された,停止条件が未固定,実現証明の物語に使われる,クレーム階段表だけ二次利用を許容する,実現証明の物語にしない
