phase,topic,theme_group,reviewer_one_liner,research_grant_pitch,award_or_prize_pitch,activity_grant_pitch,loan_or_finance_pitch,budget_template_key
1,EEG信号品質の限界検証,measurement,EEG信号品質の限界検証: 公開EEG横断で計測品質と再現性の下限を示す、守りの強い基盤テーマです。,本申請では「公開EEG横断における信号品質指標の再現性評価」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はSNRを中心とし、公開EEGを用いてデバイス差と計測条件差を横断した品質指標を再計算し、SNRとartifact耐性の下限を benchmark として定量化する。主張はL0相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEGにおける信号品質指標と下流解析性能の関係評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。SNRを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEGにおける信号品質指標と下流解析性能の関係評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、品質監査ノートと再現手順を共有し、計測基盤の標準化に繋げる。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEGにおける信号品質指標と下流解析性能の関係評価」を実装前の成立条件評価として使う。公開EEGでSNRと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,measurement
1,高密度EEG空間分解能評価,measurement,高密度EEG空間分解能評価: 公開EEG横断で計測品質と再現性の下限を示す、守りの強い基盤テーマです。,本申請では「高密度EEGソース推定の空間限界と電極数依存性の評価」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はlocalization errorを中心とし、ground-truth 参照が可能な高密度EEGを中心に、電極数や前処理条件の差が局在誤差へ与える影響を比較し、source localization の実用限界を整理する。主張はL0-L1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開高密度EEGにおける電極数削減が識別性能と空間安定性に与える影響」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。localization errorを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開高密度EEGにおける電極数削減が識別性能と空間安定性に与える影響」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、品質監査ノートと再現手順を共有し、計測基盤の標準化に繋げる。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開高密度EEGにおける電極数削減が識別性能と空間安定性に与える影響」を実装前の成立条件評価として使う。公開EEGでlocalization errorと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,measurement
1,マルチモーダル統合の基礎,measurement,マルチモーダル統合の基礎: 公開EEG横断で計測品質と再現性の下限を示す、守りの強い基盤テーマです。,本申請では「EEG-fNIRS・視線統合における時系列同期誤差の定量化」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はmodality同期誤差を中心とし、EEG-fNIRS や eye-tracking を含む公開データを用いて、モダリティ同期誤差と融合有無による性能差を比較し、認知負荷推定の標準化条件を示す。主張はL0-L1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開同時計測データにおけるEEGと付随生体信号の補完効果評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。modality同期誤差を中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開同時計測データにおけるEEGと付随生体信号の補完効果評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、品質監査ノートと再現手順を共有し、計測基盤の標準化に繋げる。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開同時計測データにおけるEEGと付随生体信号の補完効果評価」を実装前の成立条件評価として使う。公開EEGでmodality同期誤差と劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,measurement
1,ノイズ除去・信号分離手法の比較,measurement,ノイズ除去・信号分離手法の比較: 公開EEG横断で計測品質と再現性の下限を示す、守りの強い基盤テーマです。,本申請では「公開EEGにおける ASR/ICA 系前処理の横断比較」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はartifact除去前後の保存率を中心とし、artifact 混入EEGと実測EEGを横断して ASR、ICA、周波数ノイズ除去系の前処理を比較し、信号保存率と下流性能への影響を測定する。主張はL0相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEGにおける前処理差が再現性と汎化性能に与える影響比較」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。artifact除去前後の保存率を中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEGにおける前処理差が再現性と汎化性能に与える影響比較」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、品質監査ノートと再現手順を共有し、計測基盤の標準化に繋げる。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEGにおける前処理差が再現性と汎化性能に与える影響比較」を実装前の成立条件評価として使う。公開EEGでartifact除去前後の保存率と劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,measurement
1,長時間記録の安定性評価,measurement,長時間記録の安定性評価: 公開EEG横断で計測品質と再現性の下限を示す、守りの強い基盤テーマです。,本申請では「長時間EEG記録におけるドリフトと状態遷移の安定性評価」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はsession driftを中心とし、睡眠や疲労を含む長時間EEGを用いて session drift、欠損率、状態遷移の安定性を評価し、縦断研究の前提条件を整備する。主張はL0-L1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「夜間睡眠・長時間安静EEGにおける時間ドリフトと指標安定性の評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。session driftを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「夜間睡眠・長時間安静EEGにおける時間ドリフトと指標安定性の評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、品質監査ノートと再現手順を共有し、計測基盤の標準化に繋げる。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「夜間睡眠・長時間安静EEGにおける時間ドリフトと指標安定性の評価」を実装前の成立条件評価として使う。公開EEGでsession driftと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,measurement
2,デコーディング精度ベンチマーク,decoding,デコーディング精度ベンチマーク: 公開EEGの被験者外・データセット外性能を benchmark として示す実装寄りテーマです。,本申請では「公開EEGデコーディング課題における統一ベンチマーク構築」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はbalanced accuracyを中心とし、MI、ERP/P300、SSVEP をまたぐ複数公開課題に統一splitと統一metricを適用し、EEG decoding の基盤性能を比較する。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEG主要タスクにおける基準モデル群の再現ベンチマーク」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。balanced accuracyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEG主要タスクにおける基準モデル群の再現ベンチマーク」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、比較表、再現手順、ベースライン実装メモを共有し、共同研究の入口を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEG主要タスクにおける基準モデル群の再現ベンチマーク」を実装前の成立条件評価として使う。公開EEGでbalanced accuracyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,decoding
2,クロスデータセット汎化,decoding,クロスデータセット汎化: 公開EEGの被験者外・データセット外性能を benchmark として示す実装寄りテーマです。,本申請では「公開EEG横断での cross-dataset generalization 限界測定」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はcross-dataset gapを中心とし、同種課題を持つ複数EEGデータセット間で学習・評価を交差させ、dataset shift と subject shift の影響を切り分ける。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEG間ドメインシフトに対する被験者外・データセット外性能評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。cross-dataset gapを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEG間ドメインシフトに対する被験者外・データセット外性能評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、比較表、再現手順、ベースライン実装メモを共有し、共同研究の入口を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEG間ドメインシフトに対する被験者外・データセット外性能評価」を実装前の成立条件評価として使う。公開EEGでcross-dataset gapと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,decoding
2,リアルタイムデコーディング,decoding,リアルタイムデコーディング: 公開EEGの被験者外・データセット外性能を benchmark として示す実装寄りテーマです。,本申請では「replay ベースで評価するリアルタイムEEG decoding の遅延限界」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はonline replay latencyを中心とし、公開EEGの replay 評価を用いて遅延、窓長、更新頻度が decoding 性能へ与える影響を測定し、リアルタイムBCI実装前の条件を整理する。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEGで模擬オンライン評価した低遅延判別性能の検証」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。online replay latencyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEGで模擬オンライン評価した低遅延判別性能の検証」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、比較表、再現手順、ベースライン実装メモを共有し、共同研究の入口を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEGで模擬オンライン評価した低遅延判別性能の検証」を実装前の成立条件評価として使う。公開EEGでonline replay latencyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,decoding
2,Foundation Modelの適用,decoding,Foundation Modelの適用: 公開EEGの被験者外・データセット外性能を benchmark として示す実装寄りテーマです。,本申請では「公開EEG自己教師あり表現学習の基盤性能評価」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はlinear probe accuracyを中心とし、睡眠、運動意図、感情など異種EEGを束ねて自己教師あり学習を行い、少数ラベル条件での linear probe と OOD gap を評価する。主張はL1-L2弱相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEGに対する自己教師あり事前学習表現の低ラベル転移評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。linear probe accuracyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEGに対する自己教師あり事前学習表現の低ラベル転移評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、比較表、再現手順、ベースライン実装メモを共有し、共同研究の入口を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEGに対する自己教師あり事前学習表現の低ラベル転移評価」を実装前の成立条件評価として使う。公開EEGでlinear probe accuracyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,decoding
2,運動意図デコーディング,decoding,運動意図デコーディング: 公開EEGの被験者外・データセット外性能を benchmark として示す実装寄りテーマです。,本申請では「cross-subject motor imagery decoding の汎化限界評価」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はbalanced accuracyを中心とし、公開MIデータを用いて cross-subject 条件を中心に decoding 性能を評価し、被験者差が汎化へ与える影響を測る。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開運動想起EEGにおける被験者外の運動カテゴリ判別再現」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。balanced accuracyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開運動想起EEGにおける被験者外の運動カテゴリ判別再現」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、比較表、再現手順、ベースライン実装メモを共有し、共同研究の入口を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開運動想起EEGにおける被験者外の運動カテゴリ判別再現」を実装前の成立条件評価として使う。公開EEGでbalanced accuracyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,decoding
