uid,rq_index,rq_text,handoff_trigger_ja,handoff_item_1_ja,handoff_item_2_ja,handoff_item_3_ja,handoff_rule_ja,handoff_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,When reopening candidates,Attach decision_trace,Attach watch_signal results,Attach closure_plan progress,handoff_ready with 3 trails,handoff_template_fixed,2026-03-01T23:41:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",When reopening candidates,Attach decision_trace,Attach watch_signal results,Attach closure_plan progress,handoff_ready with 3 trails,handoff_template_fixed,2026-03-01T23:41:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,When reopening candidates,Attach decision_trace,Attach watch_signal results,Attach closure_plan progress,handoff_ready with 3 trails,handoff_template_fixed,2026-03-01T23:41:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,When reopening candidates,Attach decision_trace,Attach watch_signal results,Attach closure_plan progress,handoff_ready with 3 trails,handoff_template_fixed,2026-03-01T23:41:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",When reopening candidates,Attach decision_trace,Attach watch_signal results,Attach closure_plan progress,handoff_ready with 3 trails,handoff_template_fixed,2026-03-01T23:41:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",When reopening candidates,Attach decision_trace,Attach watch_signal results,Attach closure_plan progress,handoff_ready with 3 trails,handoff_template_fixed,2026-03-01T23:41:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",When reopening candidates,Attach decision_trace,Attach watch_signal results,Attach closure_plan progress,handoff_ready with 3 trails,handoff_template_fixed,2026-03-01T23:41:00Z
U15,2,How should neurorights be mapped onto technical audit items?,When reopening candidates,Attach decision_trace,Attach watch_signal results,Attach closure_plan progress,handoff_ready with 3 trails,handoff_template_fixed,2026-03-01T23:41:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",When reopening candidates,Attach decision_trace,Attach watch_signal results,Attach closure_plan progress,handoff_ready with 3 trails,handoff_template_fixed,2026-03-01T23:41:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,When reopening candidates,Attach decision_trace,Attach watch_signal results,Attach closure_plan progress,handoff_ready with 3 trails,handoff_template_fixed,2026-03-01T23:41:00Z
