support_type,question,answer_30s,intent_tag,avoid_point
research_grant,なぜ公開EEGだけで十分なのか,"本申請の目的は新規計測ではなく、公開EEG横断で再現条件と失敗条件を benchmark として整理することです。固定前処理と被験者外評価を揃えるだけでも未整備部分が大きく、次段の実験設計に直接効きます。",scope,"公開データだけでも全部分かるとは言わない"
research_grant,新規性はどこにあるのか,"新規アルゴリズムではなく、公開EEGを同一条件で比べる再現基盤の整備に新規性があります。個別論文の数値比較ではなく、cross-dataset 条件まで含めて比較可能にします。",novelty,"最高精度更新を主目的にしない"
research_grant,ラベル品質のばらつきはどう扱うのか,"ラベル品質のばらつきは排除し切れない前提で、整列可能なサブ課題だけに絞ります。劣化幅そのものを成果として報告し、無理な一般化はしません。",data_quality,"ラベルが完全に揃っているとは言わない"
research_grant,EEGだけで言い過ぎにならないか,"主張は proxy 指標、state boundary、benchmark 整備までに限定します。本人性や理論決着のような強い主張は置きません。",claim_limit,"本質解明や証明と言わない"
research_grant,なぜ低リスクと言えるのか,"公開データのみ、新規被験者募集なし、高額設備なしで進める設計だからです。方法も固定前処理と比較評価に絞っているので、実行可能性が高いです。",feasibility,"簡単すぎると矮小化しない"
research_grant,成果物は何が残るのか,"論文だけではなく benchmark 表、再現ノート、比較図表、短報を残します。次段の申請や共同研究でそのまま使える形にします。",outputs,"論文一本で十分と言わない"
research_grant,データセット間の条件差はどう扱うのか,"条件差はノイズではなく主要な検証対象です。どの差分が劣化要因かを切り分けること自体を成果に置きます。",generalization,"全部揃えてから比較すると言わない"
research_grant,negative resultにも価値があるのか,"あります。どこで崩れるかが分かると、次の大型資金で無駄な探索を減らせるからです。",negative_result,"失敗でも仕方ないという言い方をしない"
research_grant,計算資源の妥当性はどう説明するのか,"被験者外・cross-dataset 比較を再現可能に回すための計算資源として説明します。最高精度を狙うための過大な計算ではありません。",budget,"GPUが欲しいからとだけ言わない"
research_grant,倫理面は大丈夫か,"公開済みデータを用い、利用規約と引用条件を守ります。新規被験者募集や追加侵襲は伴いません。",ethics,"倫理審査が不要だから楽とは言わない"
research_grant,次段資金にはどうつながるのか,"本助成で再現基盤と劣化要因を先に整理することで、次段の大型資金や共同研究の説得力を上げます。橋渡しとして機能させます。",followup,"次は何とかなると曖昧に言わない"
research_grant,被験者外性能が低かったらどうするのか,"低いこと自体が重要な知見です。どの条件で低下するかを整理し、次に何を追加計測すべきかまで示します。",risk,"性能が出る前提で話さない"
research_grant,期間内に終わるのか,"公開EEG 2-5本に絞り、固定前処理、被験者外評価、図表化までを初期ゴールにしています。無理な拡張を避ける設計です。",timeline,"25トピック全部を一度にやると言わない"
