uid,rq_index,rq_text,execution_order,window_slot_utc,trigger_match,threshold_exceeded,decision_state,evidence_packet_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,1,2026-03-08T14:38:23Z,pending,pending,pending,pending,2026-03-01T21:31:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",5,2026-03-08T14:38:23Z,pending,pending,pending,pending,2026-03-01T21:31:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,2,2026-03-08T14:38:23Z,pending,pending,pending,pending,2026-03-01T21:31:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,6,2026-03-08T14:38:23Z,pending,pending,pending,pending,2026-03-01T21:31:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",7,2026-03-08T14:38:23Z,pending,pending,pending,pending,2026-03-01T21:31:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",8,2026-03-08T14:38:23Z,pending,pending,pending,pending,2026-03-01T21:31:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",3,2026-03-08T14:38:23Z,pending,pending,pending,pending,2026-03-01T21:31:00Z
U15,2,How should neurorights be mapped onto technical audit items?,9,2026-03-08T14:38:23Z,pending,pending,pending,pending,2026-03-01T21:31:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",4,2026-03-08T14:38:23Z,pending,pending,pending,pending,2026-03-01T21:31:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,10,2026-03-08T14:38:23Z,pending,pending,pending,pending,2026-03-01T21:31:00Z
