uid,rq_index,rq_text,escalation_status_ja,closure_step_1_ja,closure_step_2_ja,closure_step_3_ja,closure_condition_ja,plan_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,unresolved candidate,Complete missing trails,Eliminate judgment conflicts,Record re-judgment results,Closure_ready after completing 3 steps,plan_template_fixed,2026-03-01T22:49:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",unresolved candidate,Complete missing trails,Eliminate judgment conflicts,Record re-judgment results,Closure_ready after completing 3 steps,plan_template_fixed,2026-03-01T22:49:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,unresolved candidate,Complete missing trails,Eliminate judgment conflicts,Record re-judgment results,Closure_ready after completing 3 steps,plan_template_fixed,2026-03-01T22:49:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,unresolved candidate,Complete missing trails,Eliminate judgment conflicts,Record re-judgment results,Closure_ready after completing 3 steps,plan_template_fixed,2026-03-01T22:49:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",unresolved candidate,Complete missing trails,Eliminate judgment conflicts,Record re-judgment results,Closure_ready after completing 3 steps,plan_template_fixed,2026-03-01T22:49:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",unresolved candidate,Complete missing trails,Eliminate judgment conflicts,Record re-judgment results,Closure_ready after completing 3 steps,plan_template_fixed,2026-03-01T22:49:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",unresolved candidate,Complete missing trails,Eliminate judgment conflicts,Record re-judgment results,Closure_ready after completing 3 steps,plan_template_fixed,2026-03-01T22:49:00Z
U15,2,How should neurorights be mapped onto technical audit items?,unresolved candidate,Complete missing trails,Eliminate judgment conflicts,Record re-judgment results,Closure_ready after completing 3 steps,plan_template_fixed,2026-03-01T22:49:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",unresolved candidate,Complete missing trails,Eliminate judgment conflicts,Record re-judgment results,Closure_ready after completing 3 steps,plan_template_fixed,2026-03-01T22:49:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,unresolved candidate,Complete missing trails,Eliminate judgment conflicts,Record re-judgment results,Closure_ready after completing 3 steps,plan_template_fixed,2026-03-01T22:49:00Z
