phase,topic,freeze_focus,frozen_unit,freeze_trigger,keep_live_trigger,do_not_freeze,note_line,avoid_point
1,EEG信号品質の限界検証,QC基準を凍結して残すこと,QC閾値表1枚,閾値参照も更新要請も止まり最小版で足りる,比較基準としての参照が続く,規格差分の確認依頼が残る,品質比較に必要な表だけ凍結資産にする,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density 利得条件を凍結して残すこと,密度比較図1枚,利得条件の参照も更新要請も止まり最小図で足りる,比較図としての参照が続く,局在条件の確認依頼が残る,空間利得の限定図だけ凍結資産にする,局在完成の物語にしない
1,マルチモーダル統合の基礎,同期条件を凍結して残すこと,同期条件表1枚,同期条件の参照も改善要請も止まり最小表で足りる,教材や比較用途で参照が続く,統合条件の確認依頼が残る,統合条件の表だけ凍結資産にする,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,既定値候補を凍結して残すこと,前処理比較表1枚,候補手法の参照も更新要請も止まり最小表で足りる,実務メモとして参照が続く,候補差分の検証依頼が残る,既定値候補の表だけ凍結資産にする,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window を凍結して残すこと,安定区間図1枚,運用区間の参照も更新要請も止まり最小図で足りる,運用基準としての参照が続く,再校正条件の確認依頼が残る,運用区間図だけ凍結資産にする,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,benchmark 差分を凍結して残すこと,benchmark 比較表1枚,差分参照も更新要請も止まり最小表で足りる,外部比較としての参照が続く,比較軸の見直し依頼が残る,benchmark 差分表だけ凍結資産にする,精度競争に戻らない
2,クロスデータセット汎化,gap 原因整理を凍結して残すこと,gap 比較表1枚,gap 原因の参照も更新要請も止まり最小表で足りる,比較用途での参照が続く,schema 差分の確認依頼が残る,gap 原因表だけ凍結資産にする,どこでも通用と語らない
2,リアルタイムデコーディング,遅延条件を凍結して残すこと,遅延比較図1枚,遅延条件の参照も更新要請も止まり最小図で足りる,実装判断としての参照が続く,online 条件の確認依頼が残る,遅延比較図だけ凍結資産にする,true online 成功談へ戻らない
2,Foundation Modelの適用,限定利得を凍結して残すこと,probe 比較表1枚,利得条件の参照も更新要請も止まり最小表で足りる,比較用途での参照が続く,task 差分の再検証依頼が残る,限定利得の表だけ凍結資産にする,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject 差分を凍結して残すこと,MI比較表1枚,被験者間差分の参照も更新要請も止まり最小表で足りる,教材や比較用途での参照が続く,被験者差の確認依頼が残る,被験者間差分表だけ凍結資産にする,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件を凍結して残すこと,成立条件表1枚,成立条件の参照も更新要請も止まり最小表で足りる,比較用途での参照が続く,刺激条件の確認依頼が残る,成立条件表だけ凍結資産にする,知覚全再構成の話にしない
