phase,topic,summary_line,keep_point_1,keep_point_2,restart_asset,first_direction,avoid_point
1,"EEG信号品質の限界検証","次年度は品質閾値表を起点に QC benchmark の小さな更新から始める","品質閾値を崩さない","失敗条件を削らない","品質閾値表 年末メモ 更新候補1件","QC benchmark 更新へ向かう","品質から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","次年度は電極密度比較図を起点に 測定標準条件の更新から始める","比較条件を固定する","局在 claim を強めない","密度比較図 標準条件メモ 更新候補1件","測定標準条件の更新へ向かう","局在技術の完成と語らない"
1,"マルチモーダル統合の基礎","次年度は最小統合利得表を起点に 限定 multimodal benchmark 更新から始める","同期条件を崩さない","統合万能論にしない","同期条件比較表 利用範囲メモ 更新候補1件","限定 multimodal benchmark 更新へ向かう","統合万能論にしない"
1,"ノイズ除去・信号分離手法の比較","次年度は前処理比較表を起点に 標準前処理提案の更新から始める","既定値候補を崩さない","最強法探しへ戻らない","前処理比較表 実務メモ 更新候補1件","標準前処理提案の更新へ向かう","最強法探しへ戻らない"
1,"長時間記録の安定性評価","次年度は安定区間図を起点に 長時間運用 benchmark 更新から始める","再校正境目を崩さない","完全追跡の話にしない","安定区間比較図 運用メモ 更新候補1件","長時間運用 benchmark 更新へ向かう","完全追跡の話にしない"
2,"デコーディング精度ベンチマーク","次年度は共通 baseline 表を起点に 公開 benchmark commons 更新から始める","split と metric を固定する","最高精度競争に戻らない","共通baseline表 更新告知メモ 更新候補1件","公開 benchmark commons 更新へ向かう","最高精度競争に戻らない"
2,"クロスデータセット汎化","次年度は汎化 gap 比較表を起点に 条件付き benchmark 更新から始める","ラベル空間を崩さない","どこでも通用と語らない","汎化gap比較表 条件メモ 更新候補1件","条件付き benchmark 更新へ向かう","どこでも通用と語らない"
2,"リアルタイムデコーディング","次年度は遅延精度図を起点に 軽量運用条件の更新から始める","遅延域を固定する","完成システムとして語らない","遅延精度折り合い図 軽量運用メモ 更新候補1件","軽量運用条件の更新へ向かう","完成システムとして語らない"
2,"Foundation Modelの適用","次年度は転移比較表を起点に 自己教師あり再現比較の更新から始める","OOD 条件を崩さない","基盤モデル完成と言わない","表現転移比較表 比較メモ 更新候補1件","自己教師あり再現比較の更新へ向かう","基盤モデル完成と言わない"
2,"運動意図デコーディング","次年度は MI baseline 表を起点に MI benchmark 更新から始める","被験者外条件を崩さない","普遍的読取りにしない","MI baseline表 共有メモ 更新候補1件","MI benchmark 更新へ向かう","普遍的読取りにしない"
2,"感覚知覚デコーディング","次年度は知覚課題比較表を起点に 限定課題の再現比較から始める","課題 family を崩さない","知覚全体復元と書かない","知覚課題比較表 注記 更新候補1件","限定課題の再現比較へ向かう","知覚全体復元と書かない"
2,"言語/意味デコーディング","次年度は最小単位比較表を起点に 言語 EEG の限定課題整理から始める","ラベル定義を崩さない","思考解読にしない","最小単位比較表 整理メモ 更新候補1件","言語 EEG の限定課題整理へ向かう","思考解読にしない"
3,"感情状態の推定・分類","次年度は感情ラベル頑健性表を起点に 粗い状態分類 benchmark 更新から始める","主観ラベル軸を崩さない","感情断定にしない","感情ラベル頑健性表 利用範囲メモ 更新候補1件","粗い状態分類 benchmark 更新へ向かう","感情断定にしない"
3,"記憶のエンコーディング/検索","次年度は記憶 proxy 比較表を起点に 記憶課題 benchmark 更新から始める","成功失敗軸を崩さない","記憶内容を読む話にしない","記憶proxy比較表 追試メモ 更新候補1件","記憶課題 benchmark 更新へ向かう","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","次年度は負荷 proxy 比較表を起点に 負荷評価の再現比較から始める","複数 proxy 構成を崩さない","万能指標にしない","負荷proxy比較表 driftメモ 更新候補1件","負荷評価の再現比較へ向かう","万能指標にしない"
3,"意思決定過程","次年度は意思決定 proxy 表を起点に 小さな過程変数比較から始める","比較図と除外線を崩さない","自由意志論へ流れない","意思決定proxy表 除外解釈メモ 更新候補1件","小さな過程変数比較へ向かう","自由意志論へ流れない"
3,"社会的認知","次年度は社会課題最小条件表を起点に 小規模 social pilot 更新から始める","対象課題を崩さない","広い社会性判定にしない","社会課題最小条件表 追試案メモ 更新候補1件","小規模 social pilot 更新へ向かう","広い社会性判定にしない"
