uid,rq_index,rq_text,unresolved_issue_ja,severity,next_owner,next_due_utc,resume_condition_ja,temporary_decision_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,There are no major unresolved issues at this time.,low,U12_monitor_owner,2026-03-08T14:38:23Z,When a definition word revision is detected,Deferred due to reopening wait,2026-03-01T18:06:05Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Rechecking is still required when updating the current language version.,medium,U12_monitor_owner,2026-03-08T14:38:23Z,Confirmation of language version differences completed,Continue monitoring by keeping it unchanged,2026-03-01T18:06:05Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Reacquisition accuracy when clause extraction fails is unstable,high,U12_monitor_owner,2026-03-08T14:38:23Z,Stable and successful formal clause extraction,Waiting for additional trail on hold,2026-03-01T18:06:05Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Difference judgment load when adding audit words remains,medium,U12_monitor_owner,2026-03-08T14:38:23Z,Audit word increment import complete,Continue monitoring by keeping it unchanged,2026-03-01T18:06:05Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Follow-up operations for adding synonyms remain.,medium,U12_monitor_owner,2026-03-08T14:38:23Z,Completed reflection of synonym table update,Continue monitoring by keeping it unchanged,2026-03-01T18:06:05Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Trail re-alignment remains when updating the representation generation.,medium,U12_monitor_owner,2026-03-08T14:38:23Z,Re-alignment of old and new notation differences completed,Continue monitoring by keeping it unchanged,2026-03-01T18:06:05Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Continued monitoring pending revision of legal text remains,low,U15_monitor_owner,2026-03-08T14:38:23Z,Completed acquisition of revised legal text,maintain closed_watch,2026-03-01T18:06:05Z
U15,2,How should neurorights be mapped onto technical audit items?,Realignment remains to be done when adding a new item that supports granularity.,medium,U15_monitor_owner,2026-03-08T14:38:23Z,Completed reflection of new version of particle size correspondence table,maintain closed_watch,2026-03-01T18:06:05Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Stabilization of extraction of three common requirements has not been completed,high,U15_monitor_owner,2026-03-08T14:38:23Z,Consecutive success in extracting three requirements,Waiting for additional trail on hold,2026-03-01T18:06:05Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Waiting for periodic word update remains,medium,U15_monitor_owner,2026-03-08T14:38:23Z,Official addition confirmation of periodic words completed,maintain closed_watch,2026-03-01T18:06:05Z
