priority,rq_id,theme_title,primary_eeg_data,backup_eeg_data,first_4weeks_deliverable
1,U8-RQ1,閉ループBCIの遅延許容域マップ作成,D9,D10,遅延-性能曲線と安全閾値表
2,U8-RQ2,オンライン較正での概念ドリフト抑制評価,D10,D8,再較正頻度別の劣化比較表
3,U8-RQ4,異常検知とフェイルセーフの統合KPI設計,D6,D14,誤警報率と見逃し率の監査表
4,U8-RQ6,月次運用を想定した再学習頻度最適化,D13,D14,再学習間隔ごとの性能推移図
5,U14-RQ1,再現率を上げる固定粒度ガイドライン検証,D12,D8,固定粒度別の再現成功率表
6,U14-RQ3,EEG leaderboardリーク監査の自動化,D2,D12,リーク検出チェックリストv1
7,U14-RQ6,コンテナ固定の費用対効果評価,D12,D14,再現率改善と工数増分の比較
8,U7-RQ2,時刻同期誤差（LSL）監査指標の実証,D7,D4,同期誤差注入テスト結果
9,U7-RQ5,前処理差分のrelease block基準設計,D15,D12,しきい値案とCI判定ルール
10,U13-RQ1,brain-to-textの模倣/因果二軸評価,D2,D1,二軸評価ベンチ初版結果
11,U13-RQ2,幻覚監査付き神経デコード評価,D2,D4,幻覚率と整合率の併記表
12,U1-RQ4,逆問題での不確実性公開標準（区間/分布）,D12,D8,区間推定を含む評価テンプレ
