uid,rq_index,rq_text,readiness_status,current_decision_round26,text_to_apply_now_ja,required_evidence_ja,next_monitor_due_utc,next_repo_action_ja,source_round27_template,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,ready_no_change_apply,Main text deferred (no substance updated),"[U12-RQ1 Maintained] The main text will be left as is because no entity update was confirmed for the monitoring target, and there was only a URL path difference (or no difference).",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),2026-03-08T14:38:23Z,Record the deferred text directly under the audit line (see difference log),rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",ready_no_change_apply,Main text deferred (no substance updated),"[U12-RQ2 maintained] The main text will be left as is because no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference).",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),2026-03-08T14:38:23Z,Record the deferred text directly under the audit line (see difference log),rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,ready_no_change_apply,Main text deferred (no substance updated),"[U12-RQ3 maintained] Since no entity update was confirmed for the monitoring target, and only a URL path difference (or no difference), the main text will be left unchanged.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),2026-03-08T14:38:23Z,Record the deferred text directly under the audit line (see difference log),rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,ready_no_change_apply,Main text deferred (no substance updated),"[U12-RQ4 Maintained] Since no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference), the main text will be left as is.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),2026-03-08T14:38:23Z,Record the deferred text directly under the audit line (see difference log),rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",ready_no_change_apply,Main text deferred (no substance updated),"[U12-RQ5 Maintained] Since no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference), the main text will be left as is.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),2026-03-08T14:38:23Z,Record the deferred text directly under the audit line (see difference log),rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",ready_no_change_apply,Main text deferred (no substance updated),"[U12-RQ6 Maintained] The main text will be left as is because no entity update was confirmed for the monitoring target, and there was only a URL path difference (or no difference).",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),2026-03-08T14:38:23Z,Record the deferred text directly under the audit line (see difference log),rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",ready_no_change_apply,Main text deferred (no differences),"[U15-RQ1 Maintained] Since no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference), the main text will be left unchanged.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),2026-03-08T14:38:23Z,Record the deferred text directly under the audit line (see difference log),rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U15,2,How should neurorights be mapped onto technical audit items?,ready_no_change_apply,Main text deferred (no differences),"[U15-RQ2 maintained] Since no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference), the main text will be left as is.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),2026-03-08T14:38:23Z,Record the deferred text directly under the audit line (see difference log),rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",ready_no_change_apply,Main text deferred (no differences),"[U15-RQ3 Maintained] Since no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference), the main text will be left as is.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),2026-03-08T14:38:23Z,Record the deferred text directly under the audit line (see difference log),rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,ready_no_change_apply,Main text deferred (no differences),"[U15-RQ4 Maintained] The main text will be left as is because no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference).",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),2026-03-08T14:38:23Z,Record the deferred text directly under the audit line (see difference log),rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
