uid,rq_index,rq_text,restart_ledger_condition_ja,restart_ledger_item_1_ja,restart_ledger_item_2_ja,restart_ledger_item_3_ja,restart_ledger_rule_ja,restart_ledger_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,When watch_restart_ready is reached,Attach monitoring restart record,Attach threshold confirmation record,Next monitoring window update attached,restart_ledger_logged when 3 records are satisfied,restart_ledger_fixed,2026-03-02T00:58:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",When watch_restart_ready is reached,Attach monitoring restart record,Attach threshold confirmation record,Next monitoring window update attached,restart_ledger_logged when 3 records are satisfied,restart_ledger_fixed,2026-03-02T00:58:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,When watch_restart_ready is reached,Attach monitoring restart record,Attach threshold confirmation record,Next monitoring window update attached,restart_ledger_logged when 3 records are satisfied,restart_ledger_fixed,2026-03-02T00:58:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,When watch_restart_ready is reached,Attach monitoring restart record,Attach threshold confirmation record,Next monitoring window update attached,restart_ledger_logged when 3 records are satisfied,restart_ledger_fixed,2026-03-02T00:58:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",When watch_restart_ready is reached,Attach monitoring restart record,Attach threshold confirmation record,Next monitoring window update attached,restart_ledger_logged when 3 records are satisfied,restart_ledger_fixed,2026-03-02T00:58:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",When watch_restart_ready is reached,Attach monitoring restart record,Attach threshold confirmation record,Next monitoring window update attached,restart_ledger_logged when 3 records are satisfied,restart_ledger_fixed,2026-03-02T00:58:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",When watch_restart_ready is reached,Attach monitoring restart record,Attach threshold confirmation record,Next monitoring window update attached,restart_ledger_logged when 3 records are satisfied,restart_ledger_fixed,2026-03-02T00:58:00Z
U15,2,How should neurorights be mapped onto technical audit items?,When watch_restart_ready is reached,Attach monitoring restart record,Attach threshold confirmation record,Next monitoring window update attached,restart_ledger_logged when 3 records are satisfied,restart_ledger_fixed,2026-03-02T00:58:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",When watch_restart_ready is reached,Attach monitoring restart record,Attach threshold confirmation record,Next monitoring window update attached,restart_ledger_logged when 3 records are satisfied,restart_ledger_fixed,2026-03-02T00:58:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,When watch_restart_ready is reached,Attach monitoring restart record,Attach threshold confirmation record,Next monitoring window update attached,restart_ledger_logged when 3 records are satisfied,restart_ledger_fixed,2026-03-02T00:58:00Z
