phase,topic,day_0_to_30,day_31_to_60,day_61_to_90,success_marker,avoid_point
1,"EEG信号品質の限界検証","新しい記録条件で QC 再計測と artifact log を取り直す","閾値表を更新し 旧条件との差分を比較する","failure mode 一覧と再現手順を公開用に整える","QC 閾値表が1条件でも更新され外部比較に使える","品質確認から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","新しい montage 条件で密度比較の再計測を行う","密度比較図と推奨設定表を作る","有効条件と無効条件を1枚に整理する","密度を上げる意味がある条件が1つでも明確になる","局在技術の完成と書かない"
1,"マルチモーダル統合の基礎","同期手順を確認し paired data を最小単位で再整備する","最小統合利得の比較図を作る","利得が出る条件だけを利用範囲メモに残す","限定条件で統合利得が1回でも再現する","統合万能論に戻らない"
1,"ノイズ除去・信号分離手法の比較","共通 benchmark 上で前処理候補を再走させる","比較表と代表 failure case を整理する","実務既定値候補を短い運用メモに落とす","既定値候補が1つでも安定して残る","最強法探しに戻らない"
1,"長時間記録の安定性評価","drift と再校正ログを新条件で取り直す","安定区間図と再校正条件表を作る","長時間運用の上限を短いメモで固定する","usable window が1条件でも定義し直せる","完全連続追跡の話にしない"
2,"デコーディング精度ベンチマーク","新しい dataset family で baseline を再計算する","比較表を更新して差分を確認する","更新告知メモと failure mode を残す","比較表に意味のある新差分が1つでも出る","最高精度競争に戻らない"
2,"クロスデータセット汎化","schema 対応表を整え外部 dataset を最小統合する","gap 比較表を更新して原因候補を切り分ける","例外条件と再利用条件を1枚にまとめる","gap の原因が1つでも整理される","どこでも通用と語らない"
2,"リアルタイムデコーディング","軽量 pipeline で latency と安定性を再測定する","遅延精度図を作り動く条件を絞る","運用メモとして残せる構成だけ固定する","目標 latency を満たす構成が1つでも見つかる","完成システムとして語らない"
2,"Foundation Modelの適用","新しい事前学習条件で小さく再学習を回す","転移比較表と OOD 条件メモを作る","強い条件と弱い条件を比較基盤に残す","強い baseline を1条件でも超える","基盤モデル完成と言わない"
2,"運動意図デコーディング","適応校正を最小単位で試し被験者外評価を取る","MI baseline 表を更新して条件差を見る","共有できる校正条件だけを短く残す","被験者外精度が1条件でも改善する","普遍的読取りにしない"
2,"感覚知覚デコーディング","刺激制御を揃えた限定課題を再走する","課題 family ごとの比較表を作る","誤分類条件と使える課題だけを整理する","限定課題で安定した差が1つでも出る","知覚全体復元に広げない"
2,"言語/意味デコーディング","annotation を最小範囲で整え task を再設計する","最小単位比較表を更新する","除外条件メモを残して安全域を固定する","最小単位で安定差が1つでも出る","思考解読にしない"
3,"感情状態の推定・分類","ラベル定義と評定条件を小さく見直す","頑健性比較表を更新する","利用範囲メモで安全なラベルだけ残す","ラベル間の一貫性が1条件でも上がる","感情断定にしない"
3,"記憶のエンコーディング/検索","統制された記憶課題を少数条件で再走する","proxy 比較表を更新する","追試条件メモと不足条件を残す","proxy が1条件でも再現する","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","drift 制御下で repeated session を取り直す","負荷 proxy 比較表を更新する","セッション運用ルールを短く残す","負荷差が1条件でも安定する","万能指標にしない"
3,"意思決定過程","motor matched design で最小課題を再走する","過程 proxy 比較表と除外解釈メモを作る","残る差分だけを1枚に固定する","過程差が1条件でも残る","自由意志論へ流れない"
3,"社会的認知","共有可能な小課題で pilot を1回回す","最小条件比較表を更新する","追試候補と協力先メモを残す","小課題で再現差が1つでも見える","広い社会性判定にしない"
3,"創造性・問題解決","採点 rubric を整えて限定課題を再実施する","proxy 図を更新し採点一致を見る","教材化できる比較軸だけを残す","採点一致が1条件でも改善する","創造性そのものを測れたとしない"
3,"主観的経験の定量化","同一尺度で repeat session を追加する","対応表を更新して安定関係を見る","利用範囲メモで有効尺度だけ残す","自己評定との対応が1条件でも再現する","完全定量化と書かない"
4,"意識の神経相関（NCC）定量化","状態統制を強めた contrast を再走する","NCC 候補比較図を更新する","残る候補と消える候補をメモに分ける","候補差が1条件でも再現する","意識の正体解明としない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","site と label の整備を最小範囲でやり直す","cross-site benchmark 表を更新する","外れ条件メモと再利用条件を残す","cross-site で使える条件が1つでも残る","臨床診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","近似条件を明示して proxy を再計算する","proxy 比較表を更新する","理論的に言い過ぎない範囲を注記する","proxy が1条件でも安定する","理論証明にしない"
4,"Global Workspace Theory の検証","preregistered contrast で候補反応を再走する","候補反応図と代替説明メモを更新する","再現した差だけを1枚に整理する","候補反応が1条件でも再現する","理論の勝敗を決めたとしない"
4,"意識の連続性と同一性","高頻度 longitudinal subset を再整理する","個人内安定性比較図を更新する","状態遷移 proxy の条件だけを残す","個人内安定性が1条件でも確認できる","本人確認技術にしない"
4,mind-upload可能性の理論的枠組み,"新しい empirical anchor を claim ladder に差し込む","不足要件表と安全域を更新する","言い過ぎない narrative を1枚に固定する","claim level の安全域が1段でも更新される","実現可能性を匂わせない"
