uid,rq_index,rq_text,raise_gate_id,raise_condition_1_ja,raise_condition_2_ja,current_gate_result,recommended_action,gate_owner,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,U12-RQ1-RG49,drift_score>=40,trigger match,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",U12-RQ2-RG49,drift_score>=40,trigger match,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,U12-RQ3-RG49,drift_score>=40,trigger match,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,U12-RQ4-RG49,drift_score>=40,trigger match,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",U12-RQ5-RG49,drift_score>=40,trigger match,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",U12-RQ6-RG49,drift_score>=40,trigger match,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",U15-RQ1-RG49,drift_score>=40,trigger match,not_met,keep_watch,U15_monitor_owner,2026-03-01T20:02:30Z
U15,2,How should neurorights be mapped onto technical audit items?,U15-RQ2-RG49,drift_score>=40,trigger match,not_met,keep_watch,U15_monitor_owner,2026-03-01T20:02:30Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",U15-RQ3-RG49,drift_score>=40,trigger match,not_met,keep_watch,U15_monitor_owner,2026-03-01T20:02:30Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,U15-RQ4-RG49,drift_score>=40,trigger match,not_met,keep_watch,U15_monitor_owner,2026-03-01T20:02:30Z
