uid,rq_index,rq_text,residual_risk_ja,risk_level,impact_scope_ja,current_control_ja,additional_control_ja,recheck_timing_utc,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,"Even if the headings match, the definitions may change due to future revisions.",medium,U12 identification judgment,Round36 matching map and Round37 resolution matrix,Added automatic recording of revision history differences,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",The boundary between the starting point word and the branching point word may fluctuate in the operational document.,medium,U12 inheritance judgment,Time word normalization and re-determination procedure,Added version number column to point-in-time word comparison table,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Suspension may be prolonged if official clause differences are difficult to confirm,high,U12 conflict resolution judgment,Official document priority and E3 escalation,Fixed number of retries for clause extraction failure log,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Possibility of remaining unchanged due to difference in granularity between connective words and audit words,medium,U12 connection requirement determination,Missing word completion and rematching,Integrate missing word list into monitoring check,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Possibility of spreading judgment criteria by adding synonyms,medium,U12 reorganization decision,Update synonym normalization table,Added adoption basis URL column to synonym table,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Possibility of trail tracing being divided due to mixing of old and new notations,medium,U12 withdrawal decision,Unification of notation generations and trail completion,Added update history column for display contrast,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Possibility of misreading due to time lag between legal text and news description,low,U15 legal classification determination,Rules for deferring legal text priority,Only auxiliary notes are allowed for news differences,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U15,2,How should neurorights be mapped onto technical audit items?,Update decision may be delayed due to mismatch in audit item granularity,medium,U15 mapping judgment,Particle size correspondence table and re-judgment,Add unresolved tag column to granularity correspondence table,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Possibility of failure in extraction of three common requirements and continued suspension,high,U15 common requirements judgment,Three Requirements Rule and E3 Escalation,Added priority jurisdiction order to extraction conditions,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,There is a possibility that the re-evaluation periodic word will be stagnant due to not being updated on the official side.,medium,U15 stop condition judgment,Periodic word reconfirmation and hold management,Fixed retry interval when periodic word is not confirmed,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
