uid,rq_index,rq_text,bundle_component_1_ja,bundle_component_2_ja,bundle_component_3_ja,bundle_component_4_ja,min_bundle_count,bundle_ready_condition_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Confirmation URL log,Revision date record,Heading extraction results,Judgment reason memo,4,4 elements are aligned at the same time,2026-03-01T17:49:30Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Time word comparison table,Confirmation URL log,Clause Heading Results,Judgment reason memo,4,The current word and the heading match and the 4 elements are complete.,2026-03-01T17:49:30Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Official clause extraction log,Confirmation URL log,Revision date record,Hold or update reason,4,There are four elements that can explain the presence or absence of clause differences.,2026-03-01T17:49:30Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Conjunction word list,Audit word list,Confirmation URL log,Judgment reason memo,4,The four elements are aligned with the conjunctive word and the audit word.,2026-03-01T17:49:30Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Synonym normalization table,Confirmation URL log,Revision date record,Judgment difference memo,4,"After normalization, 4 elements with fixed judgments are available",2026-03-01T17:49:30Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Contrast old and new notation,Trail item list,Confirmation URL log,Judgment reason memo,4,There are four elements that can explain the notation generation agreement.,2026-03-01T17:49:30Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Law text definition line,Confirmation URL log,Revision date record,Difference notes,4,There are four elements that can reproduce legal text priority judgment.,2026-03-01T17:49:30Z
U15,2,How should neurorights be mapped onto technical audit items?,Mapping word list,Audit item list,Update date comparison log,Judgment reason memo,4,There are four elements that can explain granularity correspondence.,2026-03-01T17:49:30Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Jurisdictional Requirements Table,Common three requirements table,Confirmation URL log,Hold or update reason,4,There are four elements that can explain the presence or absence of the three requirements.,2026-03-01T17:49:30Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Stop condition line,Periodic word extraction log,Confirmation URL log,Judgment reason memo,4,The four elements that indicate the consistency of the stop word and the periodic word are present.,2026-03-01T17:49:30Z
