phase,topic,day_0_to_60,day_61_to_120,day_121_to_180,deliverable_180d,decision_gate,avoid_point
1,"EEG信号品質の限界検証","QC 再計測と artifact log の取り直しを終える","閾値表と failure mode 一覧を更新する","再現手順を共有可能な形に整える","更新済み QC 閾値表と再現手順メモ","閾値更新が外部比較に使えるかで続行を決める","品質確認から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","新しい montage 条件で密度比較を再走する","比較図と推奨設定表を固める","有効条件と無効条件を1枚に圧縮する","密度比較図と設定表の公開版","意味のある利得条件が増えたかで続行を決める","局在完成の物語にしない"
1,"マルチモーダル統合の基礎","paired data の最小同期条件を確認する","最小統合利得の比較図を更新する","利用範囲メモと除外条件を整える","統合利得比較図と利用範囲メモ","限定条件で統合利得が再現するかで続行を決める","統合万能論に戻らない"
1,"ノイズ除去・信号分離手法の比較","共通 benchmark 上で前処理候補を再比較する","比較表と代表 failure case を確定する","既定値候補の短い運用メモを作る","前処理比較表と実務既定値メモ","既定値候補が1つでも安定したかで続行を決める","最強法探しに戻らない"
1,"長時間記録の安定性評価","drift と再校正条件の再測定を行う","安定区間図と再校正条件表を整理する","長時間運用の上限条件を固定する","安定区間図と再校正条件メモ","usable window が再定義できたかで続行を決める","完全連続追跡の話にしない"
2,"デコーディング精度ベンチマーク","新 dataset family で baseline を再計算する","比較表を更新し差分を確認する","failure mode と更新告知メモを整える","更新済み baseline 表と更新メモ","比較表に意味のある新差分があるかで続行を決める","最高精度競争に戻らない"
2,"クロスデータセット汎化","schema 対応表を整え最小統合を終える","gap 比較表で原因候補を切り分ける","例外条件と再利用条件を1枚にする","汎化 gap 表と schema 対応表","gap の原因が1つでも整理できたかで続行を決める","どこでも通用と語らない"
2,"リアルタイムデコーディング","軽量 pipeline で latency と安定性を再測定する","遅延精度図と運用条件を絞る","共有可能な軽量構成だけを残す","遅延精度図と軽量運用メモ","現実条件で回る構成が残るかで続行を決める","完成システムとして語らない"
2,"Foundation Modelの適用","新しい pretraining 条件で小さく再学習する","転移比較表と OOD 条件を整理する","強い条件と弱い条件を再現比較基盤に残す","転移比較表と OOD 条件メモ","強い baseline を超える条件があるかで続行を決める","基盤モデル完成と言わない"
2,"運動意図デコーディング","適応校正を最小単位で試して被験者外評価を取る","MI baseline 表と校正条件を更新する","共有可能な校正条件を固定する","MI baseline 表と校正条件メモ","被験者外改善が残るかで続行を決める","普遍的読取りにしない"
