uid,rq_index,rq_text,execution_order,trigger_record_ja,threshold_record_ja,decision_reason_ja,decision_state,trace_owner,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,1,Record trigger match judgment,Record threshold exceeded judgment,Fix the judgment reason to one line,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",5,Record trigger match judgment,Record threshold exceeded judgment,Fix the judgment reason to one line,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,2,Record trigger match judgment,Record threshold exceeded judgment,Fix the judgment reason to one line,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,6,Record trigger match judgment,Record threshold exceeded judgment,Fix the judgment reason to one line,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",7,Record trigger match judgment,Record threshold exceeded judgment,Fix the judgment reason to one line,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",8,Record trigger match judgment,Record threshold exceeded judgment,Fix the judgment reason to one line,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",3,Record trigger match judgment,Record threshold exceeded judgment,Fix the judgment reason to one line,pending_trace,U15_monitor_owner,2026-03-01T21:44:00Z
U15,2,How should neurorights be mapped onto technical audit items?,9,Record trigger match judgment,Record threshold exceeded judgment,Fix the judgment reason to one line,pending_trace,U15_monitor_owner,2026-03-01T21:44:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",4,Record trigger match judgment,Record threshold exceeded judgment,Fix the judgment reason to one line,pending_trace,U15_monitor_owner,2026-03-01T21:44:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,10,Record trigger match judgment,Record threshold exceeded judgment,Fix the judgment reason to one line,pending_trace,U15_monitor_owner,2026-03-01T21:44:00Z
