phase,topic,update_stop_focus,stop_trigger,keep_update_trigger,do_not_stop,frozen_asset,note_line,avoid_point
1,EEG信号品質の限界検証,QC基準の更新必要性,閾値参照も更新要請も止まる,比較基準としての参照が続く,規格差分の確認依頼が残る,QC閾値表1枚,品質比較に必要な表だけ凍結して更新停止する,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density 利得条件の更新必要性,利得条件の参照も更新要請も止まる,比較図としての参照が続く,局在条件の確認依頼が残る,密度比較図1枚,空間利得の限定図だけ凍結して更新停止する,局在完成の物語にしない
1,マルチモーダル統合の基礎,同期条件の更新必要性,同期条件の参照も改善要請も止まる,教材や比較用途で参照が続く,統合条件の確認依頼が残る,同期条件表1枚,統合条件の表だけ凍結して更新停止する,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,既定値候補の更新必要性,候補手法の参照も更新要請も止まる,実務メモとして参照が続く,候補差分の検証依頼が残る,前処理比較表1枚,既定値候補の表だけ凍結して更新停止する,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window の更新必要性,運用区間の参照も更新要請も止まる,運用基準としての参照が続く,再校正条件の確認依頼が残る,安定区間図1枚,運用区間図だけ凍結して更新停止する,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,benchmark 差分の更新必要性,差分参照も更新要請も止まる,外部比較としての参照が続く,比較軸の見直し依頼が残る,benchmark 比較表1枚,benchmark 差分表だけ凍結して更新停止する,精度競争に戻らない
2,クロスデータセット汎化,gap 原因整理の更新必要性,gap 原因の参照も更新要請も止まる,比較用途での参照が続く,schema 差分の確認依頼が残る,gap 比較表1枚,gap 原因表だけ凍結して更新停止する,どこでも通用と語らない
2,リアルタイムデコーディング,遅延条件の更新必要性,遅延条件の参照も更新要請も止まる,実装判断としての参照が続く,online 条件の確認依頼が残る,遅延比較図1枚,遅延比較図だけ凍結して更新停止する,true online 成功談へ戻らない
2,Foundation Modelの適用,限定利得の更新必要性,利得条件の参照も更新要請も止まる,比較用途での参照が続く,task 差分の再検証依頼が残る,probe 比較表1枚,限定利得の表だけ凍結して更新停止する,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject 差分の更新必要性,被験者間差分の参照も更新要請も止まる,教材や比較用途での参照が続く,被験者差の確認依頼が残る,MI比較表1枚,被験者間差分表だけ凍結して更新停止する,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件の更新必要性,成立条件の参照も更新要請も止まる,比較用途での参照が続く,刺激条件の確認依頼が残る,成立条件表1枚,成立条件表だけ凍結して更新停止する,知覚全再構成の話にしない
2,言語/意味デコーディング,語彙条件の更新必要性,限定条件の参照も更新要請も止まる,比較用途での参照が続く,語彙境界の確認依頼が残る,語彙条件表1枚,語彙条件表だけ凍結して更新停止する,意味読取りの強弁に戻らない
3,感情状態の推定・分類,感情ラベル条件の更新必要性,ラベル条件の参照も更新要請も止まる,教材や比較用途での参照が続く,ラベル差の確認依頼が残る,感情比較表1枚,感情比較表だけ凍結して更新停止する,心の読心へ飛ばない
3,記憶のエンコーディング/検索,task 差分の更新必要性,差分図の参照も更新要請も止まる,比較用途での参照が続く,課題条件の確認依頼が残る,差分図1枚,差分図だけ凍結して更新停止する,記憶内容復元の話にしない
3,注意・ワーキングメモリ,workload 指標範囲の更新必要性,usable 範囲の参照も更新要請も止まる,実務用途での参照が続く,window 条件の確認依頼が残る,負荷比較表1枚,負荷比較表だけ凍結して更新停止する,万能な集中度指標にしない
3,意思決定過程,選好 proxy の更新必要性,限定条件の参照も更新要請も止まる,比較用途での参照が続く,task 差分の確認依頼が残る,条件比較図1枚,条件比較図だけ凍結して更新停止する,自由意志の決着にしない
3,社会的認知,対人 proxy 条件の更新必要性,条件メモの参照も更新要請も止まる,教材用途での参照が続く,課題条件の確認依頼が残る,条件メモ1枚,条件メモだけ凍結して更新停止する,対人理解の一般論に飛ばない
3,創造性・問題解決,task 差分の更新必要性,proxy 差分の参照も更新要請も止まる,比較用途での参照が続く,proxy 候補の確認依頼が残る,task 比較表1枚,task 比較表だけ凍結して更新停止する,創造性の本質説明にしない
3,主観的経験の定量化,自己報告対応の更新必要性,対応条件の参照も更新要請も止まる,教材や比較用途での参照が続く,rating 条件の確認依頼が残る,対応表1枚,対応表だけ凍結して更新停止する,クオリア測定の断言にしない
4,意識の神経相関（NCC）定量化,boundary proxy の更新必要性,proxy 条件の参照も更新要請も止まる,教材用途での参照が続く,boundary 条件の確認依頼が残る,boundary 図1枚,boundary 図だけ凍結して更新停止する,意識の本質説明にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state 分類条件の更新必要性,benchmark 条件の参照も更新要請も止まる,比較用途での参照が続く,評価条件の確認依頼が残る,分類比較表1枚,分類比較表だけ凍結して更新停止する,人格や本人性へ飛ばない
4,統合情報理論(IIT)の実証的検証,複雑性 proxy の更新必要性,proxy 条件の参照も更新要請も止まる,教材用途での参照が続く,算出条件の確認依頼が残る,proxy 比較表1枚,proxy 比較表だけ凍結して更新停止する,理論決着の話にしない
