phase,topic,quarter_goal,review_1,review_2,review_3,keep_package,next_quarter_bridge,avoid_point
1,"EEG信号品質の限界検証","品質下限と失敗条件の比較基盤を外に出せる形で閉じる","品質比較表が外部共有可能か","除外条件が1文で固定されたか","再実行手順が残ったか","品質比較表 指標メモ 再現手順","cross-dataset benchmark 更新へ接続する","品質から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","電極密度依存の利得と頭打ち条件を比較表で閉じる","電極密度別比較図が再生成可能か","必要十分条件が1文で言えるか","補助条件を削れているか","電極密度比較図 条件メモ","測定基盤の標準条件整理へ接続する","精密局在の主張にしない"
1,"マルチモーダル統合の基礎","同期条件つきの最小統合利得を比較表で閉じる","同期監査条件が固定されたか","unimodal 比較が残ったか","利得が出ない条件も残したか","同期条件比較表 利得メモ","限定的な multimodal benchmark へ接続する","統合が万能だと語らない"
1,"ノイズ除去・信号分離手法の比較","前処理安定域を課題別に示す比較表を閉じる","信号保持率と下流性能が併記されているか","失敗例が残っているか","手法追加を止められたか","前処理比較表 既定値メモ","測定基盤の標準前処理提案へ接続する","最強法を決める話にしない"
1,"長時間記録の安定性評価","安定区間と再校正境目の実務目安を閉じる","状態 family が分かれているか","崩れ始め地点が図で見えるか","月末に残す手順が短く書けたか","安定区間比較図 手順メモ","長時間運用条件の benchmark へ接続する","完全追跡の主張にしない"
2,"デコーディング精度ベンチマーク","共通 baseline と failure mode を benchmark として閉じる","統一 split が最後まで守られたか","被験者外 baseline が更新されたか","失敗例が残ったか","共通基準線表 failure mode メモ","公開 benchmark の更新作業へ接続する","最高精度競争に寄せない"
2,"クロスデータセット汎化","外部汎化 gap の分解を成果物として閉じる","共通ラベル空間だけで評価したか","within と across の差が残ったか","外部汎化 gap を1文で言えるか","汎化 gap 比較表 条件メモ","汎化条件付き benchmark commons へ接続する","どこでも通用と言わない"
2,"リアルタイムデコーディング","遅延下限と成立条件を1枚表で閉じる","擬似リアルタイム条件が固定されたか","遅延別精度図が再生成可能か","誤警報率を残せたか","遅延と精度の折り合い図 条件メモ","軽量運用条件の比較へ接続する","完成システムとして語らない"
2,"Foundation Modelの適用","転移条件と OOD gap を比較表で閉じる","baseline と OOD 条件が固定されたか","転移利得が表に残ったか","用語が過大になっていないか","表現転移比較表 条件メモ","自己教師あり表現の再現比較へ接続する","基盤モデル完成と言わない"
2,"運動意図デコーディング","被験者外汎化限界を benchmark として閉じる","被験者外条件が固定されたか","session 外との差が残ったか","較正削減条件が1文で言えるか","被験者外 benchmark 表 補助策メモ","実務向け MI baseline 更新へ接続する","普遍的読取りにしない"
2,"感覚知覚デコーディング","知覚課題の安全域を限定課題ごとに閉じる","ERP 系と SSVEP 系が分かれているか","誤分類条件が残ったか","刺激条件の増殖を止められたか","知覚課題比較表 confusion メモ","限定課題の再現比較へ接続する","知覚全体復元にしない"
2,"言語/意味デコーディング","成立する最小単位と崩れる単位を比較表で閉じる","ラベル定義が固定されたか","最小単位の比較表が残ったか","除外条件を明記できたか","最小単位比較表 除外条件メモ","言語EEGの限定課題整理へ接続する","思考読取りにしない"
3,"感情状態の推定・分類","ラベル揺れ込みの安全域を粗い状態分類として閉じる","主観ラベル軸が固定されたか","被験者外頑健性が残ったか","安全域を1文で言えるか","感情ラベル頑健性表 条件メモ","粗い状態分類 benchmark へ接続する","感情断定にしない"
3,"記憶のエンコーディング/検索","成績関連 proxy の再現性を比較表で閉じる","成功失敗軸が固定されたか","安定 proxy が残ったか","内容読出しの話を切れたか","記憶 proxy 比較表 条件メモ","記憶課題 benchmark 整理へ接続する","本質解明にしない"
3,"注意・ワーキングメモリ","一般化しやすい負荷 proxy 束を閉じる","proxy が複数残ったか","drift 条件を残したか","単一スコア化を避けたか","負荷 proxy 比較表 drift メモ","負荷評価の再現比較へ接続する","万能指標にしない"
3,"意思決定過程","測れる proxy と除外解釈の線を閉じる","proxy と除外線が固定されたか","比較図が残ったか","理論全体への拡張を切れたか","意思決定 proxy 表 除外解釈メモ","小さな過程変数比較へ接続する","自由意志論にしない"
3,"社会的認知","最小共同課題条件を差分検出として閉じる","対象課題が絞られたか","失敗条件が残ったか","差分検出条件を1文で言えるか","社会課題最小条件表 条件メモ","小規模 social pilot へ接続する","広い社会性判定にしない"
3,"創造性・問題解決","教材化できる差分 proxy を閉じる","差分軸が固定されたか","追試手順が残ったか","本質論を切れたか","創造性 proxy 図 追試メモ","教材化可能な課題比較へ接続する","創造性を測れたにしない"
3,"主観的経験の定量化","自己評定との対応条件を補助利用範囲として閉じる","尺度が固定されたか","対応安定条件が残ったか","補助利用範囲を1文で言えるか","自己評定対応表 条件メモ","限定尺度の対応比較へ接続する","完全数値化にしない"
4,"意識の神経相関（NCC）定量化","状態境界 proxy の候補比較を閉じる","境界条件が固定されたか","報告条件を分けたか","候補指標を1文で言えるか","NCC 候補比較図 条件メモ","状態差 proxy 比較へ接続する","正体解明にしない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","状態分類 benchmark の比較枠を閉じる","状態ラベルが固定されたか","外れ条件が残ったか","診断語を切れたか","状態分類 benchmark 表 外れ条件メモ","施設差込み比較へ接続する","診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","近似 proxy の状態差比較を閉じる","近似指標と計算条件が固定されたか","再現する差としない差が残ったか","理論語を増やしていないか","IIT proxy 比較表 条件メモ","近似テスト更新へ接続する","完全検証にしない"
4,"Global Workspace Theory の検証","更新反応候補の条件差比較を閉じる","候補反応と比較軸が固定されたか","予測適合度が残ったか","勝敗表現を切れたか","GWT 候補反応図 条件メモ","候補指標の再現比較へ接続する","決着をつける話にしない"
4,"意識の連続性と同一性","安定成分と変動成分の最小枠を閉じる","個人内比較条件が固定されたか","安定成分と変動成分が残ったか","本人性表現を切れたか","個人内安定性比較図 条件メモ","状態遷移比較の proxy 整理へ接続する","本人確認技術にしない"
4,"mind-upload可能性の理論的枠組み","claim ladder と空白領域を評価軸として閉じる","支えられる範囲が固定されたか","空白領域が残ったか","実現論を切れたか","claim ladder 表 不足要件メモ","評価軸 commons の更新へ接続する","mind-upload 実現を語らない"
