uid,rq_index,rq_text,candidate_close_state,evidence_bundle_status,blocking_issue_ja,reopen_watch_required,report_reflection_ja,decision_owner,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,closed_final,complete,No significant inhibition,yes,Summary updated with final report reflected,U12_monitor_owner,2026-03-01T18:54:10Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",ready_to_close,complete,No significant inhibition,no,Ready to post to final report template,U12_monitor_owner,2026-03-01T18:54:10Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,ready_to_close,complete,Only the last posting after release of hold remains.,yes,Ready for posting with hold release memo,U12_monitor_owner,2026-03-01T18:54:10Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,ready_to_close,complete,No significant inhibition,no,Ready to post to final report template,U12_monitor_owner,2026-03-01T18:54:10Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",ready_to_close,complete,No significant inhibition,no,Ready to post to final report template,U12_monitor_owner,2026-03-01T18:54:10Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",ready_to_close,complete,No significant inhibition,no,Ready to post to final report template,U12_monitor_owner,2026-03-01T18:54:10Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",closed_final,complete,No significant inhibition,yes,Summary updated with final report reflected,U15_monitor_owner,2026-03-01T18:54:10Z
U15,2,How should neurorights be mapped onto technical audit items?,ready_to_close,complete,No significant inhibition,no,Ready to post to final report template,U15_monitor_owner,2026-03-01T18:54:10Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",ready_to_close,complete,Only the last posting after release of hold remains.,yes,Ready for posting with hold release memo,U15_monitor_owner,2026-03-01T18:54:10Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,ready_to_close,complete,No significant inhibition,no,Ready to post to final report template,U15_monitor_owner,2026-03-01T18:54:10Z
