phase,topic,q3_goal,task_1,task_2,task_3,q3_deliverable,avoid_point
1,EEG信号品質の限界検証,品質閾値表を年末前の安定版として閉じる,Q2安定版の閾値と失敗条件を最終確認する,再利用先1つへ短い共有を行う,年末レビュー用メモを残す,品質閾値表年末前版とレビュー用メモ,品質から高次読取りへ飛ばない
1,高密度EEG空間分解能評価,密度比較図を年末前の標準比較として閉じる,Q2安定版の比較条件を最終確認する,共有先1つへ推奨設定を短く渡す,年末レビュー用メモを残す,密度比較図年末前版と標準条件メモ,局在技術の完成と語らない
1,マルチモーダル統合の基礎,最小統合利得表を限定 benchmark として年末前に閉じる,Q2安定版の同期条件を最終確認する,共有先1つへ限定利用範囲を渡す,年末レビュー用メモを残す,同期条件比較表年末前版と利用範囲メモ,統合万能論にしない
1,ノイズ除去・信号分離手法の比較,前処理比較表を実務既定値の年末前版として閉じる,Q2安定版の既定値候補を最終確認する,共有先1つへ実務メモを渡す,年末レビュー用メモを残す,前処理比較表年末前版と実務メモ,最強法探しへ戻らない
1,長時間記録の安定性評価,安定区間図を長時間運用の年末前版として閉じる,Q2安定版の再校正境目を最終確認する,共有先1つへ運用メモを渡す,年末レビュー用メモを残す,安定区間比較図年末前版と運用メモ,完全追跡の話にしない
2,デコーディング精度ベンチマーク,baseline表を年末前の参照基盤として閉じる,Q2安定版のsplitとmetricを最終確認する,再利用先1つへ更新告知を行う,年末レビュー用メモを残す,共通baseline表年末前版と更新告知メモ,最高精度競争に戻らない
2,クロスデータセット汎化,汎化gap表を年末前の条件付き比較として閉じる,Q2安定版のラベル空間と例外条件を最終確認する,共有先1つへ条件メモを渡す,年末レビュー用メモを残す,汎化gap比較表年末前版と条件メモ,どこでも通用と語らない
2,リアルタイムデコーディング,遅延精度図を軽量運用の年末前版として閉じる,Q2安定版の遅延域を最終確認する,共有先1つへ軽量運用メモを渡す,年末レビュー用メモを残す,遅延精度折り合い図年末前版と運用メモ,完成システムとして語らない
2,Foundation Modelの適用,転移比較表を年末前の再利用比較基盤として閉じる,Q2安定版のOOD条件を最終確認する,共有先1つへ比較メモを渡す,年末レビュー用メモを残す,表現転移比較表年末前版と比較メモ,基盤モデル完成と言わない
2,運動意図デコーディング,MI baseline表を年末前の実務基準として閉じる,Q2安定版の被験者外条件を最終確認する,共有先1つへ共有メモを渡す,年末レビュー用メモを残す,MI baseline表年末前版と共有メモ,普遍的読取りにしない
2,感覚知覚デコーディング,知覚課題比較表を限定課題の年末前版として閉じる,Q2安定版の課題 family と誤分類条件を最終確認する,共有先1つへ注記を渡す,年末レビュー用メモを残す,知覚課題比較表年末前版と注記,知覚全体復元と書かない
2,言語/意味デコーディング,最小単位比較表を言語 EEG の年末前版として閉じる,Q2安定版のラベル定義と除外条件を最終確認する,共有先1つへ整理メモを渡す,年末レビュー用メモを残す,最小単位比較表年末前版と整理メモ,思考解読にしない
3,感情状態の推定・分類,感情ラベル頑健性表を粗い状態分類の年末前版として閉じる,Q2安定版の主観ラベル軸と安全域を最終確認する,共有先1つへ利用範囲メモを渡す,年末レビュー用メモを残す,感情ラベル頑健性表年末前版と利用範囲メモ,感情断定にしない
3,記憶のエンコーディング/検索,記憶proxy表を追試軸の年末前版として閉じる,Q2安定版の成功失敗軸を最終確認する,共有先1つへ追試メモを渡す,年末レビュー用メモを残す,記憶proxy比較表年末前版と追試メモ,記憶内容を読む話にしない
3,注意・ワーキングメモリ,負荷proxy表を再利用可能な年末前版として閉じる,Q2安定版の複数proxy構成を最終確認する,共有先1つへdriftメモを渡す,年末レビュー用メモを残す,負荷proxy比較表年末前版とdriftメモ,万能指標にしない
3,意思決定過程,意思決定proxy表を除外解釈つきの年末前版として閉じる,Q2安定版の比較図と除外線を最終確認する,共有先1つへ除外解釈メモを渡す,年末レビュー用メモを残す,意思決定proxy表年末前版と除外解釈メモ,自由意志論へ流れない
3,社会的認知,社会課題最小条件表を小規模共有の年末前版として閉じる,Q2安定版の対象課題と失敗条件を最終確認する,共有先1つへ追試案を渡す,年末レビュー用メモを残す,社会課題最小条件表年末前版と追試案メモ,広い社会性判定にしない
3,創造性・問題解決,創造性proxy図を教材利用の年末前版として閉じる,Q2安定版の差分軸を最終確認する,共有先1つへ教材注記を渡す,年末レビュー用メモを残す,創造性proxy図年末前版と教材注記,創造性そのものを測れたにしない
3,主観的経験の定量化,自己評定対応表を限定利用の年末前版として閉じる,Q2安定版の尺度と利用範囲を最終確認する,共有先1つへ利用範囲メモを渡す,年末レビュー用メモを残す,自己評定対応表年末前版と利用範囲メモ,経験の完全定量化と書かない
4,意識の神経相関（NCC）定量化,NCC候補図を状態差proxyの年末前版として閉じる,Q2安定版の境界条件を最終確認する,共有先1つへ条件メモを渡す,年末レビュー用メモを残す,NCC候補比較図年末前版と条件メモ,意識の正体解明としない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,状態分類表を施設差比較の年末前版として閉じる,Q2安定版の状態ラベルと外れ条件を最終確認する,共有先1つへ外れ条件メモを渡す,年末レビュー用メモを残す,状態分類benchmark表年末前版と外れ条件メモ,臨床診断代替にしない
4,統合情報理論(IIT)の実証的検証,IIT proxy表を近似テストの年末前版として閉じる,Q2安定版の近似指標と条件差を最終確認する,共有先1つへ条件メモを渡す,年末レビュー用メモを残す,IIT proxy比較表年末前版と条件メモ,理論証明にしない
4,Global Workspace Theory の検証,GWT候補図を再現比較の年末前版として閉じる,Q2安定版の比較軸と候補反応を最終確認する,共有先1つへ再現メモを渡す,年末レビュー用メモを残す,GWT候補反応図年末前版と再現メモ,理論の勝敗を決めたとしない
4,意識の連続性と同一性,個人内安定性図を状態遷移比較の年末前版として閉じる,Q2安定版の安定成分と変動成分を最終確認する,共有先1つへproxyメモを渡す,年末レビュー用メモを残す,個人内安定性比較図年末前版とproxyメモ,本人確認技術にしない
4,mind-upload可能性の理論的枠組み,claim ladderを評価軸 commons の年末前版として閉じる,Q2安定版の不足要件と支えられる範囲を最終確認する,共有先1つへ評価メモを渡す,年末レビュー用メモを残す,claim ladder年末前版と評価メモ,mind-upload実現を語らない
