uid,rq_index,rq_text,outcome_route_ja,check_item_1_ja,check_item_2_ja,check_item_3_ja,completion_rule_ja,check_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,After outcome_matrix is ​​determined,Check branch destination record,Check recording destination link,Check next cycle date,Complete if 3 confirmations are completed,check_template_fixed,2026-03-01T22:49:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",After outcome_matrix is ​​determined,Check branch destination record,Check recording destination link,Check next cycle date,Complete if 3 confirmations are completed,check_template_fixed,2026-03-01T22:49:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,After outcome_matrix is ​​determined,Check branch destination record,Check recording destination link,Check next cycle date,Complete if 3 confirmations are completed,check_template_fixed,2026-03-01T22:49:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,After outcome_matrix is ​​determined,Check branch destination record,Check recording destination link,Check next cycle date,Complete if 3 confirmations are completed,check_template_fixed,2026-03-01T22:49:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",After outcome_matrix is ​​determined,Check branch destination record,Check recording destination link,Check next cycle date,Complete if 3 confirmations are completed,check_template_fixed,2026-03-01T22:49:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",After outcome_matrix is ​​determined,Check branch destination record,Check recording destination link,Check next cycle date,Complete if 3 confirmations are completed,check_template_fixed,2026-03-01T22:49:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",After outcome_matrix is ​​determined,Check branch destination record,Check recording destination link,Check next cycle date,Complete if 3 confirmations are completed,check_template_fixed,2026-03-01T22:49:00Z
U15,2,How should neurorights be mapped onto technical audit items?,After outcome_matrix is ​​determined,Check branch destination record,Check recording destination link,Check next cycle date,Complete if 3 confirmations are completed,check_template_fixed,2026-03-01T22:49:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",After outcome_matrix is ​​determined,Check branch destination record,Check recording destination link,Check next cycle date,Complete if 3 confirmations are completed,check_template_fixed,2026-03-01T22:49:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,After outcome_matrix is ​​determined,Check branch destination record,Check recording destination link,Check next cycle date,Complete if 3 confirmations are completed,check_template_fixed,2026-03-01T22:49:00Z
