phase,topic,reviewer_comment,first_reply,next_fix,safe_claim,avoid_point
1,"EEG信号品質の限界検証","既存のQC研究との差分が弱いのでは","ご指摘の通り新規手法ではなく 公開EEG横断で品質下限と失敗条件を揃える点に主張を限定します","品質指標と下流性能の対応表を1枚追加する","品質条件の比較基盤を置くことには意味がある","品質だけで脳情報を読めると返さない"
1,"高密度EEG空間分解能評価","ground truth が乏しく局在妥当性を言い切れないのでは","その懸念は妥当で 皮質局在の証明ではなく 電極密度依存の利得比較へ主張を狭めます","局在誤差ではなく比較可能な sensor-space 指標を前に出す","必要十分な電極条件の比較には価値がある","脳内位置を特定できると返さない"
1,"マルチモーダル統合の基礎","統合利得が同期品質の差に見えてしまうのでは","その点を避けるため 同期監査を通った条件だけで単独利用との差を比較する形に限定します","同期条件表と unimodal 比較図を追加する","最小の統合条件整理には意味がある","統合で心の全体像が分かると返さない"
1,"ノイズ除去・信号分離手法の比較","正解信号が分からず手法比較が公平でないのでは","ご指摘の通り万能順位ではなく 品質指標と下流安定性を併記する比較表として返します","synthetic 条件か annotation 条件を1つ追加する","安定して使える既定値を置くことはできる","ノイズを完全除去できると返さない"
1,"長時間記録の安定性評価","長時間変動は認知状態差であり計測安定性とは限らないのでは","その懸念を踏まえ 状態差込みの現実条件で安定区間を記述的に比較する主張に留めます","状態 family を分けた比較表に直す","安定区間と再校正境目の整理には意味がある","長時間でも完全追跡できると返さない"
2,"デコーディング精度ベンチマーク","既存ベンチが多く新規性が薄いのでは","新規モデルではなく fixed split と failure mode を含む再現基盤として位置づけます","被験者外分割と失敗例の欄を前に出す","比較可能な benchmark を整備する価値はある","最高精度を達成すると返さない"
2,"クロスデータセット汎化","タスク定義が揃わず横断比較が粗いのでは","その点は認め 課題定義を揃えられるサブ課題だけに限定して劣化幅を成果にします","共通ラベル空間だけの表に絞る","汎化低下の分解自体が成果になる","どのデータでも汎化すると返さない"
2,"リアルタイムデコーディング","replay は真のオンライン検証ではないのでは","はい ここでは前段評価として遅延下限と誤警報率の基準線を出すことに主張を限定します","オンラインという語を擬似リアルタイムへ直す","実時間化の最小条件整理には意味がある","リアルタイム制御を実現したと返さない"
2,"Foundation Modelの適用","foundation model という表現が誇大では","その懸念を受け 自己教師あり表現学習 baseline と呼び OOD gap の比較に主張を狭めます","題目と本文から foundation を外すか補足する","転用可能な表現条件の比較には価値がある","脳の基盤モデルを作ると返さない"
2,"運動意図デコーディング","MI は既存研究が多く 被験者差も大きいのでは","その通りなので 較正試行数削減と被験者外性能に主眼を置いた実務 benchmark として返します","被験者外と session 外の表を前に出す","汎化限界の比較には意味がある","運動意図を普遍的に読むと返さない"
2,"感覚知覚デコーディング","刺激同期を読んでいるだけではないか","ご懸念の通り 自然知覚一般ではなく 刺激同期が既知な条件に限った識別可能性として返します","ERP 系と SSVEP 系を分けた表に直す","限定課題での知覚分類比較には価値がある","知覚内容を完全復元すると返さない"
2,"言語/意味デコーディング","意味そのものではなく単純ラベル差を読んでいるだけでは","その点を認め 最小単位の識別可能性と崩れる単位の整理に主張を狭めます","ラベル定義表と除外条件を追加する","成立する最小単位の比較には意味がある","思考を読めると返さない"
3,"感情状態の推定・分類","主観ラベルの揺れが大きく分類の意味が弱いのでは","その懸念を前提に ラベル揺れ込みで残る安全域を示す比較として返します","校正あり/なしと label noise の比較を追加する","粗い状態分類の安全域整理には意味がある","感情を客観的に断定すると返さない"
3,"記憶のエンコーディング/検索","記憶内容ではなく成績差を読んでいるだけでは","はい ここでは内容読出しではなく 成績関連 proxy の再現性に主張を限定します","成功失敗比較と再現率の表を追加する","成績関連指標の整理には価値がある","記憶の本質を解明すると返さない"
3,"注意・ワーキングメモリ","単一指標で負荷全体を語るのは危険では","その通りなので 単一スコアではなく 複数 proxy の再現性比較として返します","負荷 proxy を複数列で見せる","一般化しやすい proxy の整理には意味がある","集中力を万能評価すると返さない"
3,"意思決定過程","解釈が広すぎて意思決定理論の検証に見えてしまうのでは","その懸念を受け 反応時間や予測誤差など測定可能 proxy の比較へ限定します","測れる線と測れない線の表を追加する","小さな比較可能項目の整理には価値がある","自由意志や理論全体を証明すると返さない"
