phase,topic,figure_title,caption_short,caption_mid,what_this_figure_shows,avoid_point
1,"EEG信号品質の限界検証","公開EEG品質条件の比較","公開EEGを同一条件で再評価し、再利用可能な品質下限を比較した図。","公開EEGを固定前処理と共通品質指標で再評価し、欠損率や雑音条件の違いがどこで再利用の可否に効くかを比較した。品質の下限と失敗条件を共有するための図である。","品質条件の違いが再利用可能性の判断にどう効くかを支持する。","品質だけで高次復元可能性を示したと書かない"
1,"高密度EEG空間分解能評価","電極密度と局在誤差の関係","電極密度の違いが局在誤差に与える影響を比較した図。","高密度EEGの公開データで電極数を段階的に変え、局在誤差と安定性の変化を比較した。高密度化の利得と頭打ち条件を保守的に整理するための図である。","必要十分な電極条件と空間分解能の実用上限を支持する。","精密な脳内位置特定ができると読める表現を避ける"
1,"マルチモーダル統合の基礎","同期条件と統合利得の比較","単独利用と統合利用の差を同期条件ごとに比較した図。","EEGと他モダリティの公開データで同期ずれを明示し、単独利用と統合利用の差を比較した。統合利得が成立する最小条件と制約を示すための図である。","同期条件つきでのみ統合利得を議論すべきことを支持する。","統合すれば全体理解が完成すると書かない"
1,"ノイズ除去・信号分離手法の比較","前処理法ごとの信号保持と下流性能","前処理法の違いによる信号保持率と下流性能差を比較した図。","複数の前処理法を同じ評価軸に乗せ、信号保持率と下流成績の差を比較した。性能の順位づけではなく、安定して使える条件と失敗例を共有するための図である。","前処理法は課題別に安定性で選ぶべきことを支持する。","万能な前処理法があると読ませない"
1,"長時間記録の安定性評価","長時間計測で崩れ始める条件","長時間脳波で安定区間と崩れやすい条件を比較した図。","長時間記録された公開脳波で、時間経過に伴うずれ 欠損 状態変化の影響を比較した。再校正が必要になる境目と安定区間を実務的に把握するための図である。","縦断利用の前提として安定区間確認が必要であることを支持する。","長時間なら連続追跡可能と断定しない"
2,"デコーディング精度ベンチマーク","公開課題の共通基準線","主要公開課題の基準線を統一条件で比較した図。","運動想起 ERP SSVEP などの主要公開課題に統一分割と統一指標を適用し、被験者外評価を含む基準線を比較した。最高精度ではなく比較可能性を整えるための図である。","公開EEGでは共通条件付きの benchmark が先に必要であることを支持する。","一つの高成績を全体代表として見せない"
2,"クロスデータセット汎化","データまたぎでの性能低下","施設や装置をまたぐときの性能低下を比較した図。","学習元と評価先の組合せを変え、被験者差とデータ差を切り分けながら性能低下を比較した。汎化の成立条件と失敗条件を示すための図である。","データ差を明示しない高精度は外部汎化を保証しないことを支持する。","どの公開データでも通用すると書かない"
2,"リアルタイムデコーディング","遅延と精度の折り合い","実時間近似条件での遅延と精度の関係を示した図。","再生入力を使った実時間近似評価で、判定窓 更新間隔 処理遅延の違いに対する精度変化を比較した。実時間化の最小条件を保守的に示すための図である。","オフライン精度の一部しか実時間に持ち込めないことを支持する。","完全オンライン判定が完成したように書かない"
2,"Foundation Modelの適用","自己教師あり表現の転移比較","自己教師あり表現の転移利得と劣化幅を比較した図。","公開脳波で学習した自己教師あり表現について、少量学習条件と未知条件での性能差を比較した。大規模化そのものではなく転用可能性を評価するための図である。","基盤表現の価値は転移安定性で測るべきことを支持する。","規模を上げれば解けると単純化しない"
2,"運動意図デコーディング","被験者外条件でのMI成績","運動意図課題で被験者外成績と崩れやすい条件を示した図。","運動意図課題で被験者内と被験者外の差を固定条件下で比較し、崩れやすい条件と補助策を整理した。横断比較で残る汎化限界を示すための図である。","個人内高精度より被験者外条件が重要であることを支持する。","少数例の高精度を一般化しない"
2,"感覚知覚デコーディング","知覚課題の安全域","視覚と聴覚の公開課題で再現しやすい知覚分類条件を比較した図。","視覚 聴覚 ERP P300 SSVEP などの公開課題を揃え、課題間で共通する分類条件と混同しやすい条件を比較した。知覚 decoding の安全域を整理するための図である。","知覚分類は課題を絞った比較として扱うべきことを支持する。","知覚全体を読み切れると書かない"
2,"言語/意味デコーディング","成立する識別単位の比較","言語と意味の識別が成立する最小単位を比較した図。","公開脳波でラベル定義を揃え、識別できる単位と崩れやすい単位を比較した。言語理解全体ではなく、成立する最小単位を示すための図である。","最小単位の再現可能性から議論を始めるべきことを支持する。","思考全体を読めると受け取られる表現を避ける"
3,"感情状態の推定・分類","感情ラベルの揺れと頑健性","主観ラベルの揺れ幅と被験者間頑健性を比較した図。","感情とストレスの公開脳波で、主観ラベルの付け方の違いと被験者差が成績に与える影響を比較した。安全に使える条件と崩れやすい条件を整理するための図である。","感情推定はラベル揺れ込みで評価すべきことを支持する。","感情を客観的に断定できると書かない"
3,"記憶のエンコーディング/検索","追試しやすい記憶 proxy","記憶課題で安定して再現する指標と不安定な指標を示した図。","記銘と検索の公開課題で比較軸を揃え、再現した指標と不安定な指標を比較した。記憶そのものではなく成績関連 proxy の再現性を示すための図である。","記憶議論は代理指標の再現から始めるべきことを支持する。","記憶の本質解明を前面に出さない"
3,"注意・ワーキングメモリ","一般化しやすい負荷指標","注意負荷と作業記憶課題で一般化しやすい指標を比較した図。","注意負荷課題と作業記憶課題を横断し、時間ずれに強い指標と再現しにくい条件を比較した。小さく確かな負荷指標を残すための図である。","単一万能指標ではなく複数 proxy の再現性が重要であることを支持する。","集中力を万能評価できると示さない"
3,"意思決定過程","測れる代理指標の範囲","意思決定課題で測定可能な proxy と不確実な解釈の境界を示した図。","報酬と選好の公開課題で、反応時間や予測誤差など測定可能な proxy を比較した。どこまでを測れる範囲として扱うかを明確にするための図である。","意思決定は小さな比較可能項目に分けて扱うべきことを支持する。","理論全体の検証に広げない"
3,"社会的認知","最小限の共同課題条件","少人数でも再現しやすい社会課題条件を比較した図。","共同課題と対照条件を並べ、社会的負荷に対して再現した proxy と失敗しやすい実験条件を比較した。最小限の共同課題を比較可能にするための図である。","社会的認知は限定課題での差分検出として扱うべきことを支持する。","広い社会性判定へ読み替えない"
3,"創造性・問題解決","教材化できる差分指標","ひらめき課題で追試しやすい差分指標を示した図。","ひらめき課題の公開脳波で、候補となる事象関連成分と教材化しやすい手順を比較した。創造性の本質ではなく課題内差分を共有するための図である。","創造性ではなく追試可能な proxy を残すべきことを支持する。","創造性の本質を測れたと書かない"
3,"主観的経験の定量化","自己評定との対応条件","自己評定と脳波指標の対応が安定する条件を示した図。","自己評定のばらつきと EEG 指標の対応を比較し、補助利用できる条件と限界条件を整理した。主観経験を補助的な比較指標として扱うための図である。","主観経験は限定尺度との対応として扱うべきことを支持する。","主観を完全に数値化できると述べない"
4,"意識の神経相関（NCC）定量化","状態境界で変わる候補指標","覚醒と睡眠の境界で変化する候補指標を比較した図。","覚醒 睡眠 その境界状態を対象に、複雑さや変化指標がどこで安定して差を示すかを比較した。状態差に敏感な候補を整理するための図である。","意識そのものではなく状態差の候補指標を残すべきことを支持する。","意識の正体を解明したように書かない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","状態分類の比較枠","主要状態に同一条件を当てた分類基準線を示した図。","覚醒 睡眠 麻酔 DoC など主要状態に同一条件を当て、分類成績と外れ条件を比較した。診断と区別した benchmark として使うための図である。","まず比較用の分類枠を整備すべきことを支持する。","臨床診断が完成したと受け取られる表現を避ける"
4,"統合情報理論(IIT)の実証的検証","複雑さ指標の状態差","理論近傍の複雑さ指標がどの状態差で安定するかを示した図。","理論に近い複雑さ指標を公開脳波で再計算し、状態差の比較と再現しない条件を整理した。観測差の再現性を示すための図である。","IIT の完全検証ではなく近似指標の比較であることを支持する。","理論そのものを実証したと断定しない"
4,"Global Workspace Theory の検証","更新反応の再現条件","更新反応の候補がどの条件で再現するかを比較した図。","公開課題で更新反応の候補指標を揃え、振幅 潜時 条件差の比較結果を整理した。理論対決ではなく観測条件を共有するための図である。","理論の勝敗より観測条件の共有が先であることを支持する。","理論の優劣が決着したように書かない"
4,"意識の連続性と同一性","個人内安定性の下限","セッションをまたいでも残る成分と変動する成分を示した図。","同一人物内でセッションをまたぐ比較を行い、状態変化の影響下でも残る成分と変動成分を整理した。連続性を語れる最小枠を示すための図である。","本人性ではなく安定性比較として扱うべきことを支持する。","本人確認技術として読み替えられる表現を避ける"
4,"mind-upload可能性の理論的枠組み","主張の段階表と空白領域","EEGで支えられる主張と空白領域を段階表として整理した図。","公開脳波で支えられる主張の範囲を claim ladder として並べ、必要な測定条件とまだ空白の部分を整理した。評価軸を共有するための図である。","可能性の断定ではなく評価軸の共有を進めるための図であることを支持する。","実現可能性や時期を断定しない"
