phase,topic,reference_focus,reference_unit,keep_reference_trigger,replace_trigger,do_not_reference,note_line,avoid_point
1,EEG信号品質の限界検証,QC境界を何で参照させるか,QC閾値表1枚,閾値条件が他データでも崩れない,新閾値表が現行表を完全に置換する,品質差が高次解釈に誤読される,品質境界は閾値表1枚だけ残して参照させる,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density差分を何で参照させるか,密度比較図1枚,限定利得が図1枚で再説明できる,条件差分がより小さい図に圧縮できる,局在証明の図として誤読される,密度利得は比較図1枚だけ残して参照させる,局在完成の物語にしない
1,マルチモーダル統合の基礎,同期条件を何で参照させるか,同期条件表1枚,同期条件が運用条件として固定された,統合条件を短い表へ置き換えられる,統合万能論に誤読される,統合の参照は同期条件表1枚に留める,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,前処理既定値を何で参照させるか,前処理比較表1枚,既定値候補が実務上安定した,比較軸を減らした短表へ差し替えられる,最強手法ランキングに使われる,前処理の参照は比較表1枚だけ残す,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window を何で参照させるか,安定区間図1枚,安定区間が再校正条件込みで説明できる,運用区間を1図へ再整理できる,長時間記録万能論に読まれる,長時間運用の参照は安定区間図1枚に絞る,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,benchmark差分を何で参照させるか,benchmark比較表1枚,比較軸が固定され再比較に使える,比較軸を減らした新表に差し替えられる,精度競争の宣伝に使われる,benchmark参照は比較表1枚に留める,精度競争に戻らない
2,クロスデータセット汎化,gap原因を何で参照させるか,gap比較表1枚,gap原因候補が表1枚で安定した,原因候補を短い差分表へ置き換えられる,どこでも通用と誤読される,汎化の参照はgap比較表1枚だけ残す,どこでも通用と語らない
2,リアルタイムデコーディング,遅延条件を何で参照させるか,遅延比較図1枚,replay 条件つきの遅延差分が固定された,遅延差分を1図に再圧縮できる,true online 成功と誤読される,リアルタイム性の参照は遅延図1枚に絞る,true online 成功談にしない
2,Foundation Modelの適用,限定利得を何で参照させるか,probe比較表1枚,task横断で限定利得が残る,より小さい task 表へ置き換えられる,基盤モデル万能論に使われる,FMの参照は限定利得表1枚だけ残す,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject差分を何で参照させるか,MI比較表1枚,被験者差が表1枚で安定した,差分軸を減らした表へ差し替えられる,操作一般知能の話へ飛ぶ,運動意図の参照はMI比較表1枚に留める,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件を何で参照させるか,成立条件表1枚,P300 や SSVEP の条件が短く整理された,刺激条件をさらに小さい表へ置き換えられる,知覚全再構成に誤読される,知覚系の参照は成立条件表1枚に絞る,知覚全再構成の話にしない
2,言語/意味デコーディング,成立上限を何で参照させるか,語彙条件表1枚,語彙条件と限界が短く整理された,語彙条件を1ページ要約へ置き換えられる,思考全文読取りに誤読される,言語系の参照は語彙条件表1枚だけ残す,全文読心の話へ飛ばない
3,感情状態の推定・分類,ラベル限界を何で参照させるか,ラベル条件表1枚,ラベル信頼性の限界が固定された,条件差を短い表へ置き換えられる,内心確定技術に誤読される,感情分類の参照はラベル条件表1枚に留める,感情断定の話にしない
3,記憶のエンコーディング/検索,成立条件を何で参照させるか,encoding条件図1枚,encoding/search の差分が図1枚で残る,条件差分を1表へ圧縮できる,記憶内容読取りに誤読される,記憶系の参照は条件図1枚だけ残す,記憶内容読取りの話へ飛ばない
3,注意・ワーキングメモリ,負荷差分を何で参照させるか,load比較図1枚,負荷差分が再現条件込みで残る,負荷条件を短図へ置き換えられる,集中力の全面監視に誤読される,WM系の参照はload比較図1枚に絞る,全面監視の話にしない
3,意思決定過程,段階差分を何で参照させるか,段階比較表1枚,段階差分が単純な比較表で残る,段階軸を減らした表へ差し替えられる,自由意思判定器に誤読される,意思決定の参照は段階比較表1枚だけ残す,自由意思判定の話へ飛ばない
3,社会的認知,課題条件を何で参照させるか,social task条件表1枚,課題依存性が短く整理された,条件差分を要約表へ置き換えられる,他者理解の読取り機械に誤読される,社会認知の参照はtask条件表1枚に留める,心の読み過ぎ物語にしない
3,創造性・問題解決,proxy限界を何で参照させるか,proxy条件表1枚,proxy指標の限界が明示できる,proxy条件をさらに短い表へ置き換えられる,創造性測定器に誤読される,創造性の参照はproxy条件表1枚だけ残す,創造性断定の話にしない
3,主観的経験の定量化,自己報告との対応を何で参照させるか,対応条件表1枚,自己報告との対応範囲が固定された,対応範囲を1図へ再圧縮できる,主観の直接読取りに誤読される,主観経験の参照は対応条件表1枚に絞る,主観の直接読取りにしない
4,意識の神経相関（NCC）定量化,NCC候補を何で参照させるか,NCC候補表1枚,候補差分が限定条件つきで残る,候補数を絞った表へ差し替えられる,意識の本質証明に誤読される,NCCの参照は候補表1枚に留める,本質証明の話にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state境界を何で参照させるか,state比較表1枚,状態境界が限定条件つきで安定した,境界条件を短表へ置き換えられる,意識値の単一尺度に誤読される,state分類の参照は比較表1枚に絞る,単一尺度神話にしない
4,統合情報理論(IIT)の実証的検証,proxy限界を何で参照させるか,proxy限界表1枚,proxyで言える範囲が表1枚で残る,proxy範囲をさらに短い注記へ置き換えられる,理論の決着と誤読される,IITの参照はproxy限界表1枚だけ残す,理論決着を語らない
4,Global Workspace Theory の検証,workspace proxy を何で参照させるか,workspace条件図1枚,proxy条件が限定つきで説明できる,条件図を短表へ置き換えられる,GWTの勝敗判定に使われる,GWTの参照は条件図1枚に留める,理論の勝敗表にしない
4,意識の連続性と同一性,連続性proxy を何で参照させるか,連続性proxy表1枚,proxyの有効域と限界が固定された,proxy条件をより小さい表へ差し替えられる,人格同一性の測定に誤読される,連続性の参照はproxy表1枚だけ残す,人格同一性測定の話にしない
4,mind-upload可能性の理論的枠組み,EEG単独で言える範囲を何で参照させるか,境界条件メモ1枚,EEG単独の非到達域が明示できる,境界条件を短い要約図へ置き換えられる,mind-upload実証済みの印象を与える,理論枠組みの参照は境界条件メモ1枚に留める,実証済みの空気を作らない
