uid,rq_index,rq_text,watch_signal_ja,signal_check_1_ja,signal_check_2_ja,signal_check_3_ja,signal_rule_ja,watch_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,reopening sign monitoring,Check system document differences,Check the judgment vocabulary drift,Check access route changes,restart_signal when 2 or more items match,watch_template_fixed,2026-03-01T23:28:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",reopening sign monitoring,Check system document differences,Check the judgment vocabulary drift,Check access route changes,restart_signal when 2 or more items match,watch_template_fixed,2026-03-01T23:28:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,reopening sign monitoring,Check system document differences,Check the judgment vocabulary drift,Check access route changes,restart_signal when 2 or more items match,watch_template_fixed,2026-03-01T23:28:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,reopening sign monitoring,Check system document differences,Check the judgment vocabulary drift,Check access route changes,restart_signal when 2 or more items match,watch_template_fixed,2026-03-01T23:28:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",reopening sign monitoring,Check system document differences,Check the judgment vocabulary drift,Check access route changes,restart_signal when 2 or more items match,watch_template_fixed,2026-03-01T23:28:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",reopening sign monitoring,Check system document differences,Check the judgment vocabulary drift,Check access route changes,restart_signal when 2 or more items match,watch_template_fixed,2026-03-01T23:28:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",reopening sign monitoring,Check system document differences,Check the judgment vocabulary drift,Check access route changes,restart_signal when 2 or more items match,watch_template_fixed,2026-03-01T23:28:00Z
U15,2,How should neurorights be mapped onto technical audit items?,reopening sign monitoring,Check system document differences,Check the judgment vocabulary drift,Check access route changes,restart_signal when 2 or more items match,watch_template_fixed,2026-03-01T23:28:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",reopening sign monitoring,Check system document differences,Check the judgment vocabulary drift,Check access route changes,restart_signal when 2 or more items match,watch_template_fixed,2026-03-01T23:28:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,reopening sign monitoring,Check system document differences,Check the judgment vocabulary drift,Check access route changes,restart_signal when 2 or more items match,watch_template_fixed,2026-03-01T23:28:00Z
