uid,rq_index,rq_text,closure_precondition_ja,certificate_item_1_ja,certificate_item_2_ja,certificate_item_3_ja,certification_rule_ja,certificate_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,closure_ready reached,Final confirmation of basis differences,Confirm the arrival of the trail link,Record the next monitoring window,Certified by checking 3 items,certificate_template_fixed,2026-03-01T23:02:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",closure_ready reached,Final confirmation of basis differences,Confirm the arrival of the trail link,Record the next monitoring window,Certified by checking 3 items,certificate_template_fixed,2026-03-01T23:02:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,closure_ready reached,Final confirmation of basis differences,Confirm the arrival of the trail link,Record the next monitoring window,Certified by checking 3 items,certificate_template_fixed,2026-03-01T23:02:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,closure_ready reached,Final confirmation of basis differences,Confirm the arrival of the trail link,Record the next monitoring window,Certified by checking 3 items,certificate_template_fixed,2026-03-01T23:02:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",closure_ready reached,Final confirmation of basis differences,Confirm the arrival of the trail link,Record the next monitoring window,Certified by checking 3 items,certificate_template_fixed,2026-03-01T23:02:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",closure_ready reached,Final confirmation of basis differences,Confirm the arrival of the trail link,Record the next monitoring window,Certified by checking 3 items,certificate_template_fixed,2026-03-01T23:02:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",closure_ready reached,Final confirmation of basis differences,Confirm the arrival of the trail link,Record the next monitoring window,Certified by checking 3 items,certificate_template_fixed,2026-03-01T23:02:00Z
U15,2,How should neurorights be mapped onto technical audit items?,closure_ready reached,Final confirmation of basis differences,Confirm the arrival of the trail link,Record the next monitoring window,Certified by checking 3 items,certificate_template_fixed,2026-03-01T23:02:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",closure_ready reached,Final confirmation of basis differences,Confirm the arrival of the trail link,Record the next monitoring window,Certified by checking 3 items,certificate_template_fixed,2026-03-01T23:02:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,closure_ready reached,Final confirmation of basis differences,Confirm the arrival of the trail link,Record the next monitoring window,Certified by checking 3 items,certificate_template_fixed,2026-03-01T23:02:00Z
