uid,rq_index,rq_text,resume_update_condition_ja,resume_update_item_1_ja,resume_update_item_2_ja,resume_update_item_3_ja,resume_update_rule_ja,resume_update_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,When reconnect_resume_ready is reached,Attach reflection record,Record the destination of the applied change,Record the time of application,resume_update_logged when 3 records are satisfied,resume_update_ledger_fixed,2026-03-02T01:04:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",When reconnect_resume_ready is reached,Attach reflection record,Record the destination of the applied change,Record the time of application,resume_update_logged when 3 records are satisfied,resume_update_ledger_fixed,2026-03-02T01:04:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,When reconnect_resume_ready is reached,Attach reflection record,Record the destination of the applied change,Record the time of application,resume_update_logged when 3 records are satisfied,resume_update_ledger_fixed,2026-03-02T01:04:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,When reconnect_resume_ready is reached,Attach reflection record,Record the destination of the applied change,Record the time of application,resume_update_logged when 3 records are satisfied,resume_update_ledger_fixed,2026-03-02T01:04:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",When reconnect_resume_ready is reached,Attach reflection record,Record the destination of the applied change,Record the time of application,resume_update_logged when 3 records are satisfied,resume_update_ledger_fixed,2026-03-02T01:04:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",When reconnect_resume_ready is reached,Attach reflection record,Record the destination of the applied change,Record the time of application,resume_update_logged when 3 records are satisfied,resume_update_ledger_fixed,2026-03-02T01:04:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",When reconnect_resume_ready is reached,Attach reflection record,Record the destination of the applied change,Record the time of application,resume_update_logged when 3 records are satisfied,resume_update_ledger_fixed,2026-03-02T01:04:00Z
U15,2,How should neurorights be mapped onto technical audit items?,When reconnect_resume_ready is reached,Attach reflection record,Record the destination of the applied change,Record the time of application,resume_update_logged when 3 records are satisfied,resume_update_ledger_fixed,2026-03-02T01:04:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",When reconnect_resume_ready is reached,Attach reflection record,Record the destination of the applied change,Record the time of application,resume_update_logged when 3 records are satisfied,resume_update_ledger_fixed,2026-03-02T01:04:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,When reconnect_resume_ready is reached,Attach reflection record,Record the destination of the applied change,Record the time of application,resume_update_logged when 3 records are satisfied,resume_update_ledger_fixed,2026-03-02T01:04:00Z
